Country,Gender,Age Range,Job seniority,Company Industry,Company Size,Count
US,Male,55+,Owner,Venture Capital & Private Equity,"10,001+ employees",360
US,Male,55+,Owner,Venture Capital & Private Equity,"5001-10,000 employees",0
US,Male,55+,Owner,Venture Capital & Private Equity,1001-5000 employees,370
US,Male,55+,Owner,Venture Capital & Private Equity,501-1000 employees,0
US,Male,55+,Owner,Venture Capital & Private Equity,201-500 employees,540
US,Male,55+,Owner,Venture Capital & Private Equity,51-200 employees,1100
US,Male,55+,Owner,Venture Capital & Private Equity,11-50 employees,1900
US,Male,55+,Owner,Venture Capital & Private Equity,2-10 employees,2600
US,Male,55+,Owner,Venture Capital & Private Equity,Myself Only,0
US,Male,55+,Owner,Investment Management,"10,001+ employees",600
US,Male,55+,Owner,Investment Management,"5001-10,000 employees",0
US,Male,55+,Owner,Investment Management,1001-5000 employees,370
US,Male,55+,Owner,Investment Management,501-1000 employees,0
US,Male,55+,Owner,Investment Management,201-500 employees,340
US,Male,55+,Owner,Investment Management,51-200 employees,690
US,Male,55+,Owner,Investment Management,11-50 employees,1400
US,Male,55+,Owner,Investment Management,2-10 employees,2400
US,Male,55+,Owner,Investment Management,Myself Only,0
US,Male,55+,Owner,Investment Banking,"10,001+ employees",0
US,Male,55+,Owner,Investment Banking,"5001-10,000 employees",0
US,Male,55+,Owner,Investment Banking,1001-5000 employees,0
US,Male,55+,Owner,Investment Banking,501-1000 employees,0
US,Male,55+,Owner,Investment Banking,201-500 employees,0
US,Male,55+,Owner,Investment Banking,51-200 employees,0
US,Male,55+,Owner,Investment Banking,11-50 employees,630
US,Male,55+,Owner,Investment Banking,2-10 employees,830
US,Male,55+,Owner,Investment Banking,Myself Only,0
US,Male,55+,Owner,Insurance,"10,001+ employees",3600
US,Male,55+,Owner,Insurance,"5001-10,000 employees",590
US,Male,55+,Owner,Insurance,1001-5000 employees,1100
US,Male,55+,Owner,Insurance,501-1000 employees,460
US,Male,55+,Owner,Insurance,201-500 employees,740
US,Male,55+,Owner,Insurance,51-200 employees,1200
US,Male,55+,Owner,Insurance,11-50 employees,3300
US,Male,55+,Owner,Insurance,2-10 employees,6200
US,Male,55+,Owner,Insurance,Myself Only,0
US,Male,55+,Owner,Financial Services,"10,001+ employees",2300
US,Male,55+,Owner,Financial Services,"5001-10,000 employees",650
US,Male,55+,Owner,Financial Services,1001-5000 employees,1800
US,Male,55+,Owner,Financial Services,501-1000 employees,950
US,Male,55+,Owner,Financial Services,201-500 employees,1500
US,Male,55+,Owner,Financial Services,51-200 employees,2700
US,Male,55+,Owner,Financial Services,11-50 employees,5500
US,Male,55+,Owner,Financial Services,2-10 employees,9200
US,Male,55+,Owner,Financial Services,Myself Only,620
US,Male,55+,Owner,Capital Markets,"10,001+ employees",0
US,Male,55+,Owner,Capital Markets,"5001-10,000 employees",0
US,Male,55+,Owner,Capital Markets,1001-5000 employees,0
US,Male,55+,Owner,Capital Markets,501-1000 employees,0
US,Male,55+,Owner,Capital Markets,201-500 employees,0
US,Male,55+,Owner,Capital Markets,51-200 employees,0
US,Male,55+,Owner,Capital Markets,11-50 employees,0
US,Male,55+,Owner,Capital Markets,2-10 employees,360
US,Male,55+,Owner,Capital Markets,Myself Only,0
US,Male,55+,Owner,Banking,"10,001+ employees",620
US,Male,55+,Owner,Banking,"5001-10,000 employees",0
US,Male,55+,Owner,Banking,1001-5000 employees,410
US,Male,55+,Owner,Banking,501-1000 employees,0
US,Male,55+,Owner,Banking,201-500 employees,390
US,Male,55+,Owner,Banking,51-200 employees,730
US,Male,55+,Owner,Banking,11-50 employees,850
US,Male,55+,Owner,Banking,2-10 employees,1100
US,Male,55+,Owner,Banking,Myself Only,0
US,Male,55+,Owner,Consumer Electronics,"10,001+ employees",0
US,Male,55+,Owner,Consumer Electronics,"5001-10,000 employees",0
US,Male,55+,Owner,Consumer Electronics,1001-5000 employees,0
US,Male,55+,Owner,Consumer Electronics,501-1000 employees,0
US,Male,55+,Owner,Consumer Electronics,201-500 employees,0
US,Male,55+,Owner,Consumer Electronics,51-200 employees,0
US,Male,55+,Owner,Consumer Electronics,11-50 employees,520
US,Male,55+,Owner,Consumer Electronics,2-10 employees,890
US,Male,55+,Owner,Consumer Electronics,Myself Only,0
US,Male,55+,Owner,Nanotechnology,"10,001+ employees",0
US,Male,55+,Owner,Nanotechnology,"5001-10,000 employees",0
US,Male,55+,Owner,Nanotechnology,1001-5000 employees,0
US,Male,55+,Owner,Nanotechnology,501-1000 employees,0
US,Male,55+,Owner,Nanotechnology,201-500 employees,0
US,Male,55+,Owner,Nanotechnology,51-200 employees,0
US,Male,55+,Owner,Nanotechnology,11-50 employees,0
US,Male,55+,Owner,Nanotechnology,2-10 employees,0
US,Male,55+,Owner,Nanotechnology,Myself Only,0
US,Male,55+,Owner,Semiconductors,"10,001+ employees",340
US,Male,55+,Owner,Semiconductors,"5001-10,000 employees",0
US,Male,55+,Owner,Semiconductors,1001-5000 employees,0
US,Male,55+,Owner,Semiconductors,501-1000 employees,0
US,Male,55+,Owner,Semiconductors,201-500 employees,0
US,Male,55+,Owner,Semiconductors,51-200 employees,0
US,Male,55+,Owner,Semiconductors,11-50 employees,340
US,Male,55+,Owner,Semiconductors,2-10 employees,430
US,Male,55+,Owner,Semiconductors,Myself Only,0
US,Male,55+,Owner,Telecommunications,"10,001+ employees",910
US,Male,55+,Owner,Telecommunications,"5001-10,000 employees",0
US,Male,55+,Owner,Telecommunications,1001-5000 employees,700
US,Male,55+,Owner,Telecommunications,501-1000 employees,0
US,Male,55+,Owner,Telecommunications,201-500 employees,430
US,Male,55+,Owner,Telecommunications,51-200 employees,890
US,Male,55+,Owner,Telecommunications,11-50 employees,1500
US,Male,55+,Owner,Telecommunications,2-10 employees,2200
US,Male,55+,Owner,Telecommunications,Myself Only,0
US,Male,55+,Owner,Wireless,"10,001+ employees",0
US,Male,55+,Owner,Wireless,"5001-10,000 employees",0
US,Male,55+,Owner,Wireless,1001-5000 employees,0
US,Male,55+,Owner,Wireless,501-1000 employees,0
US,Male,55+,Owner,Wireless,201-500 employees,0
US,Male,55+,Owner,Wireless,51-200 employees,0
US,Male,55+,Owner,Wireless,11-50 employees,0
US,Male,55+,Owner,Wireless,2-10 employees,310
US,Male,55+,Owner,Wireless,Myself Only,0
US,Male,55+,Owner,Computer Networking,"10,001+ employees",0
US,Male,55+,Owner,Computer Networking,"5001-10,000 employees",0
US,Male,55+,Owner,Computer Networking,1001-5000 employees,0
US,Male,55+,Owner,Computer Networking,501-1000 employees,0
US,Male,55+,Owner,Computer Networking,201-500 employees,0
US,Male,55+,Owner,Computer Networking,51-200 employees,0
US,Male,55+,Owner,Computer Networking,11-50 employees,330
US,Male,55+,Owner,Computer Networking,2-10 employees,730
US,Male,55+,Owner,Computer Networking,Myself Only,0
US,Male,55+,Owner,Computer Hardware,"10,001+ employees",0
US,Male,55+,Owner,Computer Hardware,"5001-10,000 employees",0
US,Male,55+,Owner,Computer Hardware,1001-5000 employees,0
US,Male,55+,Owner,Computer Hardware,501-1000 employees,0
US,Male,55+,Owner,Computer Hardware,201-500 employees,0
US,Male,55+,Owner,Computer Hardware,51-200 employees,0
US,Male,55+,Owner,Computer Hardware,11-50 employees,380
US,Male,55+,Owner,Computer Hardware,2-10 employees,690
US,Male,55+,Owner,Computer Hardware,Myself Only,0
US,Male,55+,Owner,Computer & Network Security,"10,001+ employees",930
US,Male,55+,Owner,Computer & Network Security,"5001-10,000 employees",0
US,Male,55+,Owner,Computer & Network Security,1001-5000 employees,0
US,Male,55+,Owner,Computer & Network Security,501-1000 employees,0
US,Male,55+,Owner,Computer & Network Security,201-500 employees,0
US,Male,55+,Owner,Computer & Network Security,51-200 employees,370
US,Male,55+,Owner,Computer & Network Security,11-50 employees,610
US,Male,55+,Owner,Computer & Network Security,2-10 employees,970
US,Male,55+,Owner,Computer & Network Security,Myself Only,0
US,Male,55+,Owner,Computer Software,"10,001+ employees",2300
US,Male,55+,Owner,Computer Software,"5001-10,000 employees",460
US,Male,55+,Owner,Computer Software,1001-5000 employees,1300
US,Male,55+,Owner,Computer Software,501-1000 employees,760
US,Male,55+,Owner,Computer Software,201-500 employees,1300
US,Male,55+,Owner,Computer Software,51-200 employees,2900
US,Male,55+,Owner,Computer Software,11-50 employees,5300
US,Male,55+,Owner,Computer Software,2-10 employees,6800
US,Male,55+,Owner,Computer Software,Myself Only,680
US,Male,55+,Owner,Information Technology & Services,"10,001+ employees",3700
US,Male,55+,Owner,Information Technology & Services,"5001-10,000 employees",770
US,Male,55+,Owner,Information Technology & Services,1001-5000 employees,1900
US,Male,55+,Owner,Information Technology & Services,501-1000 employees,1200
US,Male,55+,Owner,Information Technology & Services,201-500 employees,2200
US,Male,55+,Owner,Information Technology & Services,51-200 employees,4200
US,Male,55+,Owner,Information Technology & Services,11-50 employees,7800
US,Male,55+,Owner,Information Technology & Services,2-10 employees,11000
US,Male,55+,Owner,Information Technology & Services,Myself Only,1000
US,Male,55+,Owner,Internet,"10,001+ employees",950
US,Male,55+,Owner,Internet,"5001-10,000 employees",0
US,Male,55+,Owner,Internet,1001-5000 employees,670
US,Male,55+,Owner,Internet,501-1000 employees,460
US,Male,55+,Owner,Internet,201-500 employees,670
US,Male,55+,Owner,Internet,51-200 employees,1400
US,Male,55+,Owner,Internet,11-50 employees,2500
US,Male,55+,Owner,Internet,2-10 employees,4200
US,Male,55+,Owner,Internet,Myself Only,580
US,Male,55+,Partner,Venture Capital & Private Equity,"10,001+ employees",570
US,Male,55+,Partner,Venture Capital & Private Equity,"5001-10,000 employees",0
US,Male,55+,Partner,Venture Capital & Private Equity,1001-5000 employees,720
US,Male,55+,Partner,Venture Capital & Private Equity,501-1000 employees,580
US,Male,55+,Partner,Venture Capital & Private Equity,201-500 employees,1000
US,Male,55+,Partner,Venture Capital & Private Equity,51-200 employees,2200
US,Male,55+,Partner,Venture Capital & Private Equity,11-50 employees,3300
US,Male,55+,Partner,Venture Capital & Private Equity,2-10 employees,3500
US,Male,55+,Partner,Venture Capital & Private Equity,Myself Only,0
US,Male,55+,Partner,Investment Management,"10,001+ employees",560
US,Male,55+,Partner,Investment Management,"5001-10,000 employees",0
US,Male,55+,Partner,Investment Management,1001-5000 employees,530
US,Male,55+,Partner,Investment Management,501-1000 employees,340
US,Male,55+,Partner,Investment Management,201-500 employees,530
US,Male,55+,Partner,Investment Management,51-200 employees,1000
US,Male,55+,Partner,Investment Management,11-50 employees,1800
US,Male,55+,Partner,Investment Management,2-10 employees,2100
US,Male,55+,Partner,Investment Management,Myself Only,0
US,Male,55+,Partner,Investment Banking,"10,001+ employees",0
US,Male,55+,Partner,Investment Banking,"5001-10,000 employees",0
US,Male,55+,Partner,Investment Banking,1001-5000 employees,0
US,Male,55+,Partner,Investment Banking,501-1000 employees,0
US,Male,55+,Partner,Investment Banking,201-500 employees,0
US,Male,55+,Partner,Investment Banking,51-200 employees,380
US,Male,55+,Partner,Investment Banking,11-50 employees,800
US,Male,55+,Partner,Investment Banking,2-10 employees,870
US,Male,55+,Partner,Investment Banking,Myself Only,0
US,Male,55+,Partner,Insurance,"10,001+ employees",650
US,Male,55+,Partner,Insurance,"5001-10,000 employees",0
