Country,Company Industry,Age Range,Job seniority,Company Size,Count
USA,IT,55+,Owner,"10,001+ employees",8700
USA,IT,55+,Owner,"5001-10,000 employees",2100
USA,IT,55+,Owner,1001-5000 employees,5800
USA,IT,55+,Owner,501-1000 employees,3400
USA,IT,55+,Owner,201-500 employees,5400
USA,IT,55+,Owner,51-200 employees,11000
USA,IT,55+,Owner,11-50 employees,21000
USA,IT,55+,Owner,2-10 employees,30000
USA,IT,55+,Owner,Myself Only,3200
USA,IT,55+,Partner,"10,001+ employees",4500
USA,IT,55+,Partner,"5001-10,000 employees",1300
USA,IT,55+,Partner,1001-5000 employees,3500
USA,IT,55+,Partner,501-1000 employees,2100
USA,IT,55+,Partner,201-500 employees,3600
USA,IT,55+,Partner,51-200 employees,7300
USA,IT,55+,Partner,11-50 employees,11000
USA,IT,55+,Partner,2-10 employees,11000
USA,IT,55+,Partner,Myself Only,840
USA,IT,55+,CXO,"10,001+ employees",7900
USA,IT,55+,CXO,"5001-10,000 employees",2100
USA,IT,55+,CXO,1001-5000 employees,5700
USA,IT,55+,CXO,501-1000 employees,3700
USA,IT,55+,CXO,201-500 employees,6500
USA,IT,55+,CXO,51-200 employees,15000
USA,IT,55+,CXO,11-50 employees,26000
USA,IT,55+,CXO,2-10 employees,28000
USA,IT,55+,CXO,Myself Only,2000
USA,IT,55+,VP,"10,001+ employees",14000
USA,IT,55+,VP,"5001-10,000 employees",2800
USA,IT,55+,VP,1001-5000 employees,6800
USA,IT,55+,VP,501-1000 employees,3500
USA,IT,55+,VP,201-500 employees,5700
USA,IT,55+,VP,51-200 employees,10000
USA,IT,55+,VP,11-50 employees,12000
USA,IT,55+,VP,2-10 employees,9100
USA,IT,55+,VP,Myself Only,730
USA,IT,55+,Director,"10,001+ employees",29000
USA,IT,55+,Director,"5001-10,000 employees",5800
USA,IT,55+,Director,1001-5000 employees,12000
USA,IT,55+,Director,501-1000 employees,5300
USA,IT,55+,Director,201-500 employees,8100
USA,IT,55+,Director,51-200 employees,13000
USA,IT,55+,Director,11-50 employees,15000
USA,IT,55+,Director,2-10 employees,13000
USA,IT,55+,Director,Myself Only,1400
USA,IT,55+,Manager,"10,001+ employees",37000
USA,IT,55+,Manager,"5001-10,000 employees",5400
USA,IT,55+,Manager,1001-5000 employees,10000
USA,IT,55+,Manager,501-1000 employees,3900
USA,IT,55+,Manager,201-500 employees,5800
USA,IT,55+,Manager,51-200 employees,8000
USA,IT,55+,Manager,11-50 employees,8100
USA,IT,55+,Manager,2-10 employees,6800
USA,IT,55+,Manager,Myself Only,1000
USA,IT,55+,Senior,"10,001+ employees",97000
USA,IT,55+,Senior,"5001-10,000 employees",16000
USA,IT,55+,Senior,1001-5000 employees,30000
USA,IT,55+,Senior,501-1000 employees,12000
USA,IT,55+,Senior,201-500 employees,17000
USA,IT,55+,Senior,51-200 employees,24000
USA,IT,55+,Senior,11-50 employees,21000
USA,IT,55+,Senior,2-10 employees,14000
USA,IT,55+,Senior,Myself Only,2900
USA,IT,55+,Entry,"10,001+ employees",49000
USA,IT,55+,Entry,"5001-10,000 employees",7400
USA,IT,55+,Entry,1001-5000 employees,15000
USA,IT,55+,Entry,501-1000 employees,6400
USA,IT,55+,Entry,201-500 employees,9800
USA,IT,55+,Entry,51-200 employees,14000
USA,IT,55+,Entry,11-50 employees,13000
USA,IT,55+,Entry,2-10 employees,8800
USA,IT,55+,Entry,Myself Only,1900
USA,IT,55+,Training,"10,001+ employees",0
USA,IT,55+,Training,"5001-10,000 employees",0
USA,IT,55+,Training,1001-5000 employees,0
USA,IT,55+,Training,501-1000 employees,0
USA,IT,55+,Training,201-500 employees,0
USA,IT,55+,Training,51-200 employees,0
USA,IT,55+,Training,11-50 employees,0
USA,IT,55+,Training,2-10 employees,0
USA,IT,55+,Training,Myself Only,0
USA,IT,55+,Unpaid,"10,001+ employees",4100
USA,IT,55+,Unpaid,"5001-10,000 employees",0
USA,IT,55+,Unpaid,1001-5000 employees,510
USA,IT,55+,Unpaid,501-1000 employees,0
USA,IT,55+,Unpaid,201-500 employees,360
USA,IT,55+,Unpaid,51-200 employees,510
USA,IT,55+,Unpaid,11-50 employees,820
USA,IT,55+,Unpaid,2-10 employees,1000
USA,IT,55+,Unpaid,Myself Only,1400
USA,IT,35 to 54,Owner,"10,001+ employees",36000
USA,IT,35 to 54,Owner,"5001-10,000 employees",8300
USA,IT,35 to 54,Owner,1001-5000 employees,22000
USA,IT,35 to 54,Owner,501-1000 employees,12000
USA,IT,35 to 54,Owner,201-500 employees,19000
USA,IT,35 to 54,Owner,51-200 employees,39000
USA,IT,35 to 54,Owner,11-50 employees,74000
USA,IT,35 to 54,Owner,2-10 employees,110000
USA,IT,35 to 54,Owner,Myself Only,14000
USA,IT,35 to 54,Partner,"10,001+ employees",14000
USA,IT,35 to 54,Partner,"5001-10,000 employees",3400
USA,IT,35 to 54,Partner,1001-5000 employees,8900
USA,IT,35 to 54,Partner,501-1000 employees,5600
USA,IT,35 to 54,Partner,201-500 employees,9400
USA,IT,35 to 54,Partner,51-200 employees,18000
USA,IT,35 to 54,Partner,11-50 employees,29000
USA,IT,35 to 54,Partner,2-10 employees,29000
USA,IT,35 to 54,Partner,Myself Only,2400
USA,IT,35 to 54,CXO,"10,001+ employees",23000
USA,IT,35 to 54,CXO,"5001-10,000 employees",5300
USA,IT,35 to 54,CXO,1001-5000 employees,15000
USA,IT,35 to 54,CXO,501-1000 employees,9500
USA,IT,35 to 54,CXO,201-500 employees,18000
USA,IT,35 to 54,CXO,51-200 employees,40000
USA,IT,35 to 54,CXO,11-50 employees,72000
USA,IT,35 to 54,CXO,2-10 employees,76000
USA,IT,35 to 54,CXO,Myself Only,6100
USA,IT,35 to 54,VP,"10,001+ employees",49000
USA,IT,35 to 54,VP,"5001-10,000 employees",9500
USA,IT,35 to 54,VP,1001-5000 employees,26000
USA,IT,35 to 54,VP,501-1000 employees,14000
USA,IT,35 to 54,VP,201-500 employees,21000
USA,IT,35 to 54,VP,51-200 employees,37000
USA,IT,35 to 54,VP,11-50 employees,40000
USA,IT,35 to 54,VP,2-10 employees,27000
USA,IT,35 to 54,VP,Myself Only,2200
USA,IT,35 to 54,Director,"10,001+ employees",140000
USA,IT,35 to 54,Director,"5001-10,000 employees",26000
USA,IT,35 to 54,Director,1001-5000 employees,61000
USA,IT,35 to 54,Director,501-1000 employees,28000
USA,IT,35 to 54,Director,201-500 employees,39000
USA,IT,35 to 54,Director,51-200 employees,64000
USA,IT,35 to 54,Director,11-50 employees,63000
