Country,Gender,Age Range,Job seniority,Company Size,Excluded Company Industry,Count
PHL,Any Gender,Any Age Range,Any Job Seniority,Any Company Size,Neither IT nor Finance,8900000
PHL,Any Gender,Any Age Range,Any Job Seniority,Any Company Size,Finance,9800000
PHL,Any Gender,Any Age Range,Any Job Seniority,Any Company Size,IT,9300000
PHL,Any Gender,Any Age Range,Any Job Seniority,"10,001+ employees",Neither IT nor Finance,580000
PHL,Any Gender,Any Age Range,Any Job Seniority,"10,001+ employees",Finance,810000
PHL,Any Gender,Any Age Range,Any Job Seniority,"10,001+ employees",IT,680000
PHL,Any Gender,Any Age Range,Any Job Seniority,"5001-10,000 employees",Neither IT nor Finance,100000
PHL,Any Gender,Any Age Range,Any Job Seniority,"5001-10,000 employees",Finance,140000
PHL,Any Gender,Any Age Range,Any Job Seniority,"5001-10,000 employees",IT,130000
PHL,Any Gender,Any Age Range,Any Job Seniority,1001-5000 employees,Neither IT nor Finance,280000
PHL,Any Gender,Any Age Range,Any Job Seniority,1001-5000 employees,Finance,330000
PHL,Any Gender,Any Age Range,Any Job Seniority,1001-5000 employees,IT,320000
PHL,Any Gender,Any Age Range,Any Job Seniority,501-1000 employees,Neither IT nor Finance,150000
PHL,Any Gender,Any Age Range,Any Job Seniority,501-1000 employees,Finance,200000
PHL,Any Gender,Any Age Range,Any Job Seniority,501-1000 employees,IT,180000
PHL,Any Gender,Any Age Range,Any Job Seniority,201-500 employees,Neither IT nor Finance,210000
PHL,Any Gender,Any Age Range,Any Job Seniority,201-500 employees,Finance,250000
PHL,Any Gender,Any Age Range,Any Job Seniority,201-500 employees,IT,220000
PHL,Any Gender,Any Age Range,Any Job Seniority,51-200 employees,Neither IT nor Finance,240000
PHL,Any Gender,Any Age Range,Any Job Seniority,51-200 employees,Finance,310000
PHL,Any Gender,Any Age Range,Any Job Seniority,51-200 employees,IT,260000
PHL,Any Gender,Any Age Range,Any Job Seniority,11-50 employees,Neither IT nor Finance,250000
PHL,Any Gender,Any Age Range,Any Job Seniority,11-50 employees,Finance,330000
PHL,Any Gender,Any Age Range,Any Job Seniority,11-50 employees,IT,270000
PHL,Any Gender,Any Age Range,Any Job Seniority,2-10 employees,Neither IT nor Finance,200000
PHL,Any Gender,Any Age Range,Any Job Seniority,2-10 employees,Finance,240000
PHL,Any Gender,Any Age Range,Any Job Seniority,2-10 employees,IT,210000
PHL,Any Gender,Any Age Range,Any Job Seniority,Myself Only,Neither IT nor Finance,59000
PHL,Any Gender,Any Age Range,Any Job Seniority,Myself Only,Finance,71000
PHL,Any Gender,Any Age Range,Any Job Seniority,Myself Only,IT,61000
PHL,Any Gender,Any Age Range,Owner,Any Company Size,Neither IT nor Finance,120000
PHL,Any Gender,Any Age Range,Owner,Any Company Size,Finance,140000
PHL,Any Gender,Any Age Range,Owner,Any Company Size,IT,130000
PHL,Any Gender,Any Age Range,Owner,"10,001+ employees",Neither IT nor Finance,4400
PHL,Any Gender,Any Age Range,Owner,"10,001+ employees",Finance,5900
PHL,Any Gender,Any Age Range,Owner,"10,001+ employees",IT,5300
PHL,Any Gender,Any Age Range,Owner,"5001-10,000 employees",Neither IT nor Finance,860
PHL,Any Gender,Any Age Range,Owner,"5001-10,000 employees",Finance,1200
PHL,Any Gender,Any Age Range,Owner,"5001-10,000 employees",IT,990
PHL,Any Gender,Any Age Range,Owner,1001-5000 employees,Neither IT nor Finance,2000
PHL,Any Gender,Any Age Range,Owner,1001-5000 employees,Finance,2600
PHL,Any Gender,Any Age Range,Owner,1001-5000 employees,IT,2600
PHL,Any Gender,Any Age Range,Owner,501-1000 employees,Neither IT nor Finance,1800
PHL,Any Gender,Any Age Range,Owner,501-1000 employees,Finance,2700
PHL,Any Gender,Any Age Range,Owner,501-1000 employees,IT,2400
PHL,Any Gender,Any Age Range,Owner,201-500 employees,Neither IT nor Finance,2100
PHL,Any Gender,Any Age Range,Owner,201-500 employees,Finance,2800
PHL,Any Gender,Any Age Range,Owner,201-500 employees,IT,2400
PHL,Any Gender,Any Age Range,Owner,51-200 employees,Neither IT nor Finance,3800
PHL,Any Gender,Any Age Range,Owner,51-200 employees,Finance,5000
PHL,Any Gender,Any Age Range,Owner,51-200 employees,IT,4100
PHL,Any Gender,Any Age Range,Owner,11-50 employees,Neither IT nor Finance,6800
PHL,Any Gender,Any Age Range,Owner,11-50 employees,Finance,9100
PHL,Any Gender,Any Age Range,Owner,11-50 employees,IT,7300
PHL,Any Gender,Any Age Range,Owner,2-10 employees,Neither IT nor Finance,9500
PHL,Any Gender,Any Age Range,Owner,2-10 employees,Finance,12000
PHL,Any Gender,Any Age Range,Owner,2-10 employees,IT,10000
PHL,Any Gender,Any Age Range,Owner,Myself Only,Neither IT nor Finance,2300
PHL,Any Gender,Any Age Range,Owner,Myself Only,Finance,2700
