0,1,2,3,4,5,6
VNM,Any Gender,Any Age Range,Any Job Seniority,Any Company Size,Neither IT nor Finance,3500000
VNM,Any Gender,Any Age Range,Any Job Seniority,Any Company Size,Finance,3800000
VNM,Any Gender,Any Age Range,Any Job Seniority,Any Company Size,IT,3600000
VNM,Any Gender,Any Age Range,Any Job Seniority,"10,001+ employees",Neither IT nor Finance,140000
VNM,Any Gender,Any Age Range,Any Job Seniority,"10,001+ employees",Finance,210000
VNM,Any Gender,Any Age Range,Any Job Seniority,"10,001+ employees",IT,180000
VNM,Any Gender,Any Age Range,Any Job Seniority,"5001-10,000 employees",Neither IT nor Finance,36000
VNM,Any Gender,Any Age Range,Any Job Seniority,"5001-10,000 employees",Finance,44000
VNM,Any Gender,Any Age Range,Any Job Seniority,"5001-10,000 employees",IT,44000
VNM,Any Gender,Any Age Range,Any Job Seniority,1001-5000 employees,Neither IT nor Finance,82000
VNM,Any Gender,Any Age Range,Any Job Seniority,1001-5000 employees,Finance,110000
VNM,Any Gender,Any Age Range,Any Job Seniority,1001-5000 employees,IT,98000
VNM,Any Gender,Any Age Range,Any Job Seniority,501-1000 employees,Neither IT nor Finance,58000
VNM,Any Gender,Any Age Range,Any Job Seniority,501-1000 employees,Finance,76000
VNM,Any Gender,Any Age Range,Any Job Seniority,501-1000 employees,IT,64000
VNM,Any Gender,Any Age Range,Any Job Seniority,201-500 employees,Neither IT nor Finance,64000
VNM,Any Gender,Any Age Range,Any Job Seniority,201-500 employees,Finance,88000
VNM,Any Gender,Any Age Range,Any Job Seniority,201-500 employees,IT,69000
VNM,Any Gender,Any Age Range,Any Job Seniority,51-200 employees,Neither IT nor Finance,87000
VNM,Any Gender,Any Age Range,Any Job Seniority,51-200 employees,Finance,120000
VNM,Any Gender,Any Age Range,Any Job Seniority,51-200 employees,IT,96000
VNM,Any Gender,Any Age Range,Any Job Seniority,11-50 employees,Neither IT nor Finance,100000
VNM,Any Gender,Any Age Range,Any Job Seniority,11-50 employees,Finance,140000
VNM,Any Gender,Any Age Range,Any Job Seniority,11-50 employees,IT,110000
VNM,Any Gender,Any Age Range,Any Job Seniority,2-10 employees,Neither IT nor Finance,77000
VNM,Any Gender,Any Age Range,Any Job Seniority,2-10 employees,Finance,95000
VNM,Any Gender,Any Age Range,Any Job Seniority,2-10 employees,IT,82000
VNM,Any Gender,Any Age Range,Any Job Seniority,Myself Only,Neither IT nor Finance,13000
VNM,Any Gender,Any Age Range,Any Job Seniority,Myself Only,Finance,18000
VNM,Any Gender,Any Age Range,Any Job Seniority,Myself Only,IT,13000
VNM,Any Gender,Any Age Range,Owner,Any Company Size,Neither IT nor Finance,32000
VNM,Any Gender,Any Age Range,Owner,Any Company Size,Finance,39000
VNM,Any Gender,Any Age Range,Owner,Any Company Size,IT,35000
VNM,Any Gender,Any Age Range,Owner,"10,001+ employees",Neither IT nor Finance,2400
VNM,Any Gender,Any Age Range,Owner,"10,001+ employees",Finance,3500
VNM,Any Gender,Any Age Range,Owner,"10,001+ employees",IT,3100
VNM,Any Gender,Any Age Range,Owner,"5001-10,000 employees",Neither IT nor Finance,330
VNM,Any Gender,Any Age Range,Owner,"5001-10,000 employees",Finance,460
VNM,Any Gender,Any Age Range,Owner,"5001-10,000 employees",IT,400
VNM,Any Gender,Any Age Range,Owner,1001-5000 employees,Neither IT nor Finance,840
VNM,Any Gender,Any Age Range,Owner,1001-5000 employees,Finance,1200
VNM,Any Gender,Any Age Range,Owner,1001-5000 employees,IT,1500
VNM,Any Gender,Any Age Range,Owner,501-1000 employees,Neither IT nor Finance,550
VNM,Any Gender,Any Age Range,Owner,501-1000 employees,Finance,770
VNM,Any Gender,Any Age Range,Owner,501-1000 employees,IT,620
VNM,Any Gender,Any Age Range,Owner,201-500 employees,Neither IT nor Finance,980
VNM,Any Gender,Any Age Range,Owner,201-500 employees,Finance,1400
VNM,Any Gender,Any Age Range,Owner,201-500 employees,IT,1100
VNM,Any Gender,Any Age Range,Owner,51-200 employees,Neither IT nor Finance,1700
VNM,Any Gender,Any Age Range,Owner,51-200 employees,Finance,2400
VNM,Any Gender,Any Age Range,Owner,51-200 employees,IT,1900
VNM,Any Gender,Any Age Range,Owner,11-50 employees,Neither IT nor Finance,3300
VNM,Any Gender,Any Age Range,Owner,11-50 employees,Finance,4600
VNM,Any Gender,Any Age Range,Owner,11-50 employees,IT,3600
VNM,Any Gender,Any Age Range,Owner,2-10 employees,Neither IT nor Finance,3200
VNM,Any Gender,Any Age Range,Owner,2-10 employees,Finance,4100
VNM,Any Gender,Any Age Range,Owner,2-10 employees,IT,3400
VNM,Any Gender,Any Age Range,Owner,Myself Only,Neither IT nor Finance,370
VNM,Any Gender,Any Age Range,Owner,Myself Only,Finance,490
VNM,Any Gender,Any Age Range,Owner,Myself Only,IT,380
VNM,Any Gender,Any Age Range,Partner,Any Company Size,Neither IT nor Finance,3000
VNM,Any Gender,Any Age Range,Partner,Any Company Size,Finance,3700
VNM,Any Gender,Any Age Range,Partner,Any Company Size,IT,3800
VNM,Any Gender,Any Age Range,Partner,"10,001+ employees",Neither IT nor Finance,320
VNM,Any Gender,Any Age Range,Partner,"10,001+ employees",Finance,450
VNM,Any Gender,Any Age Range,Partner,"10,001+ employees",IT,430
VNM,Any Gender,Any Age Range,Partner,"5001-10,000 employees",Neither IT nor Finance,0
VNM,Any Gender,Any Age Range,Partner,"5001-10,000 employees",Finance,0
VNM,Any Gender,Any Age Range,Partner,"5001-10,000 employees",IT,0
VNM,Any Gender,Any Age Range,Partner,1001-5000 employees,Neither IT nor Finance,0
VNM,Any Gender,Any Age Range,Partner,1001-5000 employees,Finance,0
VNM,Any Gender,Any Age Range,Partner,1001-5000 employees,IT,0
VNM,Any Gender,Any Age Range,Partner,501-1000 employees,Neither IT nor Finance,0
VNM,Any Gender,Any Age Range,Partner,501-1000 employees,Finance,0
VNM,Any Gender,Any Age Range,Partner,501-1000 employees,IT,0
VNM,Any Gender,Any Age Range,Partner,201-500 employees,Neither IT nor Finance,0
VNM,Any Gender,Any Age Range,Partner,201-500 employees,Finance,0
VNM,Any Gender,Any Age Range,Partner,201-500 employees,IT,0
VNM,Any Gender,Any Age Range,Partner,51-200 employees,Neither IT nor Finance,0
VNM,Any Gender,Any Age Range,Partner,51-200 employees,Finance,390
VNM,Any Gender,Any Age Range,Partner,51-200 employees,IT,400
VNM,Any Gender,Any Age Range,Partner,11-50 employees,Neither IT nor Finance,520
VNM,Any Gender,Any Age Range,Partner,11-50 employees,Finance,670
VNM,Any Gender,Any Age Range,Partner,11-50 employees,IT,660
VNM,Any Gender,Any Age Range,Partner,2-10 employees,Neither IT nor Finance,330
VNM,Any Gender,Any Age Range,Partner,2-10 employees,Finance,430
VNM,Any Gender,Any Age Range,Partner,2-10 employees,IT,460
VNM,Any Gender,Any Age Range,Partner,Myself Only,Neither IT nor Finance,0
VNM,Any Gender,Any Age Range,Partner,Myself Only,Finance,0
VNM,Any Gender,Any Age Range,Partner,Myself Only,IT,0
VNM,Any Gender,Any Age Range,CXO,Any Company Size,Neither IT nor Finance,30000
VNM,Any Gender,Any Age Range,CXO,Any Company Size,Finance,37000
VNM,Any Gender,Any Age Range,CXO,Any Company Size,IT,33000
VNM,Any Gender,Any Age Range,CXO,"10,001+ employees",Neither IT nor Finance,1400
VNM,Any Gender,Any Age Range,CXO,"10,001+ employees",Finance,2200
VNM,Any Gender,Any Age Range,CXO,"10,001+ employees",IT,1900
VNM,Any Gender,Any Age Range,CXO,"5001-10,000 employees",Neither IT nor Finance,360
VNM,Any Gender,Any Age Range,CXO,"5001-10,000 employees",Finance,440
VNM,Any Gender,Any Age Range,CXO,"5001-10,000 employees",IT,490
VNM,Any Gender,Any Age Range,CXO,1001-5000 employees,Neither IT nor Finance,990
VNM,Any Gender,Any Age Range,CXO,1001-5000 employees,Finance,1400
VNM,Any Gender,Any Age Range,CXO,1001-5000 employees,IT,1300
VNM,Any Gender,Any Age Range,CXO,501-1000 employees,Neither IT nor Finance,650
VNM,Any Gender,Any Age Range,CXO,501-1000 employees,Finance,950
VNM,Any Gender,Any Age Range,CXO,501-1000 employees,IT,790
VNM,Any Gender,Any Age Range,CXO,201-500 employees,Neither IT nor Finance,1200
VNM,Any Gender,Any Age Range,CXO,201-500 employees,Finance,1700
VNM,Any Gender,Any Age Range,CXO,201-500 employees,IT,1300
VNM,Any Gender,Any Age Range,CXO,51-200 employees,Neither IT nor Finance,1900
VNM,Any Gender,Any Age Range,CXO,51-200 employees,Finance,2800
