Country,Gender,Company Industry,Age Range,Job seniority,Company Size,Count
VNM,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,Any Company Size,3900000
VNM,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,"10,001+ employees",240000
VNM,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,"5001-10,000 employees",52000
VNM,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,1001-5000 employees,130000
VNM,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,501-1000 employees,83000
VNM,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,201-500 employees,93000
VNM,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,51-200 employees,130000
VNM,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,11-50 employees,140000
VNM,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,2-10 employees,99000
VNM,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,Myself Only,19000
VNM,Any Gender,Any Company Industry,Any Age Range,Owner,Any Company Size,43000
VNM,Any Gender,Any Company Industry,Any Age Range,Owner,"10,001+ employees",4200
VNM,Any Gender,Any Company Industry,Any Age Range,Owner,"5001-10,000 employees",540
VNM,Any Gender,Any Company Industry,Any Age Range,Owner,1001-5000 employees,1900
VNM,Any Gender,Any Company Industry,Any Age Range,Owner,501-1000 employees,860
VNM,Any Gender,Any Company Industry,Any Age Range,Owner,201-500 employees,1500
VNM,Any Gender,Any Company Industry,Any Age Range,Owner,51-200 employees,2600
VNM,Any Gender,Any Company Industry,Any Age Range,Owner,11-50 employees,4900
VNM,Any Gender,Any Company Industry,Any Age Range,Owner,2-10 employees,4400
VNM,Any Gender,Any Company Industry,Any Age Range,Owner,Myself Only,500
VNM,Any Gender,Any Company Industry,Any Age Range,Partner,Any Company Size,4600
VNM,Any Gender,Any Company Industry,Any Age Range,Partner,"10,001+ employees",570
VNM,Any Gender,Any Company Industry,Any Age Range,Partner,"5001-10,000 employees",0
VNM,Any Gender,Any Company Industry,Any Age Range,Partner,1001-5000 employees,390
VNM,Any Gender,Any Company Industry,Any Age Range,Partner,501-1000 employees,0
VNM,Any Gender,Any Company Industry,Any Age Range,Partner,201-500 employees,330
VNM,Any Gender,Any Company Industry,Any Age Range,Partner,51-200 employees,540
VNM,Any Gender,Any Company Industry,Any Age Range,Partner,11-50 employees,860
VNM,Any Gender,Any Company Industry,Any Age Range,Partner,2-10 employees,590
VNM,Any Gender,Any Company Industry,Any Age Range,Partner,Myself Only,0
VNM,Any Gender,Any Company Industry,Any Age Range,CXO,Any Company Size,40000
VNM,Any Gender,Any Company Industry,Any Age Range,CXO,"10,001+ employees",2700
VNM,Any Gender,Any Company Industry,Any Age Range,CXO,"5001-10,000 employees",570
VNM,Any Gender,Any Company Industry,Any Age Range,CXO,1001-5000 employees,1700
VNM,Any Gender,Any Company Industry,Any Age Range,CXO,501-1000 employees,1100
VNM,Any Gender,Any Company Industry,Any Age Range,CXO,201-500 employees,1900
VNM,Any Gender,Any Company Industry,Any Age Range,CXO,51-200 employees,3100
VNM,Any Gender,Any Company Industry,Any Age Range,CXO,11-50 employees,5000
VNM,Any Gender,Any Company Industry,Any Age Range,CXO,2-10 employees,3200
VNM,Any Gender,Any Company Industry,Any Age Range,CXO,Myself Only,0
VNM,Any Gender,Any Company Industry,Any Age Range,VP,Any Company Size,29000
VNM,Any Gender,Any Company Industry,Any Age Range,VP,"10,001+ employees",5100
VNM,Any Gender,Any Company Industry,Any Age Range,VP,"5001-10,000 employees",840
VNM,Any Gender,Any Company Industry,Any Age Range,VP,1001-5000 employees,1900
VNM,Any Gender,Any Company Industry,Any Age Range,VP,501-1000 employees,980
VNM,Any Gender,Any Company Industry,Any Age Range,VP,201-500 employees,1400
VNM,Any Gender,Any Company Industry,Any Age Range,VP,51-200 employees,2000
VNM,Any Gender,Any Company Industry,Any Age Range,VP,11-50 employees,2700
VNM,Any Gender,Any Company Industry,Any Age Range,VP,2-10 employees,1700
VNM,Any Gender,Any Company Industry,Any Age Range,VP,Myself Only,0
VNM,Any Gender,Any Company Industry,Any Age Range,Director,Any Company Size,83000
VNM,Any Gender,Any Company Industry,Any Age Range,Director,"10,001+ employees",11000
VNM,Any Gender,Any Company Industry,Any Age Range,Director,"5001-10,000 employees",2900
VNM,Any Gender,Any Company Industry,Any Age Range,Director,1001-5000 employees,6200
VNM,Any Gender,Any Company Industry,Any Age Range,Director,501-1000 employees,3800
VNM,Any Gender,Any Company Industry,Any Age Range,Director,201-500 employees,4600
VNM,Any Gender,Any Company Industry,Any Age Range,Director,51-200 employees,6500
VNM,Any Gender,Any Company Industry,Any Age Range,Director,11-50 employees,7200
VNM,Any Gender,Any Company Industry,Any Age Range,Director,2-10 employees,4600
VNM,Any Gender,Any Company Industry,Any Age Range,Director,Myself Only,500
VNM,Any Gender,Any Company Industry,Any Age Range,Manager,Any Company Size,130000
VNM,Any Gender,Any Company Industry,Any Age Range,Manager,"10,001+ employees",22000
VNM,Any Gender,Any Company Industry,Any Age Range,Manager,"5001-10,000 employees",5400
VNM,Any Gender,Any Company Industry,Any Age Range,Manager,1001-5000 employees,12000
VNM,Any Gender,Any Company Industry,Any Age Range,Manager,501-1000 employees,6300
VNM,Any Gender,Any Company Industry,Any Age Range,Manager,201-500 employees,6800
VNM,Any Gender,Any Company Industry,Any Age Range,Manager,51-200 employees,8800
VNM,Any Gender,Any Company Industry,Any Age Range,Manager,11-50 employees,9000
VNM,Any Gender,Any Company Industry,Any Age Range,Manager,2-10 employees,6200
VNM,Any Gender,Any Company Industry,Any Age Range,Manager,Myself Only,830
VNM,Any Gender,Any Company Industry,Any Age Range,Senior,Any Company Size,410000
VNM,Any Gender,Any Company Industry,Any Age Range,Senior,"10,001+ employees",63000
VNM,Any Gender,Any Company Industry,Any Age Range,Senior,"5001-10,000 employees",15000
VNM,Any Gender,Any Company Industry,Any Age Range,Senior,1001-5000 employees,36000
VNM,Any Gender,Any Company Industry,Any Age Range,Senior,501-1000 employees,22000
VNM,Any Gender,Any Company Industry,Any Age Range,Senior,201-500 employees,26000
VNM,Any Gender,Any Company Industry,Any Age Range,Senior,51-200 employees,35000
VNM,Any Gender,Any Company Industry,Any Age Range,Senior,11-50 employees,34000
VNM,Any Gender,Any Company Industry,Any Age Range,Senior,2-10 employees,19000
VNM,Any Gender,Any Company Industry,Any Age Range,Senior,Myself Only,3300
VNM,Any Gender,Any Company Industry,Any Age Range,Entry,Any Company Size,680000
VNM,Any Gender,Any Company Industry,Any Age Range,Entry,"10,001+ employees",100000
VNM,Any Gender,Any Company Industry,Any Age Range,Entry,"5001-10,000 employees",21000
VNM,Any Gender,Any Company Industry,Any Age Range,Entry,1001-5000 employees,47000
VNM,Any Gender,Any Company Industry,Any Age Range,Entry,501-1000 employees,30000
VNM,Any Gender,Any Company Industry,Any Age Range,Entry,201-500 employees,37000
VNM,Any Gender,Any Company Industry,Any Age Range,Entry,51-200 employees,49000
VNM,Any Gender,Any Company Industry,Any Age Range,Entry,11-50 employees,54000
VNM,Any Gender,Any Company Industry,Any Age Range,Entry,2-10 employees,35000
VNM,Any Gender,Any Company Industry,Any Age Range,Entry,Myself Only,7900
VNM,Any Gender,Any Company Industry,Any Age Range,Training,Any Company Size,80000
VNM,Any Gender,Any Company Industry,Any Age Range,Training,"10,001+ employees",12000
VNM,Any Gender,Any Company Industry,Any Age Range,Training,"5001-10,000 employees",1900
