0,1,2,3,4,5,6
GBR,Female,Finance,35 to 54,Director,Any Company Size,37000
GBR,Female,Finance,35 to 54,Director,"10,001+ employees",14000
GBR,Female,Finance,35 to 54,Director,"5001-10,000 employees",2300
GBR,Female,Finance,35 to 54,Director,1001-5000 employees,5700
GBR,Female,Finance,35 to 54,Director,501-1000 employees,1900
GBR,Female,Finance,35 to 54,Director,201-500 employees,2600
GBR,Female,Finance,35 to 54,Director,51-200 employees,3800
GBR,Female,Finance,35 to 54,Director,11-50 employees,4000
GBR,Female,Finance,35 to 54,Director,2-10 employees,3600
GBR,Female,Finance,35 to 54,Director,Myself Only,910
GBR,Female,Finance,35 to 54,Manager,Any Company Size,34000
GBR,Female,Finance,35 to 54,Manager,"10,001+ employees",15000
GBR,Female,Finance,35 to 54,Manager,"5001-10,000 employees",2500
GBR,Female,Finance,35 to 54,Manager,1001-5000 employees,6100
GBR,Female,Finance,35 to 54,Manager,501-1000 employees,1700
GBR,Female,Finance,35 to 54,Manager,201-500 employees,2000
GBR,Female,Finance,35 to 54,Manager,51-200 employees,2400
GBR,Female,Finance,35 to 54,Manager,11-50 employees,2000
GBR,Female,Finance,35 to 54,Manager,2-10 employees,1300
GBR,Female,Finance,35 to 54,Manager,Myself Only,1000
GBR,Female,Finance,35 to 54,Senior,Any Company Size,100000
GBR,Female,Finance,35 to 54,Senior,"10,001+ employees",37000
GBR,Female,Finance,35 to 54,Senior,"5001-10,000 employees",7500
GBR,Female,Finance,35 to 54,Senior,1001-5000 employees,18000
GBR,Female,Finance,35 to 54,Senior,501-1000 employees,5300
GBR,Female,Finance,35 to 54,Senior,201-500 employees,6800
GBR,Female,Finance,35 to 54,Senior,51-200 employees,8100
GBR,Female,Finance,35 to 54,Senior,11-50 employees,7200
GBR,Female,Finance,35 to 54,Senior,2-10 employees,4600
GBR,Female,Finance,35 to 54,Senior,Myself Only,2200
GBR,Female,Finance,35 to 54,Entry,Any Company Size,45000
GBR,Female,Finance,35 to 54,Entry,"10,001+ employees",15000
GBR,Female,Finance,35 to 54,Entry,"5001-10,000 employees",2800
GBR,Female,Finance,35 to 54,Entry,1001-5000 employees,7300
GBR,Female,Finance,35 to 54,Entry,501-1000 employees,2100
GBR,Female,Finance,35 to 54,Entry,201-500 employees,2700
GBR,Female,Finance,35 to 54,Entry,51-200 employees,3700
GBR,Female,Finance,35 to 54,Entry,11-50 employees,3200
GBR,Female,Finance,35 to 54,Entry,2-10 employees,2400
GBR,Female,Finance,35 to 54,Entry,Myself Only,890
GBR,Female,Finance,35 to 54,Training,Any Company Size,490
GBR,Female,Finance,35 to 54,Training,"10,001+ employees",0
GBR,Female,Finance,35 to 54,Training,"5001-10,000 employees",0
GBR,Female,Finance,35 to 54,Training,1001-5000 employees,0
GBR,Female,Finance,35 to 54,Training,501-1000 employees,0
GBR,Female,Finance,35 to 54,Training,201-500 employees,0
GBR,Female,Finance,35 to 54,Training,51-200 employees,0
GBR,Female,Finance,35 to 54,Training,11-50 employees,0
GBR,Female,Finance,35 to 54,Training,2-10 employees,0
GBR,Female,Finance,35 to 54,Training,Myself Only,0
GBR,Female,Finance,35 to 54,Unpaid,Any Company Size,1100
GBR,Female,Finance,35 to 54,Unpaid,"10,001+ employees",0
GBR,Female,Finance,35 to 54,Unpaid,"5001-10,000 employees",0
GBR,Female,Finance,35 to 54,Unpaid,1001-5000 employees,0
GBR,Female,Finance,35 to 54,Unpaid,501-1000 employees,0
GBR,Female,Finance,35 to 54,Unpaid,201-500 employees,0
GBR,Female,Finance,35 to 54,Unpaid,51-200 employees,0
GBR,Female,Finance,35 to 54,Unpaid,11-50 employees,0
GBR,Female,Finance,35 to 54,Unpaid,2-10 employees,0
GBR,Female,Finance,35 to 54,Unpaid,Myself Only,0
GBR,Female,Finance,25 to 34,Any Job Seniority,Any Company Size,310000
GBR,Female,Finance,25 to 34,Any Job Seniority,"10,001+ employees",86000
GBR,Female,Finance,25 to 34,Any Job Seniority,"5001-10,000 employees",14000
GBR,Female,Finance,25 to 34,Any Job Seniority,1001-5000 employees,39000
GBR,Female,Finance,25 to 34,Any Job Seniority,501-1000 employees,12000
GBR,Female,Finance,25 to 34,Any Job Seniority,201-500 employees,16000
GBR,Female,Finance,25 to 34,Any Job Seniority,51-200 employees,21000
GBR,Female,Finance,25 to 34,Any Job Seniority,11-50 employees,21000
GBR,Female,Finance,25 to 34,Any Job Seniority,2-10 employees,20000
GBR,Female,Finance,25 to 34,Any Job Seniority,Myself Only,6500
GBR,Female,Finance,25 to 34,Owner,Any Company Size,3600
GBR,Female,Finance,25 to 34,Owner,"10,001+ employees",460
GBR,Female,Finance,25 to 34,Owner,"5001-10,000 employees",0
GBR,Female,Finance,25 to 34,Owner,1001-5000 employees,0
GBR,Female,Finance,25 to 34,Owner,501-1000 employees,0
GBR,Female,Finance,25 to 34,Owner,201-500 employees,0
GBR,Female,Finance,25 to 34,Owner,51-200 employees,0
GBR,Female,Finance,25 to 34,Owner,11-50 employees,590
GBR,Female,Finance,25 to 34,Owner,2-10 employees,1100
GBR,Female,Finance,25 to 34,Owner,Myself Only,0
GBR,Female,Finance,25 to 34,Partner,Any Company Size,1700
GBR,Female,Finance,25 to 34,Partner,"10,001+ employees",330
GBR,Female,Finance,25 to 34,Partner,"5001-10,000 employees",0
