0,1,2,3,4,5,6
USA,Female,Finance,35 to 54,Senior,Any Company Size,590000
USA,Female,Finance,35 to 54,Senior,"10,001+ employees",210000
USA,Female,Finance,35 to 54,Senior,"5001-10,000 employees",52000
USA,Female,Finance,35 to 54,Senior,1001-5000 employees,95000
USA,Female,Finance,35 to 54,Senior,501-1000 employees,38000
USA,Female,Finance,35 to 54,Senior,201-500 employees,43000
USA,Female,Finance,35 to 54,Senior,51-200 employees,50000
USA,Female,Finance,35 to 54,Senior,11-50 employees,43000
USA,Female,Finance,35 to 54,Senior,2-10 employees,34000
USA,Female,Finance,35 to 54,Senior,Myself Only,2700
USA,Female,Finance,35 to 54,Entry,Any Company Size,430000
USA,Female,Finance,35 to 54,Entry,"10,001+ employees",130000
USA,Female,Finance,35 to 54,Entry,"5001-10,000 employees",32000
USA,Female,Finance,35 to 54,Entry,1001-5000 employees,58000
USA,Female,Finance,35 to 54,Entry,501-1000 employees,25000
USA,Female,Finance,35 to 54,Entry,201-500 employees,31000
USA,Female,Finance,35 to 54,Entry,51-200 employees,38000
USA,Female,Finance,35 to 54,Entry,11-50 employees,34000
USA,Female,Finance,35 to 54,Entry,2-10 employees,30000
USA,Female,Finance,35 to 54,Entry,Myself Only,1800
USA,Female,Finance,35 to 54,Training,Any Company Size,1900
USA,Female,Finance,35 to 54,Training,"10,001+ employees",670
USA,Female,Finance,35 to 54,Training,"5001-10,000 employees",0
USA,Female,Finance,35 to 54,Training,1001-5000 employees,0
USA,Female,Finance,35 to 54,Training,501-1000 employees,0
USA,Female,Finance,35 to 54,Training,201-500 employees,0
USA,Female,Finance,35 to 54,Training,51-200 employees,0
USA,Female,Finance,35 to 54,Training,11-50 employees,0
USA,Female,Finance,35 to 54,Training,2-10 employees,0
USA,Female,Finance,35 to 54,Training,Myself Only,0
USA,Female,Finance,35 to 54,Unpaid,Any Company Size,8900
USA,Female,Finance,35 to 54,Unpaid,"10,001+ employees",1500
USA,Female,Finance,35 to 54,Unpaid,"5001-10,000 employees",0
USA,Female,Finance,35 to 54,Unpaid,1001-5000 employees,410
USA,Female,Finance,35 to 54,Unpaid,501-1000 employees,0
USA,Female,Finance,35 to 54,Unpaid,201-500 employees,0
USA,Female,Finance,35 to 54,Unpaid,51-200 employees,0
USA,Female,Finance,35 to 54,Unpaid,11-50 employees,0
USA,Female,Finance,35 to 54,Unpaid,2-10 employees,460
USA,Female,Finance,35 to 54,Unpaid,Myself Only,0
USA,Female,Finance,25 to 34,Any Job Seniority,Any Company Size,2200000
USA,Female,Finance,25 to 34,Any Job Seniority,"10,001+ employees",570000
USA,Female,Finance,25 to 34,Any Job Seniority,"5001-10,000 employees",120000
USA,Female,Finance,25 to 34,Any Job Seniority,1001-5000 employees,250000
