0,1,2,3,4,5,6
IND,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,Any Company Size,77000000
IND,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,"10,001+ employees",8600000
IND,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,"5001-10,000 employees",1500000
IND,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,1001-5000 employees,3300000
IND,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,501-1000 employees,1600000
IND,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,201-500 employees,2200000
IND,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,51-200 employees,3100000
IND,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,11-50 employees,3000000
IND,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,2-10 employees,2000000
IND,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,Myself Only,550000
IND,Any Gender,Any Company Industry,Any Age Range,Owner,Any Company Size,1700000
IND,Any Gender,Any Company Industry,Any Age Range,Owner,"10,001+ employees",48000
IND,Any Gender,Any Company Industry,Any Age Range,Owner,"5001-10,000 employees",9900
IND,Any Gender,Any Company Industry,Any Age Range,Owner,1001-5000 employees,27000
IND,Any Gender,Any Company Industry,Any Age Range,Owner,501-1000 employees,20000
IND,Any Gender,Any Company Industry,Any Age Range,Owner,201-500 employees,50000
IND,Any Gender,Any Company Industry,Any Age Range,Owner,51-200 employees,110000
IND,Any Gender,Any Company Industry,Any Age Range,Owner,11-50 employees,190000
IND,Any Gender,Any Company Industry,Any Age Range,Owner,2-10 employees,210000
IND,Any Gender,Any Company Industry,Any Age Range,Owner,Myself Only,23000
IND,Any Gender,Any Company Industry,Any Age Range,Partner,Any Company Size,230000
IND,Any Gender,Any Company Industry,Any Age Range,Partner,"10,001+ employees",9300
IND,Any Gender,Any Company Industry,Any Age Range,Partner,"5001-10,000 employees",2900
IND,Any Gender,Any Company Industry,Any Age Range,Partner,1001-5000 employees,6200
IND,Any Gender,Any Company Industry,Any Age Range,Partner,501-1000 employees,4900
IND,Any Gender,Any Company Industry,Any Age Range,Partner,201-500 employees,10000
IND,Any Gender,Any Company Industry,Any Age Range,Partner,51-200 employees,20000
IND,Any Gender,Any Company Industry,Any Age Range,Partner,11-50 employees,33000
IND,Any Gender,Any Company Industry,Any Age Range,Partner,2-10 employees,28000
IND,Any Gender,Any Company Industry,Any Age Range,Partner,Myself Only,2200
IND,Any Gender,Any Company Industry,Any Age Range,CXO,Any Company Size,500000
IND,Any Gender,Any Company Industry,Any Age Range,CXO,"10,001+ employees",39000
IND,Any Gender,Any Company Industry,Any Age Range,CXO,"5001-10,000 employees",8800
IND,Any Gender,Any Company Industry,Any Age Range,CXO,1001-5000 employees,22000
IND,Any Gender,Any Company Industry,Any Age Range,CXO,501-1000 employees,13000
IND,Any Gender,Any Company Industry,Any Age Range,CXO,201-500 employees,25000
IND,Any Gender,Any Company Industry,Any Age Range,CXO,51-200 employees,45000
IND,Any Gender,Any Company Industry,Any Age Range,CXO,11-50 employees,73000
IND,Any Gender,Any Company Industry,Any Age Range,CXO,2-10 employees,57000
IND,Any Gender,Any Company Industry,Any Age Range,CXO,Myself Only,4800
IND,Any Gender,Any Company Industry,Any Age Range,VP,Any Company Size,1400000
IND,Any Gender,Any Company Industry,Any Age Range,VP,"10,001+ employees",260000
IND,Any Gender,Any Company Industry,Any Age Range,VP,"5001-10,000 employees",57000
IND,Any Gender,Any Company Industry,Any Age Range,VP,1001-5000 employees,130000
IND,Any Gender,Any Company Industry,Any Age Range,VP,501-1000 employees,61000
IND,Any Gender,Any Company Industry,Any Age Range,VP,201-500 employees,81000
IND,Any Gender,Any Company Industry,Any Age Range,VP,51-200 employees,110000
IND,Any Gender,Any Company Industry,Any Age Range,VP,11-50 employees,120000
IND,Any Gender,Any Company Industry,Any Age Range,VP,2-10 employees,75000
IND,Any Gender,Any Company Industry,Any Age Range,VP,Myself Only,11000
IND,Any Gender,Any Company Industry,Any Age Range,Director,Any Company Size,1500000
IND,Any Gender,Any Company Industry,Any Age Range,Director,"10,001+ employees",220000
IND,Any Gender,Any Company Industry,Any Age Range,Director,"5001-10,000 employees",52000
IND,Any Gender,Any Company Industry,Any Age Range,Director,1001-5000 employees,110000
IND,Any Gender,Any Company Industry,Any Age Range,Director,501-1000 employees,58000
IND,Any Gender,Any Company Industry,Any Age Range,Director,201-500 employees,91000
IND,Any Gender,Any Company Industry,Any Age Range,Director,51-200 employees,140000
IND,Any Gender,Any Company Industry,Any Age Range,Director,11-50 employees,170000
IND,Any Gender,Any Company Industry,Any Age Range,Director,2-10 employees,110000
IND,Any Gender,Any Company Industry,Any Age Range,Director,Myself Only,13000
IND,Any Gender,Any Company Industry,Any Age Range,Manager,Any Company Size,3500000
IND,Any Gender,Any Company Industry,Any Age Range,Manager,"10,001+ employees",940000
IND,Any Gender,Any Company Industry,Any Age Range,Manager,"5001-10,000 employees",190000
IND,Any Gender,Any Company Industry,Any Age Range,Manager,1001-5000 employees,400000
IND,Any Gender,Any Company Industry,Any Age Range,Manager,501-1000 employees,170000
IND,Any Gender,Any Company Industry,Any Age Range,Manager,201-500 employees,200000
IND,Any Gender,Any Company Industry,Any Age Range,Manager,51-200 employees,260000
IND,Any Gender,Any Company Industry,Any Age Range,Manager,11-50 employees,220000
IND,Any Gender,Any Company Industry,Any Age Range,Manager,2-10 employees,130000
IND,Any Gender,Any Company Industry,Any Age Range,Manager,Myself Only,30000
IND,Any Gender,Any Company Industry,Any Age Range,Senior,Any Company Size,12000000
IND,Any Gender,Any Company Industry,Any Age Range,Senior,"10,001+ employees",3200000
IND,Any Gender,Any Company Industry,Any Age Range,Senior,"5001-10,000 employees",550000
