0,1,2,3,4,5,6
PHL,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,Any Company Size,10000000
PHL,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,"10,001+ employees",910000
PHL,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,"5001-10,000 employees",180000
PHL,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,1001-5000 employees,380000
PHL,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,501-1000 employees,230000
PHL,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,201-500 employees,260000
PHL,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,51-200 employees,330000
PHL,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,11-50 employees,340000
PHL,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,2-10 employees,250000
PHL,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,Myself Only,73000
PHL,Any Gender,Any Company Industry,Any Age Range,Owner,Any Company Size,150000
PHL,Any Gender,Any Company Industry,Any Age Range,Owner,"10,001+ employees",6900
PHL,Any Gender,Any Company Industry,Any Age Range,Owner,"5001-10,000 employees",1400
PHL,Any Gender,Any Company Industry,Any Age Range,Owner,1001-5000 employees,3200
PHL,Any Gender,Any Company Industry,Any Age Range,Owner,501-1000 employees,3300
PHL,Any Gender,Any Company Industry,Any Age Range,Owner,201-500 employees,3100
PHL,Any Gender,Any Company Industry,Any Age Range,Owner,51-200 employees,5500
PHL,Any Gender,Any Company Industry,Any Age Range,Owner,11-50 employees,9900
PHL,Any Gender,Any Company Industry,Any Age Range,Owner,2-10 employees,13000
PHL,Any Gender,Any Company Industry,Any Age Range,Owner,Myself Only,2900
PHL,Any Gender,Any Company Industry,Any Age Range,Partner,Any Company Size,15000
PHL,Any Gender,Any Company Industry,Any Age Range,Partner,"10,001+ employees",1200
PHL,Any Gender,Any Company Industry,Any Age Range,Partner,"5001-10,000 employees",540
PHL,Any Gender,Any Company Industry,Any Age Range,Partner,1001-5000 employees,860
PHL,Any Gender,Any Company Industry,Any Age Range,Partner,501-1000 employees,770
PHL,Any Gender,Any Company Industry,Any Age Range,Partner,201-500 employees,870
PHL,Any Gender,Any Company Industry,Any Age Range,Partner,51-200 employees,1400
PHL,Any Gender,Any Company Industry,Any Age Range,Partner,11-50 employees,2100
PHL,Any Gender,Any Company Industry,Any Age Range,Partner,2-10 employees,1800
PHL,Any Gender,Any Company Industry,Any Age Range,Partner,Myself Only,0
PHL,Any Gender,Any Company Industry,Any Age Range,CXO,Any Company Size,76000
PHL,Any Gender,Any Company Industry,Any Age Range,CXO,"10,001+ employees",6500
PHL,Any Gender,Any Company Industry,Any Age Range,CXO,"5001-10,000 employees",1400
PHL,Any Gender,Any Company Industry,Any Age Range,CXO,1001-5000 employees,3100
PHL,Any Gender,Any Company Industry,Any Age Range,CXO,501-1000 employees,2400
PHL,Any Gender,Any Company Industry,Any Age Range,CXO,201-500 employees,3100
PHL,Any Gender,Any Company Industry,Any Age Range,CXO,51-200 employees,5200
PHL,Any Gender,Any Company Industry,Any Age Range,CXO,11-50 employees,7900
PHL,Any Gender,Any Company Industry,Any Age Range,CXO,2-10 employees,6700
PHL,Any Gender,Any Company Industry,Any Age Range,CXO,Myself Only,590
PHL,Any Gender,Any Company Industry,Any Age Range,VP,Any Company Size,81000
PHL,Any Gender,Any Company Industry,Any Age Range,VP,"10,001+ employees",11000
PHL,Any Gender,Any Company Industry,Any Age Range,VP,"5001-10,000 employees",2000
PHL,Any Gender,Any Company Industry,Any Age Range,VP,1001-5000 employees,4900
PHL,Any Gender,Any Company Industry,Any Age Range,VP,501-1000 employees,3200
PHL,Any Gender,Any Company Industry,Any Age Range,VP,201-500 employees,3700
PHL,Any Gender,Any Company Industry,Any Age Range,VP,51-200 employees,5600
PHL,Any Gender,Any Company Industry,Any Age Range,VP,11-50 employees,7100
PHL,Any Gender,Any Company Industry,Any Age Range,VP,2-10 employees,5100
PHL,Any Gender,Any Company Industry,Any Age Range,VP,Myself Only,440
PHL,Any Gender,Any Company Industry,Any Age Range,Director,Any Company Size,160000
PHL,Any Gender,Any Company Industry,Any Age Range,Director,"10,001+ employees",25000
PHL,Any Gender,Any Company Industry,Any Age Range,Director,"5001-10,000 employees",7600
PHL,Any Gender,Any Company Industry,Any Age Range,Director,1001-5000 employees,15000
PHL,Any Gender,Any Company Industry,Any Age Range,Director,501-1000 employees,9100
PHL,Any Gender,Any Company Industry,Any Age Range,Director,201-500 employees,10000
PHL,Any Gender,Any Company Industry,Any Age Range,Director,51-200 employees,13000
PHL,Any Gender,Any Company Industry,Any Age Range,Director,11-50 employees,13000
PHL,Any Gender,Any Company Industry,Any Age Range,Director,2-10 employees,8800
PHL,Any Gender,Any Company Industry,Any Age Range,Director,Myself Only,1000
