0,1,2,3,4,5,6
GBR,IT,Male,55+,Owner,"10,001+ employees",840
GBR,IT,Male,55+,Owner,"5001-10,000 employees",0
GBR,IT,Male,55+,Owner,1001-5000 employees,680
GBR,IT,Male,55+,Owner,501-1000 employees,360
GBR,IT,Male,55+,Owner,201-500 employees,690
GBR,IT,Male,55+,Owner,51-200 employees,1600
GBR,IT,Male,55+,Owner,11-50 employees,3400
GBR,IT,Male,55+,Owner,2-10 employees,5000
GBR,IT,Male,55+,Owner,Myself Only,660
GBR,IT,Male,55+,Partner,"10,001+ employees",530
GBR,IT,Male,55+,Partner,"5001-10,000 employees",0
GBR,IT,Male,55+,Partner,1001-5000 employees,480
GBR,IT,Male,55+,Partner,501-1000 employees,300
GBR,IT,Male,55+,Partner,201-500 employees,480
GBR,IT,Male,55+,Partner,51-200 employees,1100
GBR,IT,Male,55+,Partner,11-50 employees,1800
GBR,IT,Male,55+,Partner,2-10 employees,1900
GBR,IT,Male,55+,Partner,Myself Only,0
GBR,IT,Male,55+,CXO,"10,001+ employees",770
GBR,IT,Male,55+,CXO,"5001-10,000 employees",0
GBR,IT,Male,55+,CXO,1001-5000 employees,710
GBR,IT,Male,55+,CXO,501-1000 employees,410
GBR,IT,Male,55+,CXO,201-500 employees,840
GBR,IT,Male,55+,CXO,51-200 employees,2100
GBR,IT,Male,55+,CXO,11-50 employees,3400
GBR,IT,Male,55+,CXO,2-10 employees,3100
GBR,IT,Male,55+,CXO,Myself Only,0
GBR,IT,Male,55+,VP,"10,001+ employees",1300
GBR,IT,Male,55+,VP,"5001-10,000 employees",0
GBR,IT,Male,55+,VP,1001-5000 employees,810
GBR,IT,Male,55+,VP,501-1000 employees,380
GBR,IT,Male,55+,VP,201-500 employees,670
GBR,IT,Male,55+,VP,51-200 employees,1300
GBR,IT,Male,55+,VP,11-50 employees,2700
GBR,IT,Male,55+,VP,2-10 employees,3200
GBR,IT,Male,55+,VP,Myself Only,0
GBR,IT,Male,55+,Director,"10,001+ employees",5500
GBR,IT,Male,55+,Director,"5001-10,000 employees",1200
GBR,IT,Male,55+,Director,1001-5000 employees,2900
GBR,IT,Male,55+,Director,501-1000 employees,1400
GBR,IT,Male,55+,Director,201-500 employees,2200
GBR,IT,Male,55+,Director,51-200 employees,4100
GBR,IT,Male,55+,Director,11-50 employees,6500
GBR,IT,Male,55+,Director,2-10 employees,7600
GBR,IT,Male,55+,Director,Myself Only,770
GBR,IT,Male,55+,Manager,"10,001+ employees",4500
GBR,IT,Male,55+,Manager,"5001-10,000 employees",660
GBR,IT,Male,55+,Manager,1001-5000 employees,1500
GBR,IT,Male,55+,Manager,501-1000 employees,560
GBR,IT,Male,55+,Manager,201-500 employees,810
GBR,IT,Male,55+,Manager,51-200 employees,1300
GBR,IT,Male,55+,Manager,11-50 employees,1400
GBR,IT,Male,55+,Manager,2-10 employees,1100
GBR,IT,Male,55+,Manager,Myself Only,0
GBR,IT,Male,55+,Senior,"10,001+ employees",12000
GBR,IT,Male,55+,Senior,"5001-10,000 employees",1700
GBR,IT,Male,55+,Senior,1001-5000 employees,4000
GBR,IT,Male,55+,Senior,501-1000 employees,1600
GBR,IT,Male,55+,Senior,201-500 employees,2400
GBR,IT,Male,55+,Senior,51-200 employees,3600
GBR,IT,Male,55+,Senior,11-50 employees,3400
GBR,IT,Male,55+,Senior,2-10 employees,2200
GBR,IT,Male,55+,Senior,Myself Only,550
GBR,IT,Male,55+,Entry,"10,001+ employees",5200
GBR,IT,Male,55+,Entry,"5001-10,000 employees",650
GBR,IT,Male,55+,Entry,1001-5000 employees,1800
GBR,IT,Male,55+,Entry,501-1000 employees,750
GBR,IT,Male,55+,Entry,201-500 employees,1200
GBR,IT,Male,55+,Entry,51-200 employees,1700
