Country,Company Industry,Age Range,Job seniority,Company Size,Count
IND,IT,55+,Owner,"10,001+ employees",440
IND,IT,55+,Owner,"5001-10,000 employees",0
IND,IT,55+,Owner,1001-5000 employees,410
IND,IT,55+,Owner,501-1000 employees,0
IND,IT,55+,Owner,201-500 employees,680
IND,IT,55+,Owner,51-200 employees,1500
IND,IT,55+,Owner,11-50 employees,2500
IND,IT,55+,Owner,2-10 employees,2000
IND,IT,55+,Owner,Myself Only,0
IND,IT,55+,Partner,"10,001+ employees",0
IND,IT,55+,Partner,"5001-10,000 employees",0
IND,IT,55+,Partner,1001-5000 employees,0
IND,IT,55+,Partner,501-1000 employees,0
IND,IT,55+,Partner,201-500 employees,0
IND,IT,55+,Partner,51-200 employees,500
IND,IT,55+,Partner,11-50 employees,740
IND,IT,55+,Partner,2-10 employees,610
IND,IT,55+,Partner,Myself Only,0
IND,IT,55+,CXO,"10,001+ employees",750
IND,IT,55+,CXO,"5001-10,000 employees",0
IND,IT,55+,CXO,1001-5000 employees,600
IND,IT,55+,CXO,501-1000 employees,380
IND,IT,55+,CXO,201-500 employees,790
IND,IT,55+,CXO,51-200 employees,1500
IND,IT,55+,CXO,11-50 employees,1900
IND,IT,55+,CXO,2-10 employees,1100
IND,IT,55+,CXO,Myself Only,0
IND,IT,55+,VP,"10,001+ employees",2900
IND,IT,55+,VP,"5001-10,000 employees",490
IND,IT,55+,VP,1001-5000 employees,1300
IND,IT,55+,VP,501-1000 employees,630
IND,IT,55+,VP,201-500 employees,1100
IND,IT,55+,VP,51-200 employees,1500
IND,IT,55+,VP,11-50 employees,1600
IND,IT,55+,VP,2-10 employees,770
IND,IT,55+,VP,Myself Only,0
IND,IT,55+,Director,"10,001+ employees",5200
IND,IT,55+,Director,"5001-10,000 employees",800
IND,IT,55+,Director,1001-5000 employees,2000
IND,IT,55+,Director,501-1000 employees,900
IND,IT,55+,Director,201-500 employees,1500
IND,IT,55+,Director,51-200 employees,2400
IND,IT,55+,Director,11-50 employees,2800
IND,IT,55+,Director,2-10 employees,1500
IND,IT,55+,Director,Myself Only,0
IND,IT,55+,Manager,"10,001+ employees",6100
IND,IT,55+,Manager,"5001-10,000 employees",720
IND,IT,55+,Manager,1001-5000 employees,1500
IND,IT,55+,Manager,501-1000 employees,630
IND,IT,55+,Manager,201-500 employees,1000
IND,IT,55+,Manager,51-200 employees,1100
IND,IT,55+,Manager,11-50 employees,960
IND,IT,55+,Manager,2-10 employees,540
IND,IT,55+,Manager,Myself Only,0
IND,IT,55+,Senior,"10,001+ employees",11000
IND,IT,55+,Senior,"5001-10,000 employees",1200
IND,IT,55+,Senior,1001-5000 employees,2300
IND,IT,55+,Senior,501-1000 employees,1000
IND,IT,55+,Senior,201-500 employees,1500
IND,IT,55+,Senior,51-200 employees,1900
IND,IT,55+,Senior,11-50 employees,1600
IND,IT,55+,Senior,2-10 employees,930
IND,IT,55+,Senior,Myself Only,340
IND,IT,55+,Entry,"10,001+ employees",4100
IND,IT,55+,Entry,"5001-10,000 employees",370
IND,IT,55+,Entry,1001-5000 employees,820
IND,IT,55+,Entry,501-1000 employees,0
IND,IT,55+,Entry,201-500 employees,520
IND,IT,55+,Entry,51-200 employees,760
IND,IT,55+,Entry,11-50 employees,640
IND,IT,55+,Entry,2-10 employees,490
IND,IT,55+,Entry,Myself Only,0
IND,IT,55+,Training,"10,001+ employees",0
IND,IT,55+,Training,"5001-10,000 employees",0
IND,IT,55+,Training,1001-5000 employees,0
IND,IT,55+,Training,501-1000 employees,0
IND,IT,55+,Training,201-500 employees,0
IND,IT,55+,Training,51-200 employees,0
IND,IT,55+,Training,11-50 employees,0
IND,IT,55+,Training,2-10 employees,0
IND,IT,55+,Training,Myself Only,0
IND,IT,55+,Unpaid,"10,001+ employees",0
IND,IT,55+,Unpaid,"5001-10,000 employees",0
IND,IT,55+,Unpaid,1001-5000 employees,0
IND,IT,55+,Unpaid,501-1000 employees,0
IND,IT,55+,Unpaid,201-500 employees,0
IND,IT,55+,Unpaid,51-200 employees,0
IND,IT,55+,Unpaid,11-50 employees,0
IND,IT,55+,Unpaid,2-10 employees,0
IND,IT,55+,Unpaid,Myself Only,0
IND,IT,35 to 54,Owner,"10,001+ employees",4000
IND,IT,35 to 54,Owner,"5001-10,000 employees",750
IND,IT,35 to 54,Owner,1001-5000 employees,2300
IND,IT,35 to 54,Owner,501-1000 employees,1500
IND,IT,35 to 54,Owner,201-500 employees,3600
IND,IT,35 to 54,Owner,51-200 employees,9000
IND,IT,35 to 54,Owner,11-50 employees,19000
IND,IT,35 to 54,Owner,2-10 employees,17000
IND,IT,35 to 54,Owner,Myself Only,1200
IND,IT,35 to 54,Partner,"10,001+ employees",1100
IND,IT,35 to 54,Partner,"5001-10,000 employees",0
IND,IT,35 to 54,Partner,1001-5000 employees,580
IND,IT,35 to 54,Partner,501-1000 employees,420
IND,IT,35 to 54,Partner,201-500 employees,890
IND,IT,35 to 54,Partner,51-200 employees,1700
IND,IT,35 to 54,Partner,11-50 employees,2900
IND,IT,35 to 54,Partner,2-10 employees,2400
IND,IT,35 to 54,Partner,Myself Only,0
IND,IT,35 to 54,CXO,"10,001+ employees",2800
IND,IT,35 to 54,CXO,"5001-10,000 employees",590
IND,IT,35 to 54,CXO,1001-5000 employees,1700
IND,IT,35 to 54,CXO,501-1000 employees,1200
IND,IT,35 to 54,CXO,201-500 employees,2600
IND,IT,35 to 54,CXO,51-200 employees,6200
IND,IT,35 to 54,CXO,11-50 employees,11000
IND,IT,35 to 54,CXO,2-10 employees,7000
IND,IT,35 to 54,CXO,Myself Only,350
IND,IT,35 to 54,VP,"10,001+ employees",15000
IND,IT,35 to 54,VP,"5001-10,000 employees",2400
IND,IT,35 to 54,VP,1001-5000 employees,6600
IND,IT,35 to 54,VP,501-1000 employees,3000
IND,IT,35 to 54,VP,201-500 employees,4900
IND,IT,35 to 54,VP,51-200 employees,7400
IND,IT,35 to 54,VP,11-50 employees,8400
IND,IT,35 to 54,VP,2-10 employees,4300
IND,IT,35 to 54,VP,Myself Only,320
IND,IT,35 to 54,Director,"10,001+ employees",33000
IND,IT,35 to 54,Director,"5001-10,000 employees",5000
IND,IT,35 to 54,Director,1001-5000 employees,12000
