0,1,2,3,4,5,6
Male,25 to 34,Senior,"10,001+ employees",190000,,
Male,25 to 34,Senior,"5001-10,000 employees",42000,,
Male,25 to 34,Senior,1001-5000 employees,79000,,
Male,25 to 34,Senior,501-1000 employees,32000,,
Male,25 to 34,Senior,201-500 employees,37000,,
Male,25 to 34,Senior,51-200 employees,47000,,
Male,25 to 34,Senior,11-50 employees,44000,,
Male,25 to 34,Senior,2-10 employees,41000,,
Male,25 to 34,Senior,Myself Only,2800,,
Male,25 to 34,Entry,"10,001+ employees",170000,,
Male,25 to 34,Entry,"5001-10,000 employees",39000,,
Male,25 to 34,Entry,1001-5000 employees,76000,,
Male,25 to 34,Entry,501-1000 employees,29000,,
Male,25 to 34,Entry,201-500 employees,38000,,
Male,25 to 34,Entry,51-200 employees,47000,,
Male,25 to 34,Entry,11-50 employees,45000,,
Male,25 to 34,Entry,2-10 employees,56000,,
Male,25 to 34,Entry,Myself Only,2800,,
Male,25 to 34,Training,"10,001+ employees",3000,,
Male,25 to 34,Training,"5001-10,000 employees",950,,
Male,25 to 34,Training,1001-5000 employees,1600,,
Male,25 to 34,Training,501-1000 employees,570,,
Male,25 to 34,Training,201-500 employees,690,,
Male,25 to 34,Training,51-200 employees,1000,,
Male,25 to 34,Training,11-50 employees,1200,,
Male,25 to 34,Training,2-10 employees,1100,,
Male,25 to 34,Training,Myself Only,0,,
Male,25 to 34,Unpaid,"10,001+ employees",5300,,
Male,25 to 34,Unpaid,"5001-10,000 employees",950,,
Male,25 to 34,Unpaid,1001-5000 employees,1600,,
Male,25 to 34,Unpaid,501-1000 employees,640,,
Male,25 to 34,Unpaid,201-500 employees,860,,
Male,25 to 34,Unpaid,51-200 employees,1100,,
Male,25 to 34,Unpaid,11-50 employees,1400,,
Male,25 to 34,Unpaid,2-10 employees,3800,,
Male,25 to 34,Unpaid,Myself Only,410,,
Male,18 to 24,Owner,"10,001+ employees",2100,,
Male,18 to 24,Owner,"5001-10,000 employees",380,,
Male,18 to 24,Owner,1001-5000 employees,840,,
Male,18 to 24,Owner,501-1000 employees,370,,
Male,18 to 24,Owner,201-500 employees,680,,
Male,18 to 24,Owner,51-200 employees,1300,,
Male,18 to 24,Owner,11-50 employees,2100,,
Male,18 to 24,Owner,2-10 employees,3900,,
Male,18 to 24,Owner,Myself Only,520,,
Male,18 to 24,Partner,"10,001+ employees",1300,,
Male,18 to 24,Partner,"5001-10,000 employees",330,,
Male,18 to 24,Partner,1001-5000 employees,750,,
Male,18 to 24,Partner,501-1000 employees,430,,
Male,18 to 24,Partner,201-500 employees,440,,
Male,18 to 24,Partner,51-200 employees,840,,
Male,18 to 24,Partner,11-50 employees,1200,,
Male,18 to 24,Partner,2-10 employees,1500,,
Male,18 to 24,Partner,Myself Only,0,,
Male,18 to 24,CXO,"10,001+ employees",1700,,
Male,18 to 24,CXO,"5001-10,000 employees",320,,
Male,18 to 24,CXO,1001-5000 employees,780,,
Male,18 to 24,CXO,501-1000 employees,370,,
Male,18 to 24,CXO,201-500 employees,680,,
Male,18 to 24,CXO,51-200 employees,1400,,
Male,18 to 24,CXO,11-50 employees,2300,,
Male,18 to 24,CXO,2-10 employees,2600,,
Male,18 to 24,CXO,Myself Only,0,,
Male,18 to 24,VP,"10,001+ employees",3700,,
Male,18 to 24,VP,"5001-10,000 employees",520,,
Male,18 to 24,VP,1001-5000 employees,1200,,
Male,18 to 24,VP,501-1000 employees,590,,
Male,18 to 24,VP,201-500 employees,800,,
Male,18 to 24,VP,51-200 employees,1400,,
Male,18 to 24,VP,11-50 employees,1700,,
Male,18 to 24,VP,2-10 employees,1400,,
Male,18 to 24,VP,Myself Only,0,,
Male,18 to 24,Director,"10,001+ employees",2900,,
Male,18 to 24,Director,"5001-10,000 employees",620,,
Male,18 to 24,Director,1001-5000 employees,1200,,
Male,18 to 24,Director,501-1000 employees,630,,
Male,18 to 24,Director,201-500 employees,790,,
Male,18 to 24,Director,51-200 employees,1600,,
Male,18 to 24,Director,11-50 employees,2200,,
Male,18 to 24,Director,2-10 employees,2000,,
Male,18 to 24,Director,Myself Only,0,,
Male,18 to 24,Manager,"10,001+ employees",6200,,
Male,18 to 24,Manager,"5001-10,000 employees",1100,,
Male,18 to 24,Manager,1001-5000 employees,2300,,
Male,18 to 24,Manager,501-1000 employees,940,,
Male,18 to 24,Manager,201-500 employees,1200,,
Male,18 to 24,Manager,51-200 employees,1600,,
Male,18 to 24,Manager,11-50 employees,1900,,
Male,18 to 24,Manager,2-10 employees,2400,,
Male,18 to 24,Manager,Myself Only,0,,
Male,18 to 24,Senior,"10,001+ employees",35000,,
Male,18 to 24,Senior,"5001-10,000 employees",7000,,
Male,18 to 24,Senior,1001-5000 employees,13000,,
Male,18 to 24,Senior,501-1000 employees,5600,,
Male,18 to 24,Senior,201-500 employees,6500,,
Male,18 to 24,Senior,51-200 employees,9600,,
Male,18 to 24,Senior,11-50 employees,10000,,
Male,18 to 24,Senior,2-10 employees,12000,,
Male,18 to 24,Senior,Myself Only,1000,,
Male,18 to 24,Entry,"10,001+ employees",44000,,
Male,18 to 24,Entry,"5001-10,000 employees",9600,,
Male,18 to 24,Entry,1001-5000 employees,17000,,
Male,18 to 24,Entry,501-1000 employees,7100,,
Male,18 to 24,Entry,201-500 employees,9100,,
Male,18 to 24,Entry,51-200 employees,14000,,
Male,18 to 24,Entry,11-50 employees,13000,,
Male,18 to 24,Entry,2-10 employees,18000,,
Male,18 to 24,Entry,Myself Only,1200,,
Male,18 to 24,Training,"10,001+ employees",2500,,
Male,18 to 24,Training,"5001-10,000 employees",980,,
Male,18 to 24,Training,1001-5000 employees,1400,,
Male,18 to 24,Training,501-1000 employees,600,,
Male,18 to 24,Training,201-500 employees,660,,
Male,18 to 24,Training,51-200 employees,1000,,
Male,18 to 24,Training,11-50 employees,1300,,
Male,18 to 24,Training,2-10 employees,1000,,
Male,18 to 24,Training,Myself Only,0,,
Male,18 to 24,Unpaid,"10,001+ employees",970,,
Male,18 to 24,Unpaid,"5001-10,000 employees",0,,
Male,18 to 24,Unpaid,1001-5000 employees,0,,
Male,18 to 24,Unpaid,501-1000 employees,0,,
Male,18 to 24,Unpaid,201-500 employees,0,,
Male,18 to 24,Unpaid,51-200 employees,0,,
Male,18 to 24,Unpaid,11-50 employees,0,,
Male,18 to 24,Unpaid,2-10 employees,670,,
Male,18 to 24,Unpaid,Myself Only,0,,
Finance,USA,Female,55+,Owner,"10,001+ employees",2400.0
Finance,USA,Female,55+,Owner,"5001-10,000 employees",580.0
Finance,USA,Female,55+,Owner,1001-5000 employees,1200.0
Finance,USA,Female,55+,Owner,501-1000 employees,580.0
Finance,USA,Female,55+,Owner,201-500 employees,890.0
Finance,USA,Female,55+,Owner,51-200 employees,1400.0
Finance,USA,Female,55+,Owner,11-50 employees,2800.0
Finance,USA,Female,55+,Owner,2-10 employees,5200.0
Finance,USA,Female,55+,Owner,Myself Only,460.0
Finance,USA,Female,55+,Partner,"10,001+ employees",1000.0
Finance,USA,Female,55+,Partner,"5001-10,000 employees",350.0
Finance,USA,Female,55+,Partner,1001-5000 employees,900.0
Finance,USA,Female,55+,Partner,501-1000 employees,560.0
Finance,USA,Female,55+,Partner,201-500 employees,780.0
Finance,USA,Female,55+,Partner,51-200 employees,1400.0
Finance,USA,Female,55+,Partner,11-50 employees,1800.0
Finance,USA,Female,55+,Partner,2-10 employees,2100.0
Finance,USA,Female,55+,Partner,Myself Only,0.0
Finance,USA,Female,55+,CXO,"10,001+ employees",1500.0
Finance,USA,Female,55+,CXO,"5001-10,000 employees",450.0
Finance,USA,Female,55+,CXO,1001-5000 employees,1200.0
Finance,USA,Female,55+,CXO,501-1000 employees,710.0
Finance,USA,Female,55+,CXO,201-500 employees,1100.0
Finance,USA,Female,55+,CXO,51-200 employees,1900.0
Finance,USA,Female,55+,CXO,11-50 employees,3000.0
Finance,USA,Female,55+,CXO,2-10 employees,3700.0
Finance,USA,Female,55+,CXO,Myself Only,0.0
Finance,USA,Female,55+,VP,"10,001+ employees",13000.0
Finance,USA,Female,55+,VP,"5001-10,000 employees",2000.0
Finance,USA,Female,55+,VP,1001-5000 employees,4700.0
Finance,USA,Female,55+,VP,501-1000 employees,2100.0
Finance,USA,Female,55+,VP,201-500 employees,2700.0
Finance,USA,Female,55+,VP,51-200 employees,3700.0
Finance,USA,Female,55+,VP,11-50 employees,2700.0
Finance,USA,Female,55+,VP,2-10 employees,2200.0
Finance,USA,Female,55+,VP,Myself Only,0.0
Finance,USA,Female,55+,Director,"10,001+ employees",6600.0
Finance,USA,Female,55+,Director,"5001-10,000 employees",1700.0
Finance,USA,Female,55+,Director,1001-5000 employees,3100.0
Finance,USA,Female,55+,Director,501-1000 employees,1400.0
Finance,USA,Female,55+,Director,201-500 employees,1800.0
Finance,USA,Female,55+,Director,51-200 employees,2600.0
Finance,USA,Female,55+,Director,11-50 employees,2900.0
Finance,USA,Female,55+,Director,2-10 employees,2900.0
Finance,USA,Female,55+,Director,Myself Only,0.0
Finance,USA,Female,55+,Manager,"10,001+ employees",8200.0
Finance,USA,Female,55+,Manager,"5001-10,000 employees",2300.0
Finance,USA,Female,55+,Manager,1001-5000 employees,4500.0
Finance,USA,Female,55+,Manager,501-1000 employees,1900.0
Finance,USA,Female,55+,Manager,201-500 employees,2300.0
Finance,USA,Female,55+,Manager,51-200 employees,2600.0
Finance,USA,Female,55+,Manager,11-50 employees,2400.0
Finance,USA,Female,55+,Manager,2-10 employees,2200.0
Finance,USA,Female,55+,Manager,Myself Only,0.0
Finance,USA,Female,55+,Senior,"10,001+ employees",28000.0
Finance,USA,Female,55+,Senior,"5001-10,000 employees",7800.0
Finance,USA,Female,55+,Senior,1001-5000 employees,14000.0
Finance,USA,Female,55+,Senior,501-1000 employees,5500.0
Finance,USA,Female,55+,Senior,201-500 employees,6800.0
Finance,USA,Female,55+,Senior,51-200 employees,7900.0
Finance,USA,Female,55+,Senior,11-50 employees,7300.0
Finance,USA,Female,55+,Senior,2-10 employees,7200.0
Finance,USA,Female,55+,Senior,Myself Only,540.0
Finance,USA,Female,55+,Entry,"10,001+ employees",17000.0
Finance,USA,Female,55+,Entry,"5001-10,000 employees",4600.0
Finance,USA,Female,55+,Entry,1001-5000 employees,8300.0
Finance,USA,Female,55+,Entry,501-1000 employees,3400.0
Finance,USA,Female,55+,Entry,201-500 employees,4700.0
Finance,USA,Female,55+,Entry,51-200 employees,5800.0
