Country,Gender,Age Range,Job seniority,Member Behavior,Employer,Count
US,Male,55+,Owner,Open to Relocation (International),Amazon Web Services (AWS),0
US,Male,55+,Owner,Open to Relocation (International),Google,0
US,Male,55+,Owner,Open to Relocation (International),Netflix,0
US,Male,55+,Owner,Open to Relocation (International),Apple,0
US,Male,55+,Owner,Open to Relocation (International),Amazon,0
US,Male,55+,Owner,Open to Relocation (International),Facebook,0
US,Male,55+,Owner,Open to Relocation (Domestic),Amazon Web Services (AWS),0
US,Male,55+,Owner,Open to Relocation (Domestic),Google,0
US,Male,55+,Owner,Open to Relocation (Domestic),Netflix,0
US,Male,55+,Owner,Open to Relocation (Domestic),Apple,0
US,Male,55+,Owner,Open to Relocation (Domestic),Amazon,0
US,Male,55+,Owner,Open to Relocation (Domestic),Facebook,0
US,Male,55+,Owner,Recently Switched Jobs,Amazon Web Services (AWS),0
US,Male,55+,Owner,Recently Switched Jobs,Google,0
US,Male,55+,Owner,Recently Switched Jobs,Netflix,0
US,Male,55+,Owner,Recently Switched Jobs,Apple,0
US,Male,55+,Owner,Recently Switched Jobs,Amazon,0
US,Male,55+,Owner,Recently Switched Jobs,Facebook,0
US,Male,55+,Owner,Job Seekers,Amazon Web Services (AWS),0
US,Male,55+,Owner,Job Seekers,Google,0
US,Male,55+,Owner,Job Seekers,Netflix,0
US,Male,55+,Owner,Job Seekers,Apple,0
US,Male,55+,Owner,Job Seekers,Amazon,0
US,Male,55+,Owner,Job Seekers,Facebook,0
US,Male,55+,Partner,Open to Relocation (International),Amazon Web Services (AWS),0
US,Male,55+,Partner,Open to Relocation (International),Google,0
US,Male,55+,Partner,Open to Relocation (International),Netflix,0
US,Male,55+,Partner,Open to Relocation (International),Apple,0
US,Male,55+,Partner,Open to Relocation (International),Amazon,0
US,Male,55+,Partner,Open to Relocation (International),Facebook,0
US,Male,55+,Partner,Open to Relocation (Domestic),Amazon Web Services (AWS),0
US,Male,55+,Partner,Open to Relocation (Domestic),Google,0
US,Male,55+,Partner,Open to Relocation (Domestic),Netflix,0
US,Male,55+,Partner,Open to Relocation (Domestic),Apple,0
US,Male,55+,Partner,Open to Relocation (Domestic),Amazon,0
US,Male,55+,Partner,Open to Relocation (Domestic),Facebook,0
US,Male,55+,Partner,Recently Switched Jobs,Amazon Web Services (AWS),0
US,Male,55+,Partner,Recently Switched Jobs,Google,0
US,Male,55+,Partner,Recently Switched Jobs,Netflix,0
US,Male,55+,Partner,Recently Switched Jobs,Apple,0
US,Male,55+,Partner,Recently Switched Jobs,Amazon,0
US,Male,55+,Partner,Recently Switched Jobs,Facebook,0
US,Male,55+,Partner,Job Seekers,Amazon Web Services (AWS),0
US,Male,55+,Partner,Job Seekers,Google,0
US,Male,55+,Partner,Job Seekers,Netflix,0
US,Male,55+,Partner,Job Seekers,Apple,0
US,Male,55+,Partner,Job Seekers,Amazon,0
US,Male,55+,Partner,Job Seekers,Facebook,0
US,Male,55+,CXO,Open to Relocation (International),Amazon Web Services (AWS),0
US,Male,55+,CXO,Open to Relocation (International),Google,0
US,Male,55+,CXO,Open to Relocation (International),Netflix,0
US,Male,55+,CXO,Open to Relocation (International),Apple,0
US,Male,55+,CXO,Open to Relocation (International),Amazon,0
US,Male,55+,CXO,Open to Relocation (International),Facebook,0
US,Male,55+,CXO,Open to Relocation (Domestic),Amazon Web Services (AWS),0
US,Male,55+,CXO,Open to Relocation (Domestic),Google,0
US,Male,55+,CXO,Open to Relocation (Domestic),Netflix,0
US,Male,55+,CXO,Open to Relocation (Domestic),Apple,0
US,Male,55+,CXO,Open to Relocation (Domestic),Amazon,0
US,Male,55+,CXO,Open to Relocation (Domestic),Facebook,0
US,Male,55+,CXO,Recently Switched Jobs,Amazon Web Services (AWS),0
US,Male,55+,CXO,Recently Switched Jobs,Google,0
US,Male,55+,CXO,Recently Switched Jobs,Netflix,0
US,Male,55+,CXO,Recently Switched Jobs,Apple,0
US,Male,55+,CXO,Recently Switched Jobs,Amazon,0
US,Male,55+,CXO,Recently Switched Jobs,Facebook,0
US,Male,55+,CXO,Job Seekers,Amazon Web Services (AWS),0
US,Male,55+,CXO,Job Seekers,Google,0
US,Male,55+,CXO,Job Seekers,Netflix,0
US,Male,55+,CXO,Job Seekers,Apple,0
US,Male,55+,CXO,Job Seekers,Amazon,0
US,Male,55+,CXO,Job Seekers,Facebook,0
US,Male,55+,VP,Open to Relocation (International),Amazon Web Services (AWS),0
US,Male,55+,VP,Open to Relocation (International),Google,0
US,Male,55+,VP,Open to Relocation (International),Netflix,0
US,Male,55+,VP,Open to Relocation (International),Apple,0
US,Male,55+,VP,Open to Relocation (International),Amazon,0
US,Male,55+,VP,Open to Relocation (International),Facebook,0
US,Male,55+,VP,Open to Relocation (Domestic),Amazon Web Services (AWS),0
US,Male,55+,VP,Open to Relocation (Domestic),Google,0
US,Male,55+,VP,Open to Relocation (Domestic),Netflix,0
US,Male,55+,VP,Open to Relocation (Domestic),Apple,0
US,Male,55+,VP,Open to Relocation (Domestic),Amazon,0
US,Male,55+,VP,Open to Relocation (Domestic),Facebook,0
US,Male,55+,VP,Recently Switched Jobs,Amazon Web Services (AWS),0
US,Male,55+,VP,Recently Switched Jobs,Google,0
US,Male,55+,VP,Recently Switched Jobs,Netflix,0
US,Male,55+,VP,Recently Switched Jobs,Apple,0
US,Male,55+,VP,Recently Switched Jobs,Amazon,0
US,Male,55+,VP,Recently Switched Jobs,Facebook,0
US,Male,55+,VP,Job Seekers,Amazon Web Services (AWS),0
US,Male,55+,VP,Job Seekers,Google,0
US,Male,55+,VP,Job Seekers,Netflix,0
