0,1,2,3,4,5,6,7,8
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,recently switched jobs,connected to big companies,2300
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,recently switched jobs,connected to any,20000
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,recently relocated,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,recently relocated,connected to any,540
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,recently promoted,connected to big companies,700
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,recently promoted,connected to any,3200
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,any recent status,connected to big companies,26000
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,any recent status,connected to any,390000
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,recently switched jobs,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,recently switched jobs,connected to any,340
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,recently relocated,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,recently relocated,connected to any,0
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,recently promoted,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,recently promoted,connected to any,0
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,any recent status,connected to big companies,760
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,any recent status,connected to any,7600
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,35 to 54,recently switched jobs,connected to big companies,970
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,35 to 54,recently switched jobs,connected to any,4500
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,35 to 54,recently relocated,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,35 to 54,recently relocated,connected to any,0
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,35 to 54,recently promoted,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,35 to 54,recently promoted,connected to any,820
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,35 to 54,any recent status,connected to big companies,12000
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,35 to 54,any recent status,connected to any,79000
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,25 to 34,recently switched jobs,connected to big companies,1200
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,25 to 34,recently switched jobs,connected to any,13000
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,25 to 34,recently relocated,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,25 to 34,recently relocated,connected to any,0
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,25 to 34,recently promoted,connected to big companies,430
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,25 to 34,recently promoted,connected to any,2100
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,25 to 34,any recent status,connected to big companies,12000
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,25 to 34,any recent status,connected to any,240000
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,18 to 24,recently switched jobs,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,18 to 24,recently switched jobs,connected to any,2500
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,18 to 24,recently relocated,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,18 to 24,recently relocated,connected to any,0
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,18 to 24,recently promoted,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,18 to 24,recently promoted,connected to any,0
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,18 to 24,any recent status,connected to big companies,920
PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,18 to 24,any recent status,connected to any,59000
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",Any Age Range,recently switched jobs,connected to big companies,1000
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",Any Age Range,recently switched jobs,connected to any,5600
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",Any Age Range,recently relocated,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",Any Age Range,recently relocated,connected to any,0
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",Any Age Range,recently promoted,connected to big companies,310
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",Any Age Range,recently promoted,connected to any,1200
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",Any Age Range,any recent status,connected to big companies,11000
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",Any Age Range,any recent status,connected to any,93000
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",55+,recently switched jobs,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",55+,recently switched jobs,connected to any,0
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",55+,recently relocated,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",55+,recently relocated,connected to any,0
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",55+,recently promoted,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",55+,recently promoted,connected to any,0
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",55+,any recent status,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",55+,any recent status,connected to any,1500
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",35 to 54,recently switched jobs,connected to big companies,450
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",35 to 54,recently switched jobs,connected to any,1500
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",35 to 54,recently relocated,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",35 to 54,recently relocated,connected to any,0
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",35 to 54,recently promoted,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",35 to 54,recently promoted,connected to any,310
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",35 to 54,any recent status,connected to big companies,5600
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",35 to 54,any recent status,connected to any,24000
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",25 to 34,recently switched jobs,connected to big companies,540
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",25 to 34,recently switched jobs,connected to any,3400
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",25 to 34,recently relocated,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",25 to 34,recently relocated,connected to any,0
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",25 to 34,recently promoted,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",25 to 34,recently promoted,connected to any,770
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",25 to 34,any recent status,connected to big companies,5200
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",25 to 34,any recent status,connected to any,54000
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",18 to 24,recently switched jobs,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",18 to 24,recently switched jobs,connected to any,530
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",18 to 24,recently relocated,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",18 to 24,recently relocated,connected to any,0
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",18 to 24,recently promoted,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",18 to 24,recently promoted,connected to any,0
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",18 to 24,any recent status,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",18 to 24,any recent status,connected to any,12000
PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",Any Age Range,recently switched jobs,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",Any Age Range,recently switched jobs,connected to any,1900
PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",Any Age Range,recently relocated,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",Any Age Range,recently relocated,connected to any,0
PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",Any Age Range,recently promoted,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",Any Age Range,recently promoted,connected to any,320
PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",Any Age Range,any recent status,connected to big companies,2200
PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",Any Age Range,any recent status,connected to any,34000
PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",55+,recently switched jobs,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",55+,recently switched jobs,connected to any,0
PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",55+,recently relocated,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",55+,recently relocated,connected to any,0
PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",55+,recently promoted,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",55+,recently promoted,connected to any,0
PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",55+,any recent status,connected to big companies,0
PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",55+,any recent status,connected to any,550
