,Country,Gender,Sector,Job Seniority,Company Size,Age Ranges,Connectivity Status,Count
0,PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,connected to big companies,25000
1,PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,connected to any,380000
2,PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,connected to big companies,730
3,PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,connected to any,7500
4,PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,35 to 54,connected to big companies,12000
5,PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,35 to 54,connected to any,78000
6,PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,25 to 34,connected to big companies,12000
7,PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,25 to 34,connected to any,240000
8,PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,18 to 24,connected to big companies,860
9,PHL,Any Gender,Finance,Any Job Seniority,Any Company Size,18 to 24,connected to any,54000
10,PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",Any Age Range,connected to big companies,11000
11,PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",Any Age Range,connected to any,91000
12,PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",55+,connected to big companies,0
13,PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",55+,connected to any,1500
14,PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",35 to 54,connected to big companies,5500
15,PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",35 to 54,connected to any,24000
16,PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",25 to 34,connected to big companies,5200
17,PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",25 to 34,connected to any,53000
18,PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",18 to 24,connected to big companies,0
19,PHL,Any Gender,Finance,Any Job Seniority,"10,001+ employees",18 to 24,connected to any,11000
20,PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",Any Age Range,connected to big companies,2100
21,PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",Any Age Range,connected to any,33000
22,PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",55+,connected to big companies,0
23,PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",55+,connected to any,530
24,PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",35 to 54,connected to big companies,870
25,PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",35 to 54,connected to any,6400
26,PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",25 to 34,connected to big companies,1100
27,PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",25 to 34,connected to any,20000
28,PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",18 to 24,connected to big companies,0
29,PHL,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",18 to 24,connected to any,5800
30,PHL,Any Gender,Finance,Any Job Seniority,1001-5000 employees,Any Age Range,connected to big companies,3600
31,PHL,Any Gender,Finance,Any Job Seniority,1001-5000 employees,Any Age Range,connected to any,44000
32,PHL,Any Gender,Finance,Any Job Seniority,1001-5000 employees,55+,connected to big companies,0
33,PHL,Any Gender,Finance,Any Job Seniority,1001-5000 employees,55+,connected to any,850
34,PHL,Any Gender,Finance,Any Job Seniority,1001-5000 employees,35 to 54,connected to big companies,1700
35,PHL,Any Gender,Finance,Any Job Seniority,1001-5000 employees,35 to 54,connected to any,10000
36,PHL,Any Gender,Finance,Any Job Seniority,1001-5000 employees,25 to 34,connected to big companies,1700
37,PHL,Any Gender,Finance,Any Job Seniority,1001-5000 employees,25 to 34,connected to any,27000
38,PHL,Any Gender,Finance,Any Job Seniority,1001-5000 employees,18 to 24,connected to big companies,0
39,PHL,Any Gender,Finance,Any Job Seniority,1001-5000 employees,18 to 24,connected to any,5300
40,PHL,Any Gender,Finance,Any Job Seniority,501-1000 employees,Any Age Range,connected to big companies,2600
41,PHL,Any Gender,Finance,Any Job Seniority,501-1000 employees,Any Age Range,connected to any,29000
42,PHL,Any Gender,Finance,Any Job Seniority,501-1000 employees,55+,connected to big companies,0
43,PHL,Any Gender,Finance,Any Job Seniority,501-1000 employees,55+,connected to any,690
44,PHL,Any Gender,Finance,Any Job Seniority,501-1000 employees,35 to 54,connected to big companies,1100
45,PHL,Any Gender,Finance,Any Job Seniority,501-1000 employees,35 to 54,connected to any,6700
46,PHL,Any Gender,Finance,Any Job Seniority,501-1000 employees,25 to 34,connected to big companies,1300
47,PHL,Any Gender,Finance,Any Job Seniority,501-1000 employees,25 to 34,connected to any,17000
48,PHL,Any Gender,Finance,Any Job Seniority,501-1000 employees,18 to 24,connected to big companies,0
49,PHL,Any Gender,Finance,Any Job Seniority,501-1000 employees,18 to 24,connected to any,4400
50,PHL,Any Gender,Finance,Any Job Seniority,201-500 employees,Any Age Range,connected to big companies,930
51,PHL,Any Gender,Finance,Any Job Seniority,201-500 employees,Any Age Range,connected to any,13000
52,PHL,Any Gender,Finance,Any Job Seniority,201-500 employees,55+,connected to big companies,0
53,PHL,Any Gender,Finance,Any Job Seniority,201-500 employees,55+,connected to any,310
54,PHL,Any Gender,Finance,Any Job Seniority,201-500 employees,35 to 54,connected to big companies,380
55,PHL,Any Gender,Finance,Any Job Seniority,201-500 employees,35 to 54,connected to any,2700
56,PHL,Any Gender,Finance,Any Job Seniority,201-500 employees,25 to 34,connected to big companies,490
57,PHL,Any Gender,Finance,Any Job Seniority,201-500 employees,25 to 34,connected to any,8100
58,PHL,Any Gender,Finance,Any Job Seniority,201-500 employees,18 to 24,connected to big companies,0
59,PHL,Any Gender,Finance,Any Job Seniority,201-500 employees,18 to 24,connected to any,1500
60,PHL,Any Gender,Finance,Any Job Seniority,51-200 employees,Any Age Range,connected to big companies,1400
61,PHL,Any Gender,Finance,Any Job Seniority,51-200 employees,Any Age Range,connected to any,21000
62,PHL,Any Gender,Finance,Any Job Seniority,51-200 employees,55+,connected to big companies,0
63,PHL,Any Gender,Finance,Any Job Seniority,51-200 employees,55+,connected to any,460
64,PHL,Any Gender,Finance,Any Job Seniority,51-200 employees,35 to 54,connected to big companies,550
65,PHL,Any Gender,Finance,Any Job Seniority,51-200 employees,35 to 54,connected to any,3900
66,PHL,Any Gender,Finance,Any Job Seniority,51-200 employees,25 to 34,connected to big companies,720
67,PHL,Any Gender,Finance,Any Job Seniority,51-200 employees,25 to 34,connected to any,13000
68,PHL,Any Gender,Finance,Any Job Seniority,51-200 employees,18 to 24,connected to big companies,0
69,PHL,Any Gender,Finance,Any Job Seniority,51-200 employees,18 to 24,connected to any,2700
70,PHL,Any Gender,Finance,Any Job Seniority,11-50 employees,Any Age Range,connected to big companies,1300
71,PHL,Any Gender,Finance,Any Job Seniority,11-50 employees,Any Age Range,connected to any,17000
72,PHL,Any Gender,Finance,Any Job Seniority,11-50 employees,55+,connected to big companies,0
73,PHL,Any Gender,Finance,Any Job Seniority,11-50 employees,55+,connected to any,420
74,PHL,Any Gender,Finance,Any Job Seniority,11-50 employees,35 to 54,connected to big companies,530
75,PHL,Any Gender,Finance,Any Job Seniority,11-50 employees,35 to 54,connected to any,3500
76,PHL,Any Gender,Finance,Any Job Seniority,11-50 employees,25 to 34,connected to big companies,610
77,PHL,Any Gender,Finance,Any Job Seniority,11-50 employees,25 to 34,connected to any,11000
78,PHL,Any Gender,Finance,Any Job Seniority,11-50 employees,18 to 24,connected to big companies,0
79,PHL,Any Gender,Finance,Any Job Seniority,11-50 employees,18 to 24,connected to any,2300
80,PHL,Any Gender,Finance,Any Job Seniority,2-10 employees,Any Age Range,connected to big companies,740
81,PHL,Any Gender,Finance,Any Job Seniority,2-10 employees,Any Age Range,connected to any,16000
82,PHL,Any Gender,Finance,Any Job Seniority,2-10 employees,55+,connected to big companies,0
83,PHL,Any Gender,Finance,Any Job Seniority,2-10 employees,55+,connected to any,330
84,PHL,Any Gender,Finance,Any Job Seniority,2-10 employees,35 to 54,connected to big companies,350
85,PHL,Any Gender,Finance,Any Job Seniority,2-10 employees,35 to 54,connected to any,2500
86,PHL,Any Gender,Finance,Any Job Seniority,2-10 employees,25 to 34,connected to big companies,310
87,PHL,Any Gender,Finance,Any Job Seniority,2-10 employees,25 to 34,connected to any,10000
88,PHL,Any Gender,Finance,Any Job Seniority,2-10 employees,18 to 24,connected to big companies,0
89,PHL,Any Gender,Finance,Any Job Seniority,2-10 employees,18 to 24,connected to any,2900
90,PHL,Any Gender,Finance,Any Job Seniority,Myself Only,Any Age Range,connected to big companies,0
91,PHL,Any Gender,Finance,Any Job Seniority,Myself Only,Any Age Range,connected to any,2200
92,PHL,Any Gender,Finance,Any Job Seniority,Myself Only,55+,connected to big companies,0
93,PHL,Any Gender,Finance,Any Job Seniority,Myself Only,55+,connected to any,0
94,PHL,Any Gender,Finance,Any Job Seniority,Myself Only,35 to 54,connected to big companies,0
95,PHL,Any Gender,Finance,Any Job Seniority,Myself Only,35 to 54,connected to any,480
96,PHL,Any Gender,Finance,Any Job Seniority,Myself Only,25 to 34,connected to big companies,0
97,PHL,Any Gender,Finance,Any Job Seniority,Myself Only,25 to 34,connected to any,1200
98,PHL,Any Gender,Finance,Any Job Seniority,Myself Only,18 to 24,connected to big companies,0
99,PHL,Any Gender,Finance,Any Job Seniority,Myself Only,18 to 24,connected to any,470
100,PHL,Any Gender,Finance,Owner,Any Company Size,Any Age Range,connected to big companies,610
101,PHL,Any Gender,Finance,Owner,Any Company Size,Any Age Range,connected to any,6600
102,PHL,Any Gender,Finance,Owner,Any Company Size,55+,connected to big companies,0
103,PHL,Any Gender,Finance,Owner,Any Company Size,55+,connected to any,400
104,PHL,Any Gender,Finance,Owner,Any Company Size,35 to 54,connected to big companies,320
105,PHL,Any Gender,Finance,Owner,Any Company Size,35 to 54,connected to any,2100
106,PHL,Any Gender,Finance,Owner,Any Company Size,25 to 34,connected to big companies,0
107,PHL,Any Gender,Finance,Owner,Any Company Size,25 to 34,connected to any,3400
108,PHL,Any Gender,Finance,Owner,Any Company Size,18 to 24,connected to big companies,0
109,PHL,Any Gender,Finance,Owner,Any Company Size,18 to 24,connected to any,650
110,PHL,Any Gender,Finance,Owner,"10,001+ employees",Any Age Range,connected to big companies,0
111,PHL,Any Gender,Finance,Owner,"10,001+ employees",Any Age Range,connected to any,990
112,PHL,Any Gender,Finance,Owner,"10,001+ employees",55+,connected to big companies,0
113,PHL,Any Gender,Finance,Owner,"10,001+ employees",55+,connected to any,0
114,PHL,Any Gender,Finance,Owner,"10,001+ employees",35 to 54,connected to big companies,0
115,PHL,Any Gender,Finance,Owner,"10,001+ employees",35 to 54,connected to any,380
116,PHL,Any Gender,Finance,Owner,"10,001+ employees",25 to 34,connected to big companies,0
117,PHL,Any Gender,Finance,Owner,"10,001+ employees",25 to 34,connected to any,410
118,PHL,Any Gender,Finance,Owner,"10,001+ employees",18 to 24,connected to big companies,0
119,PHL,Any Gender,Finance,Owner,"10,001+ employees",18 to 24,connected to any,0
120,PHL,Any Gender,Finance,Owner,"5001-10,000 employees",Any Age Range,connected to big companies,0
121,PHL,Any Gender,Finance,Owner,"5001-10,000 employees",Any Age Range,connected to any,0
122,PHL,Any Gender,Finance,Owner,"5001-10,000 employees",55+,connected to big companies,0
123,PHL,Any Gender,Finance,Owner,"5001-10,000 employees",55+,connected to any,0
124,PHL,Any Gender,Finance,Owner,"5001-10,000 employees",35 to 54,connected to big companies,0
125,PHL,Any Gender,Finance,Owner,"5001-10,000 employees",35 to 54,connected to any,0
126,PHL,Any Gender,Finance,Owner,"5001-10,000 employees",25 to 34,connected to big companies,0
127,PHL,Any Gender,Finance,Owner,"5001-10,000 employees",25 to 34,connected to any,0
128,PHL,Any Gender,Finance,Owner,"5001-10,000 employees",18 to 24,connected to big companies,0
129,PHL,Any Gender,Finance,Owner,"5001-10,000 employees",18 to 24,connected to any,0
130,PHL,Any Gender,Finance,Owner,1001-5000 employees,Any Age Range,connected to big companies,0
131,PHL,Any Gender,Finance,Owner,1001-5000 employees,Any Age Range,connected to any,620
132,PHL,Any Gender,Finance,Owner,1001-5000 employees,55+,connected to big companies,0
133,PHL,Any Gender,Finance,Owner,1001-5000 employees,55+,connected to any,0
134,PHL,Any Gender,Finance,Owner,1001-5000 employees,35 to 54,connected to big companies,0
135,PHL,Any Gender,Finance,Owner,1001-5000 employees,35 to 54,connected to any,0
136,PHL,Any Gender,Finance,Owner,1001-5000 employees,25 to 34,connected to big companies,0
137,PHL,Any Gender,Finance,Owner,1001-5000 employees,25 to 34,connected to any,0
138,PHL,Any Gender,Finance,Owner,1001-5000 employees,18 to 24,connected to big companies,0
139,PHL,Any Gender,Finance,Owner,1001-5000 employees,18 to 24,connected to any,0
140,PHL,Any Gender,Finance,Owner,501-1000 employees,Any Age Range,connected to big companies,0
141,PHL,Any Gender,Finance,Owner,501-1000 employees,Any Age Range,connected to any,640
142,PHL,Any Gender,Finance,Owner,501-1000 employees,55+,connected to big companies,0
143,PHL,Any Gender,Finance,Owner,501-1000 employees,55+,connected to any,0
144,PHL,Any Gender,Finance,Owner,501-1000 employees,35 to 54,connected to big companies,0
145,PHL,Any Gender,Finance,Owner,501-1000 employees,35 to 54,connected to any,0
146,PHL,Any Gender,Finance,Owner,501-1000 employees,25 to 34,connected to big companies,0
147,PHL,Any Gender,Finance,Owner,501-1000 employees,25 to 34,connected to any,0
148,PHL,Any Gender,Finance,Owner,501-1000 employees,18 to 24,connected to big companies,0
149,PHL,Any Gender,Finance,Owner,501-1000 employees,18 to 24,connected to any,0
150,PHL,Any Gender,Finance,Owner,201-500 employees,Any Age Range,connected to big companies,0
151,PHL,Any Gender,Finance,Owner,201-500 employees,Any Age Range,connected to any,300
152,PHL,Any Gender,Finance,Owner,201-500 employees,55+,connected to big companies,0
153,PHL,Any Gender,Finance,Owner,201-500 employees,55+,connected to any,0
154,PHL,Any Gender,Finance,Owner,201-500 employees,35 to 54,connected to big companies,0
155,PHL,Any Gender,Finance,Owner,201-500 employees,35 to 54,connected to any,0
156,PHL,Any Gender,Finance,Owner,201-500 employees,25 to 34,connected to big companies,0
157,PHL,Any Gender,Finance,Owner,201-500 employees,25 to 34,connected to any,0
