0,1,2,3,4,5,6,7
USA,Female,IT,Any Job Seniority,Any Company Size,Any Age Range,connected to big companies,860000
USA,Female,IT,Any Job Seniority,Any Company Size,Any Age Range,connected to any,4100000
USA,Female,IT,Any Job Seniority,Any Company Size,55+,connected to big companies,53000
USA,Female,IT,Any Job Seniority,Any Company Size,55+,connected to any,220000
USA,Female,IT,Any Job Seniority,Any Company Size,35 to 54,connected to big companies,410000
USA,Female,IT,Any Job Seniority,Any Company Size,35 to 54,connected to any,1400000
USA,Female,IT,Any Job Seniority,Any Company Size,25 to 34,connected to big companies,320000
USA,Female,IT,Any Job Seniority,Any Company Size,25 to 34,connected to any,2100000
USA,Female,IT,Any Job Seniority,Any Company Size,18 to 24,connected to big companies,69000
USA,Female,IT,Any Job Seniority,Any Company Size,18 to 24,connected to any,430000
USA,Female,IT,Any Job Seniority,"10,001+ employees",Any Age Range,connected to big companies,280000
USA,Female,IT,Any Job Seniority,"10,001+ employees",Any Age Range,connected to any,1100000
USA,Female,IT,Any Job Seniority,"10,001+ employees",55+,connected to big companies,17000
USA,Female,IT,Any Job Seniority,"10,001+ employees",55+,connected to any,58000
USA,Female,IT,Any Job Seniority,"10,001+ employees",35 to 54,connected to big companies,150000
USA,Female,IT,Any Job Seniority,"10,001+ employees",35 to 54,connected to any,430000
USA,Female,IT,Any Job Seniority,"10,001+ employees",25 to 34,connected to big companies,97000
USA,Female,IT,Any Job Seniority,"10,001+ employees",25 to 34,connected to any,470000
USA,Female,IT,Any Job Seniority,"10,001+ employees",18 to 24,connected to big companies,20000
USA,Female,IT,Any Job Seniority,"10,001+ employees",18 to 24,connected to any,120000
USA,Female,IT,Any Job Seniority,"5001-10,000 employees",Any Age Range,connected to big companies,57000
USA,Female,IT,Any Job Seniority,"5001-10,000 employees",Any Age Range,connected to any,170000
USA,Female,IT,Any Job Seniority,"5001-10,000 employees",55+,connected to big companies,3200
USA,Female,IT,Any Job Seniority,"5001-10,000 employees",55+,connected to any,9800
USA,Female,IT,Any Job Seniority,"5001-10,000 employees",35 to 54,connected to big companies,29000
USA,Female,IT,Any Job Seniority,"5001-10,000 employees",35 to 54,connected to any,71000
USA,Female,IT,Any Job Seniority,"5001-10,000 employees",25 to 34,connected to big companies,21000
USA,Female,IT,Any Job Seniority,"5001-10,000 employees",25 to 34,connected to any,72000
USA,Female,IT,Any Job Seniority,"5001-10,000 employees",18 to 24,connected to big companies,4100
USA,Female,IT,Any Job Seniority,"5001-10,000 employees",18 to 24,connected to any,15000
USA,Female,IT,Any Job Seniority,1001-5000 employees,Any Age Range,connected to big companies,130000
USA,Female,IT,Any Job Seniority,1001-5000 employees,Any Age Range,connected to any,420000
USA,Female,IT,Any Job Seniority,1001-5000 employees,55+,connected to big companies,6400
USA,Female,IT,Any Job Seniority,1001-5000 employees,55+,connected to any,21000
USA,Female,IT,Any Job Seniority,1001-5000 employees,35 to 54,connected to big companies,62000
USA,Female,IT,Any Job Seniority,1001-5000 employees,35 to 54,connected to any,160000
USA,Female,IT,Any Job Seniority,1001-5000 employees,25 to 34,connected to big companies,55000
USA,Female,IT,Any Job Seniority,1001-5000 employees,25 to 34,connected to any,190000
USA,Female,IT,Any Job Seniority,1001-5000 employees,18 to 24,connected to big companies,9600
USA,Female,IT,Any Job Seniority,1001-5000 employees,18 to 24,connected to any,45000
USA,Female,IT,Any Job Seniority,501-1000 employees,Any Age Range,connected to big companies,58000
USA,Female,IT,Any Job Seniority,501-1000 employees,Any Age Range,connected to any,190000
USA,Female,IT,Any Job Seniority,501-1000 employees,55+,connected to big companies,2800
USA,Female,IT,Any Job Seniority,501-1000 employees,55+,connected to any,9300
USA,Female,IT,Any Job Seniority,501-1000 employees,35 to 54,connected to big companies,26000
USA,Female,IT,Any Job Seniority,501-1000 employees,35 to 54,connected to any,69000
USA,Female,IT,Any Job Seniority,501-1000 employees,25 to 34,connected to big companies,24000
USA,Female,IT,Any Job Seniority,501-1000 employees,25 to 34,connected to any,90000
USA,Female,IT,Any Job Seniority,501-1000 employees,18 to 24,connected to big companies,4500
USA,Female,IT,Any Job Seniority,501-1000 employees,18 to 24,connected to any,20000
USA,Female,IT,Any Job Seniority,201-500 employees,Any Age Range,connected to big companies,73000
USA,Female,IT,Any Job Seniority,201-500 employees,Any Age Range,connected to any,260000
USA,Female,IT,Any Job Seniority,201-500 employees,55+,connected to big companies,3900
USA,Female,IT,Any Job Seniority,201-500 employees,55+,connected to any,14000
USA,Female,IT,Any Job Seniority,201-500 employees,35 to 54,connected to big companies,33000
USA,Female,IT,Any Job Seniority,201-500 employees,35 to 54,connected to any,96000
USA,Female,IT,Any Job Seniority,201-500 employees,25 to 34,connected to big companies,30000
USA,Female,IT,Any Job Seniority,201-500 employees,25 to 34,connected to any,120000
USA,Female,IT,Any Job Seniority,201-500 employees,18 to 24,connected to big companies,5600
USA,Female,IT,Any Job Seniority,201-500 employees,18 to 24,connected to any,24000
USA,Female,IT,Any Job Seniority,51-200 employees,Any Age Range,connected to big companies,110000
USA,Female,IT,Any Job Seniority,51-200 employees,Any Age Range,connected to any,390000
USA,Female,IT,Any Job Seniority,51-200 employees,55+,connected to big companies,5800
USA,Female,IT,Any Job Seniority,51-200 employees,55+,connected to any,20000
