0,1,2,3,4,5,6,7
VNM,Female,Finance,Unpaid,51-200 employees,55+,connected to big companies,0
VNM,Female,Finance,Unpaid,51-200 employees,55+,connected to any,0
VNM,Female,Finance,Unpaid,51-200 employees,35 to 54,connected to big companies,0
VNM,Female,Finance,Unpaid,51-200 employees,35 to 54,connected to any,0
VNM,Female,Finance,Unpaid,51-200 employees,25 to 34,connected to big companies,0
VNM,Female,Finance,Unpaid,51-200 employees,25 to 34,connected to any,0
VNM,Female,Finance,Unpaid,51-200 employees,18 to 24,connected to big companies,0
VNM,Female,Finance,Unpaid,51-200 employees,18 to 24,connected to any,0
VNM,Female,Finance,Unpaid,11-50 employees,Any Age Range,connected to big companies,0
VNM,Female,Finance,Unpaid,11-50 employees,Any Age Range,connected to any,0
VNM,Female,Finance,Unpaid,11-50 employees,55+,connected to big companies,0
VNM,Female,Finance,Unpaid,11-50 employees,55+,connected to any,0
VNM,Female,Finance,Unpaid,11-50 employees,35 to 54,connected to big companies,0
VNM,Female,Finance,Unpaid,11-50 employees,35 to 54,connected to any,0
VNM,Female,Finance,Unpaid,11-50 employees,25 to 34,connected to big companies,0
VNM,Female,Finance,Unpaid,11-50 employees,25 to 34,connected to any,0
VNM,Female,Finance,Unpaid,11-50 employees,18 to 24,connected to big companies,0
VNM,Female,Finance,Unpaid,11-50 employees,18 to 24,connected to any,0
VNM,Female,Finance,Unpaid,2-10 employees,Any Age Range,connected to big companies,0
VNM,Female,Finance,Unpaid,2-10 employees,Any Age Range,connected to any,0
VNM,Female,Finance,Unpaid,2-10 employees,55+,connected to big companies,0
VNM,Female,Finance,Unpaid,2-10 employees,55+,connected to any,0
VNM,Female,Finance,Unpaid,2-10 employees,35 to 54,connected to big companies,0
VNM,Female,Finance,Unpaid,2-10 employees,35 to 54,connected to any,0
VNM,Female,Finance,Unpaid,2-10 employees,25 to 34,connected to big companies,0
VNM,Female,Finance,Unpaid,2-10 employees,25 to 34,connected to any,0
VNM,Female,Finance,Unpaid,2-10 employees,18 to 24,connected to big companies,0
VNM,Female,Finance,Unpaid,2-10 employees,18 to 24,connected to any,0
VNM,Female,Finance,Unpaid,Myself Only,Any Age Range,connected to big companies,0
VNM,Female,Finance,Unpaid,Myself Only,Any Age Range,connected to any,0
VNM,Female,Finance,Unpaid,Myself Only,55+,connected to big companies,0
VNM,Female,Finance,Unpaid,Myself Only,55+,connected to any,0
VNM,Female,Finance,Unpaid,Myself Only,35 to 54,connected to big companies,0
VNM,Female,Finance,Unpaid,Myself Only,35 to 54,connected to any,0
VNM,Female,Finance,Unpaid,Myself Only,25 to 34,connected to big companies,0
VNM,Female,Finance,Unpaid,Myself Only,25 to 34,connected to any,0
VNM,Female,Finance,Unpaid,Myself Only,18 to 24,connected to big companies,0
VNM,Female,Finance,Unpaid,Myself Only,18 to 24,connected to any,0
GBR,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,connected to big companies,310000
GBR,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,connected to any,1800000
GBR,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,connected to big companies,25000
GBR,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,connected to any,150000
GBR,Any Gender,Finance,Any Job Seniority,Any Company Size,35 to 54,connected to big companies,170000
GBR,Any Gender,Finance,Any Job Seniority,Any Company Size,35 to 54,connected to any,710000
GBR,Any Gender,Finance,Any Job Seniority,Any Company Size,25 to 34,connected to big companies,97000
GBR,Any Gender,Finance,Any Job Seniority,Any Company Size,25 to 34,connected to any,780000
GBR,Any Gender,Finance,Any Job Seniority,Any Company Size,18 to 24,connected to big companies,15000
GBR,Any Gender,Finance,Any Job Seniority,Any Company Size,18 to 24,connected to any,140000
GBR,Any Gender,Finance,Any Job Seniority,"10,001+ employees",Any Age Range,connected to big companies,110000
GBR,Any Gender,Finance,Any Job Seniority,"10,001+ employees",Any Age Range,connected to any,490000
GBR,Any Gender,Finance,Any Job Seniority,"10,001+ employees",55+,connected to big companies,6800
GBR,Any Gender,Finance,Any Job Seniority,"10,001+ employees",55+,connected to any,40000
GBR,Any Gender,Finance,Any Job Seniority,"10,001+ employees",35 to 54,connected to big companies,63000
GBR,Any Gender,Finance,Any Job Seniority,"10,001+ employees",35 to 54,connected to any,220000
GBR,Any Gender,Finance,Any Job Seniority,"10,001+ employees",25 to 34,connected to big companies,32000
GBR,Any Gender,Finance,Any Job Seniority,"10,001+ employees",25 to 34,connected to any,190000
GBR,Any Gender,Finance,Any Job Seniority,"10,001+ employees",18 to 24,connected to big companies,3700
GBR,Any Gender,Finance,Any Job Seniority,"10,001+ employees",18 to 24,connected to any,33000
GBR,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",Any Age Range,connected to big companies,18000
GBR,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",Any Age Range,connected to any,80000
GBR,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",55+,connected to big companies,1500
GBR,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",55+,connected to any,6000
GBR,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",35 to 54,connected to big companies,11000
GBR,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",35 to 54,connected to any,38000
GBR,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",25 to 34,connected to big companies,5100
GBR,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",25 to 34,connected to any,30000
GBR,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",18 to 24,connected to big companies,590
GBR,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",18 to 24,connected to any,5100
GBR,Any Gender,Finance,Any Job Seniority,1001-5000 employees,Any Age Range,connected to big companies,48000
GBR,Any Gender,Finance,Any Job Seniority,1001-5000 employees,Any Age Range,connected to any,220000
GBR,Any Gender,Finance,Any Job Seniority,1001-5000 employees,55+,connected to big companies,3300
GBR,Any Gender,Finance,Any Job Seniority,1001-5000 employees,55+,connected to any,17000
GBR,Any Gender,Finance,Any Job Seniority,1001-5000 employees,35 to 54,connected to big companies,26000
GBR,Any Gender,Finance,Any Job Seniority,1001-5000 employees,35 to 54,connected to any,100000
GBR,Any Gender,Finance,Any Job Seniority,1001-5000 employees,25 to 34,connected to big companies,16000
GBR,Any Gender,Finance,Any Job Seniority,1001-5000 employees,25 to 34,connected to any,90000
GBR,Any Gender,Finance,Any Job Seniority,1001-5000 employees,18 to 24,connected to big companies,1900
GBR,Any Gender,Finance,Any Job Seniority,1001-5000 employees,18 to 24,connected to any,14000
GBR,Any Gender,Finance,Any Job Seniority,501-1000 employees,Any Age Range,connected to big companies,16000
GBR,Any Gender,Finance,Any Job Seniority,501-1000 employees,Any Age Range,connected to any,73000
GBR,Any Gender,Finance,Any Job Seniority,501-1000 employees,55+,connected to big companies,1200
GBR,Any Gender,Finance,Any Job Seniority,501-1000 employees,55+,connected to any,5900
GBR,Any Gender,Finance,Any Job Seniority,501-1000 employees,35 to 54,connected to big companies,8700
GBR,Any Gender,Finance,Any Job Seniority,501-1000 employees,35 to 54,connected to any,33000
GBR,Any Gender,Finance,Any Job Seniority,501-1000 employees,25 to 34,connected to big companies,5500
GBR,Any Gender,Finance,Any Job Seniority,501-1000 employees,25 to 34,connected to any,28000
GBR,Any Gender,Finance,Any Job Seniority,501-1000 employees,18 to 24,connected to big companies,640
GBR,Any Gender,Finance,Any Job Seniority,501-1000 employees,18 to 24,connected to any,4500
GBR,Any Gender,Finance,Any Job Seniority,201-500 employees,Any Age Range,connected to big companies,19000
GBR,Any Gender,Finance,Any Job Seniority,201-500 employees,Any Age Range,connected to any,94000
GBR,Any Gender,Finance,Any Job Seniority,201-500 employees,55+,connected to big companies,1500
GBR,Any Gender,Finance,Any Job Seniority,201-500 employees,55+,connected to any,8000
GBR,Any Gender,Finance,Any Job Seniority,201-500 employees,35 to 54,connected to big companies,10000
GBR,Any Gender,Finance,Any Job Seniority,201-500 employees,35 to 54,connected to any,41000
GBR,Any Gender,Finance,Any Job Seniority,201-500 employees,25 to 34,connected to big companies,6400
GBR,Any Gender,Finance,Any Job Seniority,201-500 employees,25 to 34,connected to any,38000
GBR,Any Gender,Finance,Any Job Seniority,201-500 employees,18 to 24,connected to big companies,810
GBR,Any Gender,Finance,Any Job Seniority,201-500 employees,18 to 24,connected to any,6100
GBR,Any Gender,Finance,Any Job Seniority,51-200 employees,Any Age Range,connected to big companies,30000
GBR,Any Gender,Finance,Any Job Seniority,51-200 employees,Any Age Range,connected to any,130000
GBR,Any Gender,Finance,Any Job Seniority,51-200 employees,55+,connected to big companies,2500
GBR,Any Gender,Finance,Any Job Seniority,51-200 employees,55+,connected to any,12000
GBR,Any Gender,Finance,Any Job Seniority,51-200 employees,35 to 54,connected to big companies,15000
GBR,Any Gender,Finance,Any Job Seniority,51-200 employees,35 to 54,connected to any,57000
GBR,Any Gender,Finance,Any Job Seniority,51-200 employees,25 to 34,connected to big companies,10000
GBR,Any Gender,Finance,Any Job Seniority,51-200 employees,25 to 34,connected to any,53000
GBR,Any Gender,Finance,Any Job Seniority,51-200 employees,18 to 24,connected to big companies,1400
GBR,Any Gender,Finance,Any Job Seniority,51-200 employees,18 to 24,connected to any,9200
GBR,Any Gender,Finance,Any Job Seniority,11-50 employees,Any Age Range,connected to big companies,30000
GBR,Any Gender,Finance,Any Job Seniority,11-50 employees,Any Age Range,connected to any,140000
GBR,Any Gender,Finance,Any Job Seniority,11-50 employees,55+,connected to big companies,3200
GBR,Any Gender,Finance,Any Job Seniority,11-50 employees,55+,connected to any,16000
GBR,Any Gender,Finance,Any Job Seniority,11-50 employees,35 to 54,connected to big companies,15000
GBR,Any Gender,Finance,Any Job Seniority,11-50 employees,35 to 54,connected to any,58000
GBR,Any Gender,Finance,Any Job Seniority,11-50 employees,25 to 34,connected to big companies,10000
GBR,Any Gender,Finance,Any Job Seniority,11-50 employees,25 to 34,connected to any,55000
GBR,Any Gender,Finance,Any Job Seniority,11-50 employees,18 to 24,connected to big companies,1900
GBR,Any Gender,Finance,Any Job Seniority,11-50 employees,18 to 24,connected to any,11000
GBR,Any Gender,Finance,Any Job Seniority,2-10 employees,Any Age Range,connected to big companies,21000
GBR,Any Gender,Finance,Any Job Seniority,2-10 employees,Any Age Range,connected to any,140000
GBR,Any Gender,Finance,Any Job Seniority,2-10 employees,55+,connected to big companies,3000
