0,1,2,3,4,5
USA,Male,IT,Senior,connected to any,1900000
USA,Male,IT,Entry,connected to big companies,380000
USA,Male,IT,Entry,connected to any,2100000
USA,Male,IT,Training,connected to big companies,11000
USA,Male,IT,Training,connected to any,46000
USA,Male,IT,Unpaid,connected to big companies,7500
USA,Male,IT,Unpaid,connected to any,180000
USA,Female,Finance,Any Job Seniority,connected to big companies,490000
USA,Female,Finance,Any Job Seniority,connected to any,4400000
USA,Female,Finance,Owner,connected to big companies,15000
USA,Female,Finance,Owner,connected to any,140000
USA,Female,Finance,Partner,connected to big companies,11000
USA,Female,Finance,Partner,connected to any,42000
USA,Female,Finance,CXO,connected to big companies,19000
USA,Female,Finance,CXO,connected to any,100000
USA,Female,Finance,VP,connected to big companies,79000
USA,Female,Finance,VP,connected to any,270000
USA,Female,Finance,Director,connected to big companies,57000
USA,Female,Finance,Director,connected to any,220000
USA,Female,Finance,Manager,connected to big companies,53000
USA,Female,Finance,Manager,connected to any,390000
USA,Female,Finance,Senior,connected to big companies,170000
USA,Female,Finance,Senior,connected to any,1400000
USA,Female,Finance,Entry,connected to big companies,88000
USA,Female,Finance,Entry,connected to any,1400000
USA,Female,Finance,Training,connected to big companies,4400
USA,Female,Finance,Training,connected to any,19000
USA,Female,Finance,Unpaid,connected to big companies,1100
USA,Female,Finance,Unpaid,connected to any,60000
USA,Female,IT,Any Job Seniority,connected to big companies,870000
USA,Female,IT,Any Job Seniority,connected to any,4100000
USA,Female,IT,Owner,connected to big companies,39000
USA,Female,IT,Owner,connected to any,170000
USA,Female,IT,Partner,connected to big companies,14000
USA,Female,IT,Partner,connected to any,26000
USA,Female,IT,CXO,connected to big companies,30000
USA,Female,IT,CXO,connected to any,94000
USA,Female,IT,VP,connected to big companies,36000
USA,Female,IT,VP,connected to any,86000
USA,Female,IT,Director,connected to big companies,100000
USA,Female,IT,Director,connected to any,220000
USA,Female,IT,Manager,connected to big companies,110000
USA,Female,IT,Manager,connected to any,340000
USA,Female,IT,Senior,connected to big companies,320000
USA,Female,IT,Senior,connected to any,1200000
USA,Female,IT,Entry,connected to big companies,180000
USA,Female,IT,Entry,connected to any,1400000
USA,Female,IT,Training,connected to big companies,7400
USA,Female,IT,Training,connected to any,30000
USA,Female,IT,Unpaid,connected to big companies,2100
USA,Female,IT,Unpaid,connected to any,130000
