0,1,2,3,4,5
USA,Any Gender,IT,Any Job Seniority,connected to big companies,2900000
USA,Any Gender,IT,Any Job Seniority,connected to any,12000000
USA,Any Gender,IT,Owner,connected to big companies,180000
USA,Any Gender,IT,Owner,connected to any,740000
USA,Any Gender,IT,Partner,connected to big companies,69000
USA,Any Gender,IT,Partner,connected to any,130000
USA,Any Gender,IT,CXO,connected to big companies,180000
USA,Any Gender,IT,CXO,connected to any,530000
USA,Any Gender,IT,VP,connected to big companies,160000
USA,Any Gender,IT,VP,connected to any,370000
USA,Any Gender,IT,Director,connected to big companies,350000
USA,Any Gender,IT,Director,connected to any,730000
USA,Any Gender,IT,Manager,connected to big companies,330000
USA,Any Gender,IT,Manager,connected to any,1000000
USA,Any Gender,IT,Senior,connected to big companies,1000000
USA,Any Gender,IT,Senior,connected to any,3400000
USA,Any Gender,IT,Entry,connected to big companies,590000
USA,Any Gender,IT,Entry,connected to any,3800000
USA,Any Gender,IT,Training,connected to big companies,21000
USA,Any Gender,IT,Training,connected to any,88000
USA,Any Gender,IT,Unpaid,connected to big companies,9300
USA,Any Gender,IT,Unpaid,connected to any,330000
USA,Male,IT,Any Job Seniority,connected to big companies,1900000
USA,Male,IT,Any Job Seniority,connected to any,7300000
USA,Male,IT,Owner,connected to big companies,140000
USA,Male,IT,Owner,connected to any,520000
USA,Male,IT,Partner,connected to big companies,52000
USA,Male,IT,Partner,connected to any,92000
USA,Male,IT,CXO,connected to big companies,140000
USA,Male,IT,CXO,connected to any,400000
USA,Male,IT,VP,connected to big companies,120000
USA,Male,IT,VP,connected to any,260000
USA,Male,IT,Director,connected to big companies,230000
USA,Male,IT,Director,connected to any,470000
USA,Male,IT,Manager,connected to big companies,200000
USA,Male,IT,Manager,connected to any,610000
USA,Male,IT,Senior,connected to big companies,660000
USA,Male,IT,Senior,connected to any,2000000
USA,Male,IT,Entry,connected to big companies,370000
USA,Male,IT,Entry,connected to any,2100000
USA,Male,IT,Training,connected to big companies,11000
USA,Male,IT,Training,connected to any,47000
USA,Male,IT,Unpaid,connected to big companies,7100
USA,Male,IT,Unpaid,connected to any,180000
USA,Female,IT,Any Job Seniority,connected to big companies,840000
USA,Female,IT,Any Job Seniority,connected to any,4200000
USA,Female,IT,Owner,connected to big companies,37000
USA,Female,IT,Owner,connected to any,170000
USA,Female,IT,Partner,connected to big companies,14000
USA,Female,IT,Partner,connected to any,27000
USA,Female,IT,CXO,connected to big companies,29000
USA,Female,IT,CXO,connected to any,95000
USA,Female,IT,VP,connected to big companies,35000
USA,Female,IT,VP,connected to any,86000
USA,Female,IT,Director,connected to big companies,98000
USA,Female,IT,Director,connected to any,220000
USA,Female,IT,Manager,connected to big companies,110000
USA,Female,IT,Manager,connected to any,350000
USA,Female,IT,Senior,connected to big companies,310000
USA,Female,IT,Senior,connected to any,1200000
USA,Female,IT,Entry,connected to big companies,170000
USA,Female,IT,Entry,connected to any,1400000
USA,Female,IT,Training,connected to big companies,7100
USA,Female,IT,Training,connected to any,30000
USA,Female,IT,Unpaid,connected to big companies,2000
USA,Female,IT,Unpaid,connected to any,130000
