0,1,2,3,4,5
USA,Any Gender,Finance,Any Job Seniority,connected to big companies,1400000
USA,Any Gender,Finance,Any Job Seniority,connected to any,9700000
USA,Any Gender,Finance,Owner,connected to big companies,67000
USA,Any Gender,Finance,Owner,connected to any,490000
USA,Any Gender,Finance,Partner,connected to big companies,60000
USA,Any Gender,Finance,Partner,connected to any,180000
USA,Any Gender,Finance,CXO,connected to big companies,93000
USA,Any Gender,Finance,CXO,connected to any,450000
USA,Any Gender,Finance,VP,connected to big companies,280000
USA,Any Gender,Finance,VP,connected to any,840000
USA,Any Gender,Finance,Director,connected to big companies,180000
USA,Any Gender,Finance,Director,connected to any,580000
USA,Any Gender,Finance,Manager,connected to big companies,130000
USA,Any Gender,Finance,Manager,connected to any,810000
USA,Any Gender,Finance,Senior,connected to big companies,450000
USA,Any Gender,Finance,Senior,connected to any,2900000
USA,Any Gender,Finance,Entry,connected to big companies,230000
USA,Any Gender,Finance,Entry,connected to any,2700000
USA,Any Gender,Finance,Training,connected to big companies,14000
USA,Any Gender,Finance,Training,connected to any,53000
USA,Any Gender,Finance,Unpaid,connected to big companies,3200
USA,Any Gender,Finance,Unpaid,connected to any,130000
USA,Male,Finance,Any Job Seniority,connected to big companies,900000
USA,Male,Finance,Any Job Seniority,connected to any,4800000
USA,Male,Finance,Owner,connected to big companies,49000
USA,Male,Finance,Owner,connected to any,320000
USA,Male,Finance,Partner,connected to big companies,46000
USA,Male,Finance,Partner,connected to any,130000
USA,Male,Finance,CXO,connected to big companies,71000
USA,Male,Finance,CXO,connected to any,320000
USA,Male,Finance,VP,connected to big companies,190000
USA,Male,Finance,VP,connected to any,530000
USA,Male,Finance,Director,connected to big companies,120000
USA,Male,Finance,Director,connected to any,330000
USA,Male,Finance,Manager,connected to big companies,77000
USA,Male,Finance,Manager,connected to any,380000
USA,Male,Finance,Senior,connected to big companies,260000
USA,Male,Finance,Senior,connected to any,1400000
USA,Male,Finance,Entry,connected to big companies,130000
USA,Male,Finance,Entry,connected to any,1100000
USA,Male,Finance,Training,connected to big companies,8300
USA,Male,Finance,Training,connected to any,28000
USA,Male,Finance,Unpaid,connected to big companies,2100
USA,Male,Finance,Unpaid,connected to any,63000
USA,Female,Finance,Any Job Seniority,connected to big companies,480000
USA,Female,Finance,Any Job Seniority,connected to any,4500000
USA,Female,Finance,Owner,connected to big companies,15000
USA,Female,Finance,Owner,connected to any,140000
USA,Female,Finance,Partner,connected to big companies,11000
USA,Female,Finance,Partner,connected to any,42000
USA,Female,Finance,CXO,connected to big companies,19000
USA,Female,Finance,CXO,connected to any,100000
USA,Female,Finance,VP,connected to big companies,79000
USA,Female,Finance,VP,connected to any,270000
USA,Female,Finance,Director,connected to big companies,57000
USA,Female,Finance,Director,connected to any,220000
USA,Female,Finance,Manager,connected to big companies,51000
USA,Female,Finance,Manager,connected to any,390000
USA,Female,Finance,Senior,connected to big companies,160000
USA,Female,Finance,Senior,connected to any,1400000
USA,Female,Finance,Entry,connected to big companies,86000
USA,Female,Finance,Entry,connected to any,1400000
USA,Female,Finance,Training,connected to big companies,4400
USA,Female,Finance,Training,connected to any,19000
USA,Female,Finance,Unpaid,connected to big companies,1000
USA,Female,Finance,Unpaid,connected to any,60000
