0,1,2,3,4,5
USA,Any Gender,Finance,Any Job Seniority,connected to big companies,1000000
USA,Any Gender,Finance,Any Job Seniority,connected to any,9700000
USA,Any Gender,Finance,Owner,connected to big companies,45000
USA,Any Gender,Finance,Owner,connected to any,490000
USA,Any Gender,Finance,Partner,connected to big companies,47000
USA,Any Gender,Finance,Partner,connected to any,180000
USA,Any Gender,Finance,CXO,connected to big companies,65000
USA,Any Gender,Finance,CXO,connected to any,450000
USA,Any Gender,Finance,VP,connected to big companies,210000
USA,Any Gender,Finance,VP,connected to any,860000
USA,Any Gender,Finance,Director,connected to big companies,140000
USA,Any Gender,Finance,Director,connected to any,580000
USA,Any Gender,Finance,Manager,connected to big companies,86000
USA,Any Gender,Finance,Manager,connected to any,820000
USA,Any Gender,Finance,Senior,connected to big companies,300000
USA,Any Gender,Finance,Senior,connected to any,2900000
USA,Any Gender,Finance,Entry,connected to big companies,160000
USA,Any Gender,Finance,Entry,connected to any,2700000
USA,Any Gender,Finance,Training,connected to big companies,12000
USA,Any Gender,Finance,Training,connected to any,53000
USA,Any Gender,Finance,Unpaid,connected to big companies,1900
USA,Any Gender,Finance,Unpaid,connected to any,130000
USA,Male,Finance,Any Job Seniority,connected to big companies,640000
USA,Male,Finance,Any Job Seniority,connected to any,4800000
USA,Male,Finance,Owner,connected to big companies,34000
USA,Male,Finance,Owner,connected to any,320000
USA,Male,Finance,Partner,connected to big companies,36000
USA,Male,Finance,Partner,connected to any,130000
USA,Male,Finance,CXO,connected to big companies,50000
USA,Male,Finance,CXO,connected to any,320000
USA,Male,Finance,VP,connected to big companies,140000
USA,Male,Finance,VP,connected to any,540000
USA,Male,Finance,Director,connected to big companies,91000
USA,Male,Finance,Director,connected to any,340000
USA,Male,Finance,Manager,connected to big companies,51000
USA,Male,Finance,Manager,connected to any,390000
USA,Male,Finance,Senior,connected to big companies,180000
USA,Male,Finance,Senior,connected to any,1400000
USA,Male,Finance,Entry,connected to big companies,91000
USA,Male,Finance,Entry,connected to any,1100000
USA,Male,Finance,Training,connected to big companies,6900
USA,Male,Finance,Training,connected to any,28000
USA,Male,Finance,Unpaid,connected to big companies,1300
USA,Male,Finance,Unpaid,connected to any,63000
USA,Female,Finance,Any Job Seniority,connected to big companies,320000
USA,Female,Finance,Any Job Seniority,connected to any,4500000
USA,Female,Finance,Owner,connected to big companies,9500
USA,Female,Finance,Owner,connected to any,140000
USA,Female,Finance,Partner,connected to big companies,8400
USA,Female,Finance,Partner,connected to any,42000
USA,Female,Finance,CXO,connected to big companies,13000
USA,Female,Finance,CXO,connected to any,100000
USA,Female,Finance,VP,connected to big companies,58000
USA,Female,Finance,VP,connected to any,280000
USA,Female,Finance,Director,connected to big companies,40000
USA,Female,Finance,Director,connected to any,220000
USA,Female,Finance,Manager,connected to big companies,32000
USA,Female,Finance,Manager,connected to any,390000
USA,Female,Finance,Senior,connected to big companies,100000
USA,Female,Finance,Senior,connected to any,1400000
USA,Female,Finance,Entry,connected to big companies,56000
USA,Female,Finance,Entry,connected to any,1500000
USA,Female,Finance,Training,connected to big companies,3600
USA,Female,Finance,Training,connected to any,19000
USA,Female,Finance,Unpaid,connected to big companies,560
USA,Female,Finance,Unpaid,connected to any,60000
