0,1,2,3,4,5
VNM,Any Gender,IT,Any Job Seniority,connected to big companies,20000
VNM,Any Gender,IT,Any Job Seniority,connected to any,340000
VNM,Any Gender,IT,Owner,connected to big companies,1100
VNM,Any Gender,IT,Owner,connected to any,7300
VNM,Any Gender,IT,Partner,connected to big companies,0
VNM,Any Gender,IT,Partner,connected to any,750
VNM,Any Gender,IT,CXO,connected to big companies,1300
VNM,Any Gender,IT,CXO,connected to any,7400
VNM,Any Gender,IT,VP,connected to big companies,520
VNM,Any Gender,IT,VP,connected to any,4200
VNM,Any Gender,IT,Director,connected to big companies,2000
VNM,Any Gender,IT,Director,connected to any,12000
VNM,Any Gender,IT,Manager,connected to big companies,1900
VNM,Any Gender,IT,Manager,connected to any,17000
VNM,Any Gender,IT,Senior,connected to big companies,6700
VNM,Any Gender,IT,Senior,connected to any,73000
VNM,Any Gender,IT,Entry,connected to big companies,5500
VNM,Any Gender,IT,Entry,connected to any,140000
VNM,Any Gender,IT,Training,connected to big companies,0
VNM,Any Gender,IT,Training,connected to any,11000
VNM,Any Gender,IT,Unpaid,connected to big companies,0
VNM,Any Gender,IT,Unpaid,connected to any,2300
VNM,Male,IT,Any Job Seniority,connected to big companies,8600
VNM,Male,IT,Any Job Seniority,connected to any,120000
VNM,Male,IT,Owner,connected to big companies,620
VNM,Male,IT,Owner,connected to any,3200
VNM,Male,IT,Partner,connected to big companies,0
VNM,Male,IT,Partner,connected to any,340
VNM,Male,IT,CXO,connected to big companies,690
VNM,Male,IT,CXO,connected to any,3200
VNM,Male,IT,VP,connected to big companies,0
VNM,Male,IT,VP,connected to any,1600
VNM,Male,IT,Director,connected to big companies,1000
VNM,Male,IT,Director,connected to any,4700
VNM,Male,IT,Manager,connected to big companies,840
VNM,Male,IT,Manager,connected to any,6200
VNM,Male,IT,Senior,connected to big companies,2700
VNM,Male,IT,Senior,connected to any,26000
VNM,Male,IT,Entry,connected to big companies,2300
VNM,Male,IT,Entry,connected to any,47000
VNM,Male,IT,Training,connected to big companies,0
VNM,Male,IT,Training,connected to any,3100
VNM,Male,IT,Unpaid,connected to big companies,0
VNM,Male,IT,Unpaid,connected to any,780
VNM,Female,IT,Any Job Seniority,connected to big companies,6600
VNM,Female,IT,Any Job Seniority,connected to any,99000
VNM,Female,IT,Owner,connected to big companies,0
VNM,Female,IT,Owner,connected to any,1800
VNM,Female,IT,Partner,connected to big companies,0
VNM,Female,IT,Partner,connected to any,0
VNM,Female,IT,CXO,connected to big companies,330
VNM,Female,IT,CXO,connected to any,1700
VNM,Female,IT,VP,connected to big companies,0
VNM,Female,IT,VP,connected to any,1200
VNM,Female,IT,Director,connected to big companies,610
VNM,Female,IT,Director,connected to any,3400
VNM,Female,IT,Manager,connected to big companies,650
VNM,Female,IT,Manager,connected to any,5100
VNM,Female,IT,Senior,connected to big companies,2500
VNM,Female,IT,Senior,connected to any,24000
VNM,Female,IT,Entry,connected to big companies,1700
VNM,Female,IT,Entry,connected to any,41000
VNM,Female,IT,Training,connected to big companies,0
VNM,Female,IT,Training,connected to any,2900
VNM,Female,IT,Unpaid,connected to big companies,0
VNM,Female,IT,Unpaid,connected to any,670
GBR,Any Gender,IT,Any Job Seniority,connected to big companies,470000
GBR,Any Gender,IT,Any Job Seniority,connected to any,2200000
GBR,Any Gender,IT,Owner,connected to big companies,31000
GBR,Any Gender,IT,Owner,connected to any,110000
GBR,Any Gender,IT,Partner,connected to big companies,11000
GBR,Any Gender,IT,Partner,connected to any,21000
GBR,Any Gender,IT,CXO,connected to big companies,25000
GBR,Any Gender,IT,CXO,connected to any,57000
GBR,Any Gender,IT,VP,connected to big companies,23000
GBR,Any Gender,IT,VP,connected to any,66000
GBR,Any Gender,IT,Director,connected to big companies,92000
GBR,Any Gender,IT,Director,connected to any,230000
GBR,Any Gender,IT,Manager,connected to big companies,49000
GBR,Any Gender,IT,Manager,connected to any,170000
GBR,Any Gender,IT,Senior,connected to big companies,170000
GBR,Any Gender,IT,Senior,connected to any,620000
GBR,Any Gender,IT,Entry,connected to big companies,78000
GBR,Any Gender,IT,Entry,connected to any,620000
GBR,Any Gender,IT,Training,connected to big companies,1700
GBR,Any Gender,IT,Training,connected to any,16000
GBR,Any Gender,IT,Unpaid,connected to big companies,1900
GBR,Any Gender,IT,Unpaid,connected to any,49000
GBR,Male,IT,Any Job Seniority,connected to big companies,320000
GBR,Male,IT,Any Job Seniority,connected to any,1400000
GBR,Male,IT,Owner,connected to big companies,25000
GBR,Male,IT,Owner,connected to any,81000
GBR,Male,IT,Partner,connected to big companies,8100
GBR,Male,IT,Partner,connected to any,15000
GBR,Male,IT,CXO,connected to big companies,20000
GBR,Male,IT,CXO,connected to any,44000
GBR,Male,IT,VP,connected to big companies,19000
GBR,Male,IT,VP,connected to any,51000
GBR,Male,IT,Director,connected to big companies,69000
GBR,Male,IT,Director,connected to any,170000
GBR,Male,IT,Manager,connected to big companies,32000
GBR,Male,IT,Manager,connected to any,110000
GBR,Male,IT,Senior,connected to big companies,110000
GBR,Male,IT,Senior,connected to any,380000
GBR,Male,IT,Entry,connected to big companies,51000
GBR,Male,IT,Entry,connected to any,380000
GBR,Male,IT,Training,connected to big companies,890
GBR,Male,IT,Training,connected to any,9000
GBR,Male,IT,Unpaid,connected to big companies,1600
GBR,Male,IT,Unpaid,connected to any,31000
GBR,Female,IT,Any Job Seniority,connected to big companies,120000
GBR,Female,IT,Any Job Seniority,connected to any,600000
GBR,Female,IT,Owner,connected to big companies,5100
GBR,Female,IT,Owner,connected to any,19000
GBR,Female,IT,Partner,connected to big companies,2000
GBR,Female,IT,Partner,connected to any,4300
GBR,Female,IT,CXO,connected to big companies,3300
GBR,Female,IT,CXO,connected to any,8100
GBR,Female,IT,VP,connected to big companies,3300
GBR,Female,IT,VP,connected to any,10000
GBR,Female,IT,Director,connected to big companies,19000
GBR,Female,IT,Director,connected to any,53000
GBR,Female,IT,Manager,connected to big companies,15000
GBR,Female,IT,Manager,connected to any,53000
GBR,Female,IT,Senior,connected to big companies,45000
GBR,Female,IT,Senior,connected to any,190000
GBR,Female,IT,Entry,connected to big companies,21000
GBR,Female,IT,Entry,connected to any,180000
GBR,Female,IT,Training,connected to big companies,650
GBR,Female,IT,Training,connected to any,5000
GBR,Female,IT,Unpaid,connected to big companies,0
GBR,Female,IT,Unpaid,connected to any,15000
USA,Any Gender,IT,Any Job Seniority,connected to big companies,2900000
USA,Any Gender,IT,Any Job Seniority,connected to any,12000000
USA,Any Gender,IT,Owner,connected to big companies,190000
USA,Any Gender,IT,Owner,connected to any,740000
USA,Any Gender,IT,Partner,connected to big companies,70000
USA,Any Gender,IT,Partner,connected to any,130000
USA,Any Gender,IT,CXO,connected to big companies,180000
USA,Any Gender,IT,CXO,connected to any,530000
USA,Any Gender,IT,VP,connected to big companies,160000
USA,Any Gender,IT,VP,connected to any,370000
USA,Any Gender,IT,Director,connected to big companies,350000
USA,Any Gender,IT,Director,connected to any,730000
USA,Any Gender,IT,Manager,connected to big companies,340000
USA,Any Gender,IT,Manager,connected to any,1000000
USA,Any Gender,IT,Senior,connected to big companies,1000000
