0,1,2,3,4,5
VNM,Any Gender,Finance,Any Job Seniority,connected to big companies,1600
VNM,Any Gender,Finance,Any Job Seniority,connected to any,150000
VNM,Any Gender,Finance,Owner,connected to big companies,0
VNM,Any Gender,Finance,Owner,connected to any,3200
VNM,Any Gender,Finance,Partner,connected to big companies,0
VNM,Any Gender,Finance,Partner,connected to any,900
VNM,Any Gender,Finance,CXO,connected to big companies,0
VNM,Any Gender,Finance,CXO,connected to any,3300
VNM,Any Gender,Finance,VP,connected to big companies,0
VNM,Any Gender,Finance,VP,connected to any,2300
VNM,Any Gender,Finance,Director,connected to big companies,360
VNM,Any Gender,Finance,Director,connected to any,8200
VNM,Any Gender,Finance,Manager,connected to big companies,0
VNM,Any Gender,Finance,Manager,connected to any,11000
VNM,Any Gender,Finance,Senior,connected to big companies,480
VNM,Any Gender,Finance,Senior,connected to any,38000
VNM,Any Gender,Finance,Entry,connected to big companies,0
VNM,Any Gender,Finance,Entry,connected to any,41000
VNM,Any Gender,Finance,Training,connected to big companies,0
VNM,Any Gender,Finance,Training,connected to any,3900
VNM,Any Gender,Finance,Unpaid,connected to big companies,0
VNM,Any Gender,Finance,Unpaid,connected to any,710
VNM,Male,Finance,Any Job Seniority,connected to big companies,690
VNM,Male,Finance,Any Job Seniority,connected to any,46000
VNM,Male,Finance,Owner,connected to big companies,0
VNM,Male,Finance,Owner,connected to any,1300
VNM,Male,Finance,Partner,connected to big companies,0
VNM,Male,Finance,Partner,connected to any,440
VNM,Male,Finance,CXO,connected to big companies,0
VNM,Male,Finance,CXO,connected to any,1400
VNM,Male,Finance,VP,connected to big companies,0
VNM,Male,Finance,VP,connected to any,840
VNM,Male,Finance,Director,connected to big companies,0
VNM,Male,Finance,Director,connected to any,3200
VNM,Male,Finance,Manager,connected to big companies,0
VNM,Male,Finance,Manager,connected to any,3700
VNM,Male,Finance,Senior,connected to big companies,0
VNM,Male,Finance,Senior,connected to any,12000
VNM,Male,Finance,Entry,connected to big companies,0
VNM,Male,Finance,Entry,connected to any,12000
VNM,Male,Finance,Training,connected to big companies,0
VNM,Male,Finance,Training,connected to any,980
VNM,Male,Finance,Unpaid,connected to big companies,0
VNM,Male,Finance,Unpaid,connected to any,0
VNM,Female,Finance,Any Job Seniority,connected to big companies,670
VNM,Female,Finance,Any Job Seniority,connected to any,54000
VNM,Female,Finance,Owner,connected to big companies,0
VNM,Female,Finance,Owner,connected to any,1000
VNM,Female,Finance,Partner,connected to big companies,0
VNM,Female,Finance,Partner,connected to any,0
VNM,Female,Finance,CXO,connected to big companies,0
VNM,Female,Finance,CXO,connected to any,870
VNM,Female,Finance,VP,connected to big companies,0
VNM,Female,Finance,VP,connected to any,790
