Country,Gender,Sector,Job Seniority,Connectivity Status,Count
PHL,Any Gender,Finance,Any Job Seniority,connected to big companies,7000
PHL,Any Gender,Finance,Any Job Seniority,connected to any,400000
PHL,Any Gender,Finance,Owner,connected to big companies,0
PHL,Any Gender,Finance,Owner,connected to any,6700
PHL,Any Gender,Finance,Partner,connected to big companies,0
PHL,Any Gender,Finance,Partner,connected to any,1600
PHL,Any Gender,Finance,CXO,connected to big companies,0
PHL,Any Gender,Finance,CXO,connected to any,5700
PHL,Any Gender,Finance,VP,connected to big companies,770
PHL,Any Gender,Finance,VP,connected to any,8600
PHL,Any Gender,Finance,Director,connected to big companies,810
PHL,Any Gender,Finance,Director,connected to any,17000
PHL,Any Gender,Finance,Manager,connected to big companies,880
PHL,Any Gender,Finance,Manager,connected to any,34000
PHL,Any Gender,Finance,Senior,connected to big companies,2800
PHL,Any Gender,Finance,Senior,connected to any,120000
PHL,Any Gender,Finance,Entry,connected to big companies,1100
PHL,Any Gender,Finance,Entry,connected to any,150000
PHL,Any Gender,Finance,Training,connected to big companies,0
PHL,Any Gender,Finance,Training,connected to any,3100
PHL,Any Gender,Finance,Unpaid,connected to big companies,0
PHL,Any Gender,Finance,Unpaid,connected to any,3000
PHL,Male,Finance,Any Job Seniority,connected to big companies,3100
PHL,Male,Finance,Any Job Seniority,connected to any,140000
PHL,Male,Finance,Owner,connected to big companies,0
PHL,Male,Finance,Owner,connected to any,2900
PHL,Male,Finance,Partner,connected to big companies,0
PHL,Male,Finance,Partner,connected to any,890
PHL,Male,Finance,CXO,connected to big companies,0
PHL,Male,Finance,CXO,connected to any,3000
PHL,Male,Finance,VP,connected to big companies,380
PHL,Male,Finance,VP,connected to any,4000
PHL,Male,Finance,Director,connected to big companies,410
PHL,Male,Finance,Director,connected to any,7000
PHL,Male,Finance,Manager,connected to big companies,380
PHL,Male,Finance,Manager,connected to any,13000
PHL,Male,Finance,Senior,connected to big companies,1200
PHL,Male,Finance,Senior,connected to any,43000
PHL,Male,Finance,Entry,connected to big companies,460
PHL,Male,Finance,Entry,connected to any,49000
PHL,Male,Finance,Training,connected to big companies,0
PHL,Male,Finance,Training,connected to any,1000
PHL,Male,Finance,Unpaid,connected to big companies,0
PHL,Male,Finance,Unpaid,connected to any,980
PHL,Female,Finance,Any Job Seniority,connected to big companies,3100
PHL,Female,Finance,Any Job Seniority,connected to any,190000
PHL,Female,Finance,Owner,connected to big companies,0
PHL,Female,Finance,Owner,connected to any,2600
PHL,Female,Finance,Partner,connected to big companies,0
PHL,Female,Finance,Partner,connected to any,500
PHL,Female,Finance,CXO,connected to big companies,0
PHL,Female,Finance,CXO,connected to any,1600
PHL,Female,Finance,VP,connected to big companies,310
PHL,Female,Finance,VP,connected to any,3500
PHL,Female,Finance,Director,connected to big companies,320
PHL,Female,Finance,Director,connected to any,7300
PHL,Female,Finance,Manager,connected to big companies,390
PHL,Female,Finance,Manager,connected to any,15000
PHL,Female,Finance,Senior,connected to big companies,1300
PHL,Female,Finance,Senior,connected to any,59000
PHL,Female,Finance,Entry,connected to big companies,540
PHL,Female,Finance,Entry,connected to any,73000
PHL,Female,Finance,Training,connected to big companies,0
PHL,Female,Finance,Training,connected to any,1600
PHL,Female,Finance,Unpaid,connected to big companies,0
PHL,Female,Finance,Unpaid,connected to any,1400
IND,Any Gender,Finance,Any Job Seniority,connected to big companies,220000
IND,Any Gender,Finance,Any Job Seniority,connected to any,4000000
IND,Any Gender,Finance,Owner,connected to big companies,5900
IND,Any Gender,Finance,Owner,connected to any,81000
IND,Any Gender,Finance,Partner,connected to big companies,3500
IND,Any Gender,Finance,Partner,connected to any,23000
IND,Any Gender,Finance,CXO,connected to big companies,3600
IND,Any Gender,Finance,CXO,connected to any,37000
IND,Any Gender,Finance,VP,connected to big companies,20000
IND,Any Gender,Finance,VP,connected to any,150000
IND,Any Gender,Finance,Director,connected to big companies,15000
IND,Any Gender,Finance,Director,connected to any,130000
IND,Any Gender,Finance,Manager,connected to big companies,28000
IND,Any Gender,Finance,Manager,connected to any,510000
IND,Any Gender,Finance,Senior,connected to big companies,80000
IND,Any Gender,Finance,Senior,connected to any,1300000
IND,Any Gender,Finance,Entry,connected to big companies,41000
IND,Any Gender,Finance,Entry,connected to any,1100000
IND,Any Gender,Finance,Training,connected to big companies,5100
IND,Any Gender,Finance,Training,connected to any,59000
IND,Any Gender,Finance,Unpaid,connected to big companies,0
IND,Any Gender,Finance,Unpaid,connected to any,21000
IND,Male,Finance,Any Job Seniority,connected to big companies,140000
IND,Male,Finance,Any Job Seniority,connected to any,2600000
IND,Male,Finance,Owner,connected to big companies,4500
