Country,Gender,Sector,Job Seniority,Connectivity Status,Count
PHL,Any Gender,IT,Any Job Seniority,connected to big companies,34000
PHL,Any Gender,IT,Any Job Seniority,connected to any,920000
PHL,Any Gender,IT,Owner,connected to big companies,1700
PHL,Any Gender,IT,Owner,connected to any,17000
PHL,Any Gender,IT,Partner,connected to big companies,360
PHL,Any Gender,IT,Partner,connected to any,1700
PHL,Any Gender,IT,CXO,connected to big companies,1400
PHL,Any Gender,IT,CXO,connected to any,9700
PHL,Any Gender,IT,VP,connected to big companies,1200
PHL,Any Gender,IT,VP,connected to any,9000
PHL,Any Gender,IT,Director,connected to big companies,2700
PHL,Any Gender,IT,Director,connected to any,18000
PHL,Any Gender,IT,Manager,connected to big companies,4000
PHL,Any Gender,IT,Manager,connected to any,50000
PHL,Any Gender,IT,Senior,connected to big companies,13000
PHL,Any Gender,IT,Senior,connected to any,240000
PHL,Any Gender,IT,Entry,connected to big companies,8800
PHL,Any Gender,IT,Entry,connected to any,410000
PHL,Any Gender,IT,Training,connected to big companies,0
PHL,Any Gender,IT,Training,connected to any,9700
PHL,Any Gender,IT,Unpaid,connected to big companies,0
PHL,Any Gender,IT,Unpaid,connected to any,15000
PHL,Male,IT,Any Job Seniority,connected to big companies,18000
PHL,Male,IT,Any Job Seniority,connected to any,400000
PHL,Male,IT,Owner,connected to big companies,1000
PHL,Male,IT,Owner,connected to any,8600
PHL,Male,IT,Partner,connected to big companies,0
PHL,Male,IT,Partner,connected to any,1000
PHL,Male,IT,CXO,connected to big companies,970
PHL,Male,IT,CXO,connected to any,5600
PHL,Male,IT,VP,connected to big companies,720
PHL,Male,IT,VP,connected to any,4700
PHL,Male,IT,Director,connected to big companies,1600
PHL,Male,IT,Director,connected to any,8900
PHL,Male,IT,Manager,connected to big companies,2100
PHL,Male,IT,Manager,connected to any,23000
PHL,Male,IT,Senior,connected to big companies,6400
PHL,Male,IT,Senior,connected to any,100000
PHL,Male,IT,Entry,connected to big companies,4500
PHL,Male,IT,Entry,connected to any,170000
PHL,Male,IT,Training,connected to big companies,0
PHL,Male,IT,Training,connected to any,3800
PHL,Male,IT,Unpaid,connected to big companies,0
PHL,Male,IT,Unpaid,connected to any,5500
PHL,Female,IT,Any Job Seniority,connected to big companies,12000
PHL,Female,IT,Any Job Seniority,connected to any,350000
PHL,Female,IT,Owner,connected to big companies,500
PHL,Female,IT,Owner,connected to any,5400
PHL,Female,IT,Partner,connected to big companies,0
PHL,Female,IT,Partner,connected to any,490
PHL,Female,IT,CXO,connected to big companies,0
PHL,Female,IT,CXO,connected to any,2300
PHL,Female,IT,VP,connected to big companies,320
PHL,Female,IT,VP,connected to any,2600
PHL,Female,IT,Director,connected to big companies,880
PHL,Female,IT,Director,connected to any,6200
PHL,Female,IT,Manager,connected to big companies,1400
PHL,Female,IT,Manager,connected to any,18000
PHL,Female,IT,Senior,connected to big companies,4900
PHL,Female,IT,Senior,connected to any,98000
PHL,Female,IT,Entry,connected to big companies,3200
PHL,Female,IT,Entry,connected to any,150000
PHL,Female,IT,Training,connected to big companies,0
PHL,Female,IT,Training,connected to any,3600
PHL,Female,IT,Unpaid,connected to big companies,0
PHL,Female,IT,Unpaid,connected to any,5900
IND,Any Gender,IT,Any Job Seniority,connected to big companies,1200000
IND,Any Gender,IT,Any Job Seniority,connected to any,11000000
IND,Any Gender,IT,Owner,connected to big companies,37000
IND,Any Gender,IT,Owner,connected to any,260000
IND,Any Gender,IT,Partner,connected to big companies,5300
IND,Any Gender,IT,Partner,connected to any,24000
IND,Any Gender,IT,CXO,connected to big companies,23000
IND,Any Gender,IT,CXO,connected to any,110000
IND,Any Gender,IT,VP,connected to big companies,26000
IND,Any Gender,IT,VP,connected to any,230000
IND,Any Gender,IT,Director,connected to big companies,62000
IND,Any Gender,IT,Director,connected to any,240000
IND,Any Gender,IT,Manager,connected to big companies,93000
