0,1,2,3,4,5,6,7,8
IND,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,recently switched jobs,connected to big companies,31000
IND,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,recently switched jobs,connected to any,190000
IND,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,recently relocated,connected to big companies,8200
IND,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,recently relocated,connected to any,62000
IND,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,recently promoted,connected to big companies,11000
IND,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,recently promoted,connected to any,36000
IND,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,any recent status,connected to big companies,340000
IND,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,any recent status,connected to any,3900000
IND,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,recently switched jobs,connected to big companies,530
IND,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,recently switched jobs,connected to any,3300
IND,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,recently relocated,connected to big companies,320
IND,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,recently relocated,connected to any,1300
IND,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,recently promoted,connected to big companies,0
IND,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,recently promoted,connected to any,530
IND,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,any recent status,connected to big companies,8000
IND,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,any recent status,connected to any,72000
IND,Any Gender,Finance,Any Job Seniority,Any Company Size,35 to 54,recently switched jobs,connected to big companies,11000
IND,Any Gender,Finance,Any Job Seniority,Any Company Size,35 to 54,recently switched jobs,connected to any,39000
IND,Any Gender,Finance,Any Job Seniority,Any Company Size,35 to 54,recently relocated,connected to big companies,3900
IND,Any Gender,Finance,Any Job Seniority,Any Company Size,35 to 54,recently relocated,connected to any,14000
IND,Any Gender,Finance,Any Job Seniority,Any Company Size,35 to 54,recently promoted,connected to big companies,3900
