0,1,2,3,4,5,6,7,8
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,recently switched jobs,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,recently switched jobs,connected to any,7900
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,recently relocated,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,recently relocated,connected to any,400
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,recently promoted,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,recently promoted,connected to any,970
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,any recent status,connected to big companies,2100
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,Any Age Range,any recent status,connected to any,150000
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,recently switched jobs,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,recently switched jobs,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,recently relocated,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,recently relocated,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,recently promoted,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,recently promoted,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,any recent status,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,55+,any recent status,connected to any,470
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,35 to 54,recently switched jobs,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,35 to 54,recently switched jobs,connected to any,1100
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,35 to 54,recently relocated,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,35 to 54,recently relocated,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,35 to 54,recently promoted,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,35 to 54,recently promoted,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,35 to 54,any recent status,connected to big companies,850
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,35 to 54,any recent status,connected to any,18000
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,25 to 34,recently switched jobs,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,25 to 34,recently switched jobs,connected to any,5100
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,25 to 34,recently relocated,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,25 to 34,recently relocated,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,25 to 34,recently promoted,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,25 to 34,recently promoted,connected to any,630
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,25 to 34,any recent status,connected to big companies,1000
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,25 to 34,any recent status,connected to any,99000
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,18 to 24,recently switched jobs,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,18 to 24,recently switched jobs,connected to any,1700
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,18 to 24,recently relocated,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,18 to 24,recently relocated,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,18 to 24,recently promoted,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,18 to 24,recently promoted,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,18 to 24,any recent status,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,Any Company Size,18 to 24,any recent status,connected to any,33000
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",Any Age Range,recently switched jobs,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",Any Age Range,recently switched jobs,connected to any,2000
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",Any Age Range,recently relocated,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",Any Age Range,recently relocated,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",Any Age Range,recently promoted,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",Any Age Range,recently promoted,connected to any,320
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",Any Age Range,any recent status,connected to big companies,630
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",Any Age Range,any recent status,connected to any,38000
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",55+,recently switched jobs,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",55+,recently switched jobs,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",55+,recently relocated,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",55+,recently relocated,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",55+,recently promoted,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",55+,recently promoted,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",55+,any recent status,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",55+,any recent status,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",35 to 54,recently switched jobs,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",35 to 54,recently switched jobs,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",35 to 54,recently relocated,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",35 to 54,recently relocated,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",35 to 54,recently promoted,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",35 to 54,recently promoted,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",35 to 54,any recent status,connected to big companies,320
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",35 to 54,any recent status,connected to any,5100
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",25 to 34,recently switched jobs,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",25 to 34,recently switched jobs,connected to any,1300
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",25 to 34,recently relocated,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",25 to 34,recently relocated,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",25 to 34,recently promoted,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",25 to 34,recently promoted,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",25 to 34,any recent status,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",25 to 34,any recent status,connected to any,24000
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",18 to 24,recently switched jobs,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",18 to 24,recently switched jobs,connected to any,430
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",18 to 24,recently relocated,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",18 to 24,recently relocated,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",18 to 24,recently promoted,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",18 to 24,recently promoted,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",18 to 24,any recent status,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"10,001+ employees",18 to 24,any recent status,connected to any,9300
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",Any Age Range,recently switched jobs,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",Any Age Range,recently switched jobs,connected to any,1300
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",Any Age Range,recently relocated,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",Any Age Range,recently relocated,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",Any Age Range,recently promoted,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",Any Age Range,recently promoted,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",Any Age Range,any recent status,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",Any Age Range,any recent status,connected to any,8800
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",55+,recently switched jobs,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",55+,recently switched jobs,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",55+,recently relocated,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",55+,recently relocated,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",55+,recently promoted,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",55+,recently promoted,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",55+,any recent status,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",55+,any recent status,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",35 to 54,recently switched jobs,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",35 to 54,recently switched jobs,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",35 to 54,recently relocated,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",35 to 54,recently relocated,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",35 to 54,recently promoted,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",35 to 54,recently promoted,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",35 to 54,any recent status,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",35 to 54,any recent status,connected to any,1300
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",25 to 34,recently switched jobs,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",25 to 34,recently switched jobs,connected to any,840
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",25 to 34,recently relocated,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",25 to 34,recently relocated,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",25 to 34,recently promoted,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",25 to 34,recently promoted,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",25 to 34,any recent status,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",25 to 34,any recent status,connected to any,5900
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",18 to 24,recently switched jobs,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",18 to 24,recently switched jobs,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",18 to 24,recently relocated,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",18 to 24,recently relocated,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",18 to 24,recently promoted,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",18 to 24,recently promoted,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",18 to 24,any recent status,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,"5001-10,000 employees",18 to 24,any recent status,connected to any,1600
VNM,Any Gender,Finance,Any Job Seniority,1001-5000 employees,Any Age Range,recently switched jobs,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,1001-5000 employees,Any Age Range,recently switched jobs,connected to any,910
VNM,Any Gender,Finance,Any Job Seniority,1001-5000 employees,Any Age Range,recently relocated,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,1001-5000 employees,Any Age Range,recently relocated,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,1001-5000 employees,Any Age Range,recently promoted,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,1001-5000 employees,Any Age Range,recently promoted,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,1001-5000 employees,Any Age Range,any recent status,connected to big companies,300
VNM,Any Gender,Finance,Any Job Seniority,1001-5000 employees,Any Age Range,any recent status,connected to any,16000
VNM,Any Gender,Finance,Any Job Seniority,1001-5000 employees,55+,recently switched jobs,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,1001-5000 employees,55+,recently switched jobs,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,1001-5000 employees,55+,recently relocated,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,1001-5000 employees,55+,recently relocated,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,1001-5000 employees,55+,recently promoted,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,1001-5000 employees,55+,recently promoted,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,1001-5000 employees,55+,any recent status,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,1001-5000 employees,55+,any recent status,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,1001-5000 employees,35 to 54,recently switched jobs,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,1001-5000 employees,35 to 54,recently switched jobs,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,1001-5000 employees,35 to 54,recently relocated,connected to big companies,0
VNM,Any Gender,Finance,Any Job Seniority,1001-5000 employees,35 to 54,recently relocated,connected to any,0
VNM,Any Gender,Finance,Any Job Seniority,1001-5000 employees,35 to 54,recently promoted,connected to big companies,0
