,Country,Gender,Company Industry,Age Range,Job seniority,Company Size,Count
3110,GBR,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,Any Company Size,31000000
3111,GBR,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,"10,001+ employees",3900000
3112,GBR,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,"5001-10,000 employees",1000000
3113,GBR,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,1001-5000 employees,2300000
3114,GBR,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,501-1000 employees,880000
3115,GBR,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,201-500 employees,1200000
3116,GBR,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,51-200 employees,1800000
3117,GBR,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,11-50 employees,2000000
3118,GBR,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,2-10 employees,1700000
3119,GBR,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,Myself Only,320000
3120,GBR,Any Gender,Any Company Industry,Any Age Range,Owner,Any Company Size,1100000
3121,GBR,Any Gender,Any Company Industry,Any Age Range,Owner,"10,001+ employees",37000
3122,GBR,Any Gender,Any Company Industry,Any Age Range,Owner,"5001-10,000 employees",12000
3123,GBR,Any Gender,Any Company Industry,Any Age Range,Owner,1001-5000 employees,33000
3124,GBR,Any Gender,Any Company Industry,Any Age Range,Owner,501-1000 employees,16000
3125,GBR,Any Gender,Any Company Industry,Any Age Range,Owner,201-500 employees,26000
3126,GBR,Any Gender,Any Company Industry,Any Age Range,Owner,51-200 employees,52000
3127,GBR,Any Gender,Any Company Industry,Any Age Range,Owner,11-50 employees,120000
3128,GBR,Any Gender,Any Company Industry,Any Age Range,Owner,2-10 employees,240000
3129,GBR,Any Gender,Any Company Industry,Any Age Range,Owner,Myself Only,39000
3130,GBR,Any Gender,Any Company Industry,Any Age Range,Partner,Any Company Size,220000
3131,GBR,Any Gender,Any Company Industry,Any Age Range,Partner,"10,001+ employees",22000
3132,GBR,Any Gender,Any Company Industry,Any Age Range,Partner,"5001-10,000 employees",8500
3133,GBR,Any Gender,Any Company Industry,Any Age Range,Partner,1001-5000 employees,27000
3134,GBR,Any Gender,Any Company Industry,Any Age Range,Partner,501-1000 employees,13000
3135,GBR,Any Gender,Any Company Industry,Any Age Range,Partner,201-500 employees,19000
3136,GBR,Any Gender,Any Company Industry,Any Age Range,Partner,51-200 employees,34000
3137,GBR,Any Gender,Any Company Industry,Any Age Range,Partner,11-50 employees,51000
3138,GBR,Any Gender,Any Company Industry,Any Age Range,Partner,2-10 employees,55000
3139,GBR,Any Gender,Any Company Industry,Any Age Range,Partner,Myself Only,5800
3140,GBR,Any Gender,Any Company Industry,Any Age Range,CXO,Any Company Size,370000
3141,GBR,Any Gender,Any Company Industry,Any Age Range,CXO,"10,001+ employees",35000
3142,GBR,Any Gender,Any Company Industry,Any Age Range,CXO,"5001-10,000 employees",12000
3143,GBR,Any Gender,Any Company Industry,Any Age Range,CXO,1001-5000 employees,31000
