,Country,Gender,Company Industry,Age Range,Job seniority,Company Size,Count
830,USA,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,Any Company Size,180000000
831,USA,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,"10,001+ employees",25000000
832,USA,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,"5001-10,000 employees",5200000
833,USA,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,1001-5000 employees,12000000
834,USA,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,501-1000 employees,5200000
835,USA,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,201-500 employees,6800000
836,USA,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,51-200 employees,9400000
837,USA,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,11-50 employees,11000000
838,USA,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,2-10 employees,11000000
839,USA,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,Myself Only,1400000
840,USA,Any Gender,Any Company Industry,Any Age Range,Owner,Any Company Size,8500000
841,USA,Any Gender,Any Company Industry,Any Age Range,Owner,"10,001+ employees",380000
842,USA,Any Gender,Any Company Industry,Any Age Range,Owner,"5001-10,000 employees",97000
843,USA,Any Gender,Any Company Industry,Any Age Range,Owner,1001-5000 employees,250000
844,USA,Any Gender,Any Company Industry,Any Age Range,Owner,501-1000 employees,140000
845,USA,Any Gender,Any Company Industry,Any Age Range,Owner,201-500 employees,220000
846,USA,Any Gender,Any Company Industry,Any Age Range,Owner,51-200 employees,410000
847,USA,Any Gender,Any Company Industry,Any Age Range,Owner,11-50 employees,1100000
848,USA,Any Gender,Any Company Industry,Any Age Range,Owner,2-10 employees,2000000
849,USA,Any Gender,Any Company Industry,Any Age Range,Owner,Myself Only,190000
850,USA,Any Gender,Any Company Industry,Any Age Range,Partner,Any Company Size,1100000
851,USA,Any Gender,Any Company Industry,Any Age Range,Partner,"10,001+ employees",120000
852,USA,Any Gender,Any Company Industry,Any Age Range,Partner,"5001-10,000 employees",36000
853,USA,Any Gender,Any Company Industry,Any Age Range,Partner,1001-5000 employees,120000
854,USA,Any Gender,Any Company Industry,Any Age Range,Partner,501-1000 employees,62000
855,USA,Any Gender,Any Company Industry,Any Age Range,Partner,201-500 employees,91000
856,USA,Any Gender,Any Company Industry,Any Age Range,Partner,51-200 employees,160000
857,USA,Any Gender,Any Company Industry,Any Age Range,Partner,11-50 employees,260000
858,USA,Any Gender,Any Company Industry,Any Age Range,Partner,2-10 employees,310000
859,USA,Any Gender,Any Company Industry,Any Age Range,Partner,Myself Only,22000
860,USA,Any Gender,Any Company Industry,Any Age Range,CXO,Any Company Size,4600000
861,USA,Any Gender,Any Company Industry,Any Age Range,CXO,"10,001+ employees",300000
862,USA,Any Gender,Any Company Industry,Any Age Range,CXO,"5001-10,000 employees",77000
863,USA,Any Gender,Any Company Industry,Any Age Range,CXO,1001-5000 employees,210000
864,USA,Any Gender,Any Company Industry,Any Age Range,CXO,501-1000 employees,140000
865,USA,Any Gender,Any Company Industry,Any Age Range,CXO,201-500 employees,210000
866,USA,Any Gender,Any Company Industry,Any Age Range,CXO,51-200 employees,420000
867,USA,Any Gender,Any Company Industry,Any Age Range,CXO,11-50 employees,780000
868,USA,Any Gender,Any Company Industry,Any Age Range,CXO,2-10 employees,1100000
869,USA,Any Gender,Any Company Industry,Any Age Range,CXO,Myself Only,72000
870,USA,Any Gender,Any Company Industry,Any Age Range,VP,Any Company Size,3700000
871,USA,Any Gender,Any Company Industry,Any Age Range,VP,"10,001+ employees",820000
872,USA,Any Gender,Any Company Industry,Any Age Range,VP,"5001-10,000 employees",160000
873,USA,Any Gender,Any Company Industry,Any Age Range,VP,1001-5000 employees,410000
874,USA,Any Gender,Any Company Industry,Any Age Range,VP,501-1000 employees,200000
875,USA,Any Gender,Any Company Industry,Any Age Range,VP,201-500 employees,280000
876,USA,Any Gender,Any Company Industry,Any Age Range,VP,51-200 employees,450000
877,USA,Any Gender,Any Company Industry,Any Age Range,VP,11-50 employees,560000
878,USA,Any Gender,Any Company Industry,Any Age Range,VP,2-10 employees,490000
879,USA,Any Gender,Any Company Industry,Any Age Range,VP,Myself Only,33000
880,USA,Any Gender,Any Company Industry,Any Age Range,Director,Any Company Size,7200000
881,USA,Any Gender,Any Company Industry,Any Age Range,Director,"10,001+ employees",1500000
882,USA,Any Gender,Any Company Industry,Any Age Range,Director,"5001-10,000 employees",370000
883,USA,Any Gender,Any Company Industry,Any Age Range,Director,1001-5000 employees,910000
884,USA,Any Gender,Any Company Industry,Any Age Range,Director,501-1000 employees,440000
885,USA,Any Gender,Any Company Industry,Any Age Range,Director,201-500 employees,600000
886,USA,Any Gender,Any Company Industry,Any Age Range,Director,51-200 employees,930000
887,USA,Any Gender,Any Company Industry,Any Age Range,Director,11-50 employees,1000000
888,USA,Any Gender,Any Company Industry,Any Age Range,Director,2-10 employees,910000
889,USA,Any Gender,Any Company Industry,Any Age Range,Director,Myself Only,88000
890,USA,Any Gender,Any Company Industry,Any Age Range,Manager,Any Company Size,10000000
891,USA,Any Gender,Any Company Industry,Any Age Range,Manager,"10,001+ employees",3100000
892,USA,Any Gender,Any Company Industry,Any Age Range,Manager,"5001-10,000 employees",600000
893,USA,Any Gender,Any Company Industry,Any Age Range,Manager,1001-5000 employees,1300000
894,USA,Any Gender,Any Company Industry,Any Age Range,Manager,501-1000 employees,570000
895,USA,Any Gender,Any Company Industry,Any Age Range,Manager,201-500 employees,720000
896,USA,Any Gender,Any Company Industry,Any Age Range,Manager,51-200 employees,960000
897,USA,Any Gender,Any Company Industry,Any Age Range,Manager,11-50 employees,1000000
898,USA,Any Gender,Any Company Industry,Any Age Range,Manager,2-10 employees,890000
899,USA,Any Gender,Any Company Industry,Any Age Range,Manager,Myself Only,89000
900,USA,Any Gender,Any Company Industry,Any Age Range,Senior,Any Company Size,28000000
901,USA,Any Gender,Any Company Industry,Any Age Range,Senior,"10,001+ employees",7800000
902,USA,Any Gender,Any Company Industry,Any Age Range,Senior,"5001-10,000 employees",1800000
903,USA,Any Gender,Any Company Industry,Any Age Range,Senior,1001-5000 employees,3800000
904,USA,Any Gender,Any Company Industry,Any Age Range,Senior,501-1000 employees,1600000
905,USA,Any Gender,Any Company Industry,Any Age Range,Senior,201-500 employees,2000000
906,USA,Any Gender,Any Company Industry,Any Age Range,Senior,51-200 employees,2600000
907,USA,Any Gender,Any Company Industry,Any Age Range,Senior,11-50 employees,2700000
908,USA,Any Gender,Any Company Industry,Any Age Range,Senior,2-10 employees,2400000
909,USA,Any Gender,Any Company Industry,Any Age Range,Senior,Myself Only,290000
910,USA,Any Gender,Any Company Industry,Any Age Range,Entry,Any Company Size,44000000
911,USA,Any Gender,Any Company Industry,Any Age Range,Entry,"10,001+ employees",11000000
912,USA,Any Gender,Any Company Industry,Any Age Range,Entry,"5001-10,000 employees",2100000
913,USA,Any Gender,Any Company Industry,Any Age Range,Entry,1001-5000 employees,4800000
914,USA,Any Gender,Any Company Industry,Any Age Range,Entry,501-1000 employees,2100000
915,USA,Any Gender,Any Company Industry,Any Age Range,Entry,201-500 employees,2800000
916,USA,Any Gender,Any Company Industry,Any Age Range,Entry,51-200 employees,3800000
917,USA,Any Gender,Any Company Industry,Any Age Range,Entry,11-50 employees,4300000
918,USA,Any Gender,Any Company Industry,Any Age Range,Entry,2-10 employees,3900000
919,USA,Any Gender,Any Company Industry,Any Age Range,Entry,Myself Only,520000
920,USA,Any Gender,Any Company Industry,Any Age Range,Training,Any Company Size,1400000
921,USA,Any Gender,Any Company Industry,Any Age Range,Training,"10,001+ employees",280000
922,USA,Any Gender,Any Company Industry,Any Age Range,Training,"5001-10,000 employees",95000
923,USA,Any Gender,Any Company Industry,Any Age Range,Training,1001-5000 employees,240000
924,USA,Any Gender,Any Company Industry,Any Age Range,Training,501-1000 employees,95000
925,USA,Any Gender,Any Company Industry,Any Age Range,Training,201-500 employees,100000
926,USA,Any Gender,Any Company Industry,Any Age Range,Training,51-200 employees,110000
927,USA,Any Gender,Any Company Industry,Any Age Range,Training,11-50 employees,110000
928,USA,Any Gender,Any Company Industry,Any Age Range,Training,2-10 employees,88000
929,USA,Any Gender,Any Company Industry,Any Age Range,Training,Myself Only,11000
930,USA,Any Gender,Any Company Industry,Any Age Range,Unpaid,Any Company Size,3000000
931,USA,Any Gender,Any Company Industry,Any Age Range,Unpaid,"10,001+ employees",320000
932,USA,Any Gender,Any Company Industry,Any Age Range,Unpaid,"5001-10,000 employees",40000
933,USA,Any Gender,Any Company Industry,Any Age Range,Unpaid,1001-5000 employees,89000
934,USA,Any Gender,Any Company Industry,Any Age Range,Unpaid,501-1000 employees,35000
935,USA,Any Gender,Any Company Industry,Any Age Range,Unpaid,201-500 employees,56000
936,USA,Any Gender,Any Company Industry,Any Age Range,Unpaid,51-200 employees,92000
937,USA,Any Gender,Any Company Industry,Any Age Range,Unpaid,11-50 employees,110000
938,USA,Any Gender,Any Company Industry,Any Age Range,Unpaid,2-10 employees,150000
939,USA,Any Gender,Any Company Industry,Any Age Range,Unpaid,Myself Only,120000
940,USA,Any Gender,Any Company Industry,55+,Any Job Seniority,Any Company Size,9400000
941,USA,Any Gender,Any Company Industry,55+,Any Job Seniority,"10,001+ employees",1600000
942,USA,Any Gender,Any Company Industry,55+,Any Job Seniority,"5001-10,000 employees",370000
943,USA,Any Gender,Any Company Industry,55+,Any Job Seniority,1001-5000 employees,880000
944,USA,Any Gender,Any Company Industry,55+,Any Job Seniority,501-1000 employees,400000
945,USA,Any Gender,Any Company Industry,55+,Any Job Seniority,201-500 employees,530000
946,USA,Any Gender,Any Company Industry,55+,Any Job Seniority,51-200 employees,750000
947,USA,Any Gender,Any Company Industry,55+,Any Job Seniority,11-50 employees,920000
948,USA,Any Gender,Any Company Industry,55+,Any Job Seniority,2-10 employees,1000000
949,USA,Any Gender,Any Company Industry,55+,Any Job Seniority,Myself Only,99000
950,USA,Any Gender,Any Company Industry,55+,Owner,Any Company Size,1100000
951,USA,Any Gender,Any Company Industry,55+,Owner,"10,001+ employees",47000
952,USA,Any Gender,Any Company Industry,55+,Owner,"5001-10,000 employees",14000
953,USA,Any Gender,Any Company Industry,55+,Owner,1001-5000 employees,37000
954,USA,Any Gender,Any Company Industry,55+,Owner,501-1000 employees,23000
955,USA,Any Gender,Any Company Industry,55+,Owner,201-500 employees,35000
956,USA,Any Gender,Any Company Industry,55+,Owner,51-200 employees,64000
957,USA,Any Gender,Any Company Industry,55+,Owner,11-50 employees,160000
958,USA,Any Gender,Any Company Industry,55+,Owner,2-10 employees,290000
959,USA,Any Gender,Any Company Industry,55+,Owner,Myself Only,22000
960,USA,Any Gender,Any Company Industry,55+,Partner,Any Company Size,240000
961,USA,Any Gender,Any Company Industry,55+,Partner,"10,001+ employees",22000
962,USA,Any Gender,Any Company Industry,55+,Partner,"5001-10,000 employees",7800
963,USA,Any Gender,Any Company Industry,55+,Partner,1001-5000 employees,29000
964,USA,Any Gender,Any Company Industry,55+,Partner,501-1000 employees,16000
965,USA,Any Gender,Any Company Industry,55+,Partner,201-500 employees,23000
966,USA,Any Gender,Any Company Industry,55+,Partner,51-200 employees,42000
967,USA,Any Gender,Any Company Industry,55+,Partner,11-50 employees,65000
968,USA,Any Gender,Any Company Industry,55+,Partner,2-10 employees,72000
969,USA,Any Gender,Any Company Industry,55+,Partner,Myself Only,4400
970,USA,Any Gender,Any Company Industry,55+,CXO,Any Company Size,810000
971,USA,Any Gender,Any Company Industry,55+,CXO,"10,001+ employees",47000
972,USA,Any Gender,Any Company Industry,55+,CXO,"5001-10,000 employees",16000
973,USA,Any Gender,Any Company Industry,55+,CXO,1001-5000 employees,45000
974,USA,Any Gender,Any Company Industry,55+,CXO,501-1000 employees,28000
975,USA,Any Gender,Any Company Industry,55+,CXO,201-500 employees,45000
976,USA,Any Gender,Any Company Industry,55+,CXO,51-200 employees,88000
977,USA,Any Gender,Any Company Industry,55+,CXO,11-50 employees,160000
978,USA,Any Gender,Any Company Industry,55+,CXO,2-10 employees,210000
979,USA,Any Gender,Any Company Industry,55+,CXO,Myself Only,12000
980,USA,Any Gender,Any Company Industry,55+,VP,Any Company Size,580000
981,USA,Any Gender,Any Company Industry,55+,VP,"10,001+ employees",120000
982,USA,Any Gender,Any Company Industry,55+,VP,"5001-10,000 employees",27000
983,USA,Any Gender,Any Company Industry,55+,VP,1001-5000 employees,68000
984,USA,Any Gender,Any Company Industry,55+,VP,501-1000 employees,33000
985,USA,Any Gender,Any Company Industry,55+,VP,201-500 employees,47000
986,USA,Any Gender,Any Company Industry,55+,VP,51-200 employees,75000
987,USA,Any Gender,Any Company Industry,55+,VP,11-50 employees,88000
988,USA,Any Gender,Any Company Industry,55+,VP,2-10 employees,79000
989,USA,Any Gender,Any Company Industry,55+,VP,Myself Only,4700
990,USA,Any Gender,Any Company Industry,55+,Director,Any Company Size,940000
991,USA,Any Gender,Any Company Industry,55+,Director,"10,001+ employees",180000
992,USA,Any Gender,Any Company Industry,55+,Director,"5001-10,000 employees",51000
993,USA,Any Gender,Any Company Industry,55+,Director,1001-5000 employees,120000
994,USA,Any Gender,Any Company Industry,55+,Director,501-1000 employees,57000
995,USA,Any Gender,Any Company Industry,55+,Director,201-500 employees,79000
996,USA,Any Gender,Any Company Industry,55+,Director,51-200 employees,120000
997,USA,Any Gender,Any Company Industry,55+,Director,11-50 employees,130000
998,USA,Any Gender,Any Company Industry,55+,Director,2-10 employees,130000
999,USA,Any Gender,Any Company Industry,55+,Director,Myself Only,12000
1000,USA,Any Gender,Any Company Industry,55+,Manager,Any Company Size,810000
1001,USA,Any Gender,Any Company Industry,55+,Manager,"10,001+ employees",230000
1002,USA,Any Gender,Any Company Industry,55+,Manager,"5001-10,000 employees",53000
1003,USA,Any Gender,Any Company Industry,55+,Manager,1001-5000 employees,110000
1004,USA,Any Gender,Any Company Industry,55+,Manager,501-1000 employees,49000
1005,USA,Any Gender,Any Company Industry,55+,Manager,201-500 employees,62000
1006,USA,Any Gender,Any Company Industry,55+,Manager,51-200 employees,80000
1007,USA,Any Gender,Any Company Industry,55+,Manager,11-50 employees,80000
1008,USA,Any Gender,Any Company Industry,55+,Manager,2-10 employees,74000
1009,USA,Any Gender,Any Company Industry,55+,Manager,Myself Only,7500
1010,USA,Any Gender,Any Company Industry,55+,Senior,Any Company Size,2200000
1011,USA,Any Gender,Any Company Industry,55+,Senior,"10,001+ employees",540000
1012,USA,Any Gender,Any Company Industry,55+,Senior,"5001-10,000 employees",130000
1013,USA,Any Gender,Any Company Industry,55+,Senior,1001-5000 employees,290000
1014,USA,Any Gender,Any Company Industry,55+,Senior,501-1000 employees,120000
1015,USA,Any Gender,Any Company Industry,55+,Senior,201-500 employees,160000
1016,USA,Any Gender,Any Company Industry,55+,Senior,51-200 employees,200000
1017,USA,Any Gender,Any Company Industry,55+,Senior,11-50 employees,200000
1018,USA,Any Gender,Any Company Industry,55+,Senior,2-10 employees,190000
1019,USA,Any Gender,Any Company Industry,55+,Senior,Myself Only,25000
1020,USA,Any Gender,Any Company Industry,55+,Entry,Any Company Size,2000000
1021,USA,Any Gender,Any Company Industry,55+,Entry,"10,001+ employees",400000
1022,USA,Any Gender,Any Company Industry,55+,Entry,"5001-10,000 employees",93000
1023,USA,Any Gender,Any Company Industry,55+,Entry,1001-5000 employees,220000
1024,USA,Any Gender,Any Company Industry,55+,Entry,501-1000 employees,96000
1025,USA,Any Gender,Any Company Industry,55+,Entry,201-500 employees,130000
1026,USA,Any Gender,Any Company Industry,55+,Entry,51-200 employees,170000
1027,USA,Any Gender,Any Company Industry,55+,Entry,11-50 employees,180000
1028,USA,Any Gender,Any Company Industry,55+,Entry,2-10 employees,150000
1029,USA,Any Gender,Any Company Industry,55+,Entry,Myself Only,18000
1030,USA,Any Gender,Any Company Industry,55+,Training,Any Company Size,14000
1031,USA,Any Gender,Any Company Industry,55+,Training,"10,001+ employees",1700
1032,USA,Any Gender,Any Company Industry,55+,Training,"5001-10,000 employees",820
1033,USA,Any Gender,Any Company Industry,55+,Training,1001-5000 employees,2700
1034,USA,Any Gender,Any Company Industry,55+,Training,501-1000 employees,1200
1035,USA,Any Gender,Any Company Industry,55+,Training,201-500 employees,1200
1036,USA,Any Gender,Any Company Industry,55+,Training,51-200 employees,960
1037,USA,Any Gender,Any Company Industry,55+,Training,11-50 employees,690
1038,USA,Any Gender,Any Company Industry,55+,Training,2-10 employees,610
1039,USA,Any Gender,Any Company Industry,55+,Training,Myself Only,0
1040,USA,Any Gender,Any Company Industry,55+,Unpaid,Any Company Size,270000
1041,USA,Any Gender,Any Company Industry,55+,Unpaid,"10,001+ employees",32000
1042,USA,Any Gender,Any Company Industry,55+,Unpaid,"5001-10,000 employees",4400
1043,USA,Any Gender,Any Company Industry,55+,Unpaid,1001-5000 employees,8800
1044,USA,Any Gender,Any Company Industry,55+,Unpaid,501-1000 employees,3500
1045,USA,Any Gender,Any Company Industry,55+,Unpaid,201-500 employees,4800
1046,USA,Any Gender,Any Company Industry,55+,Unpaid,51-200 employees,6600
1047,USA,Any Gender,Any Company Industry,55+,Unpaid,11-50 employees,8200
1048,USA,Any Gender,Any Company Industry,55+,Unpaid,2-10 employees,11000
1049,USA,Any Gender,Any Company Industry,55+,Unpaid,Myself Only,7400
1050,USA,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,Any Company Size,39000000
1051,USA,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,"10,001+ employees",8300000
1052,USA,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,"5001-10,000 employees",1900000
1053,USA,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,1001-5000 employees,4200000
1054,USA,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,501-1000 employees,1800000
1055,USA,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,201-500 employees,2400000
1056,USA,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,51-200 employees,3300000
1057,USA,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,11-50 employees,3600000
1058,USA,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,2-10 employees,3500000
1059,USA,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,Myself Only,350000
1060,USA,Any Gender,Any Company Industry,35 to 54,Owner,Any Company Size,3500000
1061,USA,Any Gender,Any Company Industry,35 to 54,Owner,"10,001+ employees",180000
1062,USA,Any Gender,Any Company Industry,35 to 54,Owner,"5001-10,000 employees",49000
1063,USA,Any Gender,Any Company Industry,35 to 54,Owner,1001-5000 employees,130000
1064,USA,Any Gender,Any Company Industry,35 to 54,Owner,501-1000 employees,72000
1065,USA,Any Gender,Any Company Industry,35 to 54,Owner,201-500 employees,110000
