0,1,2,3,4,5,6
Finance,USA,Male,55+,Owner,"10,001+ employees",6100
Finance,USA,Male,55+,Owner,"5001-10,000 employees",1400
Finance,USA,Male,55+,Owner,1001-5000 employees,3300
Finance,USA,Male,55+,Owner,501-1000 employees,1900
Finance,USA,Male,55+,Owner,201-500 employees,3100
Finance,USA,Male,55+,Owner,51-200 employees,5800
Finance,USA,Male,55+,Owner,11-50 employees,12000
Finance,USA,Male,55+,Owner,2-10 employees,20000
Finance,USA,Male,55+,Owner,Myself Only,1200
Finance,USA,Male,55+,Partner,"10,001+ employees",3300
Finance,USA,Male,55+,Partner,"5001-10,000 employees",1200
Finance,USA,Male,55+,Partner,1001-5000 employees,3200
Finance,USA,Male,55+,Partner,501-1000 employees,2100
Finance,USA,Male,55+,Partner,201-500 employees,3500
Finance,USA,Male,55+,Partner,51-200 employees,6800
Finance,USA,Male,55+,Partner,11-50 employees,11000
Finance,USA,Male,55+,Partner,2-10 employees,12000
Finance,USA,Male,55+,Partner,Myself Only,620
Finance,USA,Male,55+,CXO,"10,001+ employees",5300
Finance,USA,Male,55+,CXO,"5001-10,000 employees",1800
Finance,USA,Male,55+,CXO,1001-5000 employees,5300
Finance,USA,Male,55+,CXO,501-1000 employees,3300
Finance,USA,Male,55+,CXO,201-500 employees,5700
Finance,USA,Male,55+,CXO,51-200 employees,11000
Finance,USA,Male,55+,CXO,11-50 employees,18000
Finance,USA,Male,55+,CXO,2-10 employees,22000
Finance,USA,Male,55+,CXO,Myself Only,1100
Finance,USA,Male,55+,VP,"10,001+ employees",37000
Finance,USA,Male,55+,VP,"5001-10,000 employees",6200
Finance,USA,Male,55+,VP,1001-5000 employees,14000
Finance,USA,Male,55+,VP,501-1000 employees,6400
Finance,USA,Male,55+,VP,201-500 employees,8300
Finance,USA,Male,55+,VP,51-200 employees,12000
Finance,USA,Male,55+,VP,11-50 employees,12000
Finance,USA,Male,55+,VP,2-10 employees,8800
Finance,USA,Male,55+,VP,Myself Only,570
Finance,USA,Male,55+,Director,"10,001+ employees",15000
Finance,USA,Male,55+,Director,"5001-10,000 employees",3800
Finance,USA,Male,55+,Director,1001-5000 employees,7900
Finance,USA,Male,55+,Director,501-1000 employees,3500
Finance,USA,Male,55+,Director,201-500 employees,4600
Finance,USA,Male,55+,Director,51-200 employees,7200
Finance,USA,Male,55+,Director,11-50 employees,8900
Finance,USA,Male,55+,Director,2-10 employees,9100
Finance,USA,Male,55+,Director,Myself Only,660
Finance,USA,Male,55+,Manager,"10,001+ employees",13000
Finance,USA,Male,55+,Manager,"5001-10,000 employees",3400
Finance,USA,Male,55+,Manager,1001-5000 employees,6800
Finance,USA,Male,55+,Manager,501-1000 employees,2800
Finance,USA,Male,55+,Manager,201-500 employees,3400
Finance,USA,Male,55+,Manager,51-200 employees,4500
Finance,USA,Male,55+,Manager,11-50 employees,4900
Finance,USA,Male,55+,Manager,2-10 employees,5100
Finance,USA,Male,55+,Manager,Myself Only,370
Finance,USA,Male,55+,Senior,"10,001+ employees",36000
Finance,USA,Male,55+,Senior,"5001-10,000 employees",11000
Finance,USA,Male,55+,Senior,1001-5000 employees,17000
Finance,USA,Male,55+,Senior,501-1000 employees,6600
Finance,USA,Male,55+,Senior,201-500 employees,7800
Finance,USA,Male,55+,Senior,51-200 employees,10000
Finance,USA,Male,55+,Senior,11-50 employees,9800
Finance,USA,Male,55+,Senior,2-10 employees,11000
Finance,USA,Male,55+,Senior,Myself Only,960
