Country,Gender,Job seniority,Employer,Count
US,Male,Owner,Google,1100
US,Male,Owner,Netflix,0
US,Male,Owner,Apple,1800
US,Male,Owner,Amazon,2400
US,Male,Owner,Facebook,540
US,Male,Partner,Google,690
US,Male,Partner,Netflix,0
US,Male,Partner,Apple,340
US,Male,Partner,Amazon,440
US,Male,Partner,Facebook,0
US,Male,CXO,Google,570
US,Male,CXO,Netflix,0
US,Male,CXO,Apple,1900
US,Male,CXO,Amazon,1400
US,Male,CXO,Facebook,0
US,Male,VP,Google,600
US,Male,VP,Netflix,0
US,Male,VP,Apple,830
US,Male,VP,Amazon,1400
US,Male,VP,Facebook,0
US,Male,Director,Google,3400
US,Male,Director,Netflix,600
US,Male,Director,Apple,2500
US,Male,Director,Amazon,4000
US,Male,Director,Facebook,1600
US,Male,Manager,Google,6200
US,Male,Manager,Netflix,740
US,Male,Manager,Apple,11000
US,Male,Manager,Amazon,22000
US,Male,Manager,Facebook,4000
US,Male,Senior,Google,15000
US,Male,Senior,Netflix,1900
US,Male,Senior,Apple,26000
US,Male,Senior,Amazon,28000
US,Male,Senior,Facebook,5700
US,Male,Entry,Google,21000
US,Male,Entry,Netflix,960
US,Male,Entry,Apple,31000
US,Male,Entry,Amazon,76000
US,Male,Entry,Facebook,12000
US,Male,Training,Google,310
US,Male,Training,Netflix,0
US,Male,Training,Apple,530
US,Male,Training,Amazon,1300
US,Male,Training,Facebook,0
US,Male,Unpaid,Google,0
US,Male,Unpaid,Netflix,0
US,Male,Unpaid,Apple,0
US,Male,Unpaid,Amazon,1100
US,Male,Unpaid,Facebook,0
US,Female,Owner,Google,560
US,Female,Owner,Netflix,0
US,Female,Owner,Apple,680
US,Female,Owner,Amazon,1400
US,Female,Owner,Facebook,0
US,Female,Partner,Google,410
US,Female,Partner,Netflix,0
US,Female,Partner,Apple,0
US,Female,Partner,Amazon,0
US,Female,Partner,Facebook,0
US,Female,CXO,Google,0
US,Female,CXO,Netflix,0
US,Female,CXO,Apple,550
US,Female,CXO,Amazon,630
US,Female,CXO,Facebook,0
US,Female,VP,Google,0
US,Female,VP,Netflix,0
US,Female,VP,Apple,440
US,Female,VP,Amazon,860
US,Female,VP,Facebook,0
US,Female,Director,Google,2200
US,Female,Director,Netflix,460
US,Female,Director,Apple,1100
US,Female,Director,Amazon,2400
US,Female,Director,Facebook,1100
US,Female,Manager,Google,4300
US,Female,Manager,Netflix,770
US,Female,Manager,Apple,5500
US,Female,Manager,Amazon,13000
US,Female,Manager,Facebook,2600
US,Female,Senior,Google,9600
US,Female,Senior,Netflix,1600
US,Female,Senior,Apple,14000
US,Female,Senior,Amazon,21000
US,Female,Senior,Facebook,5300
US,Female,Entry,Google,9800
US,Female,Entry,Netflix,1100
US,Female,Entry,Apple,17000
US,Female,Entry,Amazon,53000
US,Female,Entry,Facebook,6100
US,Female,Training,Google,0
US,Female,Training,Netflix,0
US,Female,Training,Apple,300
US,Female,Training,Amazon,660
US,Female,Training,Facebook,0
US,Female,Unpaid,Google,0
US,Female,Unpaid,Netflix,0
US,Female,Unpaid,Apple,0
US,Female,Unpaid,Amazon,1000
US,Female,Unpaid,Facebook,0
