,Country,Sector,Company Size,Seniority,Rank
0,USA,IT,Any Company Size,Entry,1.0
1,USA,IT,Any Company Size,Senior,2.0
2,USA,IT,Any Company Size,Manager,4.0
3,USA,IT,Any Company Size,Director,3.0
4,USA,IT,"10,001+ employees",Entry,2.0
5,USA,IT,"10,001+ employees",Senior,1.0
6,USA,IT,"10,001+ employees",Manager,4.0
7,USA,IT,"10,001+ employees",Director,3.0
8,USA,IT,"5001-10,000 employees",Entry,2.0
9,USA,IT,"5001-10,000 employees",Senior,1.0
10,USA,IT,"5001-10,000 employees",Manager,4.0
11,USA,IT,"5001-10,000 employees",Director,3.0
12,USA,IT,1001-5000 employees,Entry,1.0
13,USA,IT,1001-5000 employees,Senior,2.0
14,USA,IT,1001-5000 employees,Manager,4.0
15,USA,IT,1001-5000 employees,Director,3.0
16,USA,IT,501-1000 employees,Entry,1.0
17,USA,IT,501-1000 employees,Senior,2.0
18,USA,IT,501-1000 employees,Manager,4.0
19,USA,IT,501-1000 employees,Director,3.0
20,USA,IT,201-500 employees,Entry,1.0
21,USA,IT,201-500 employees,Senior,2.0
22,USA,IT,201-500 employees,Manager,4.0
23,USA,IT,201-500 employees,Director,3.0
24,USA,IT,51-200 employees,Entry,1.0
25,USA,IT,51-200 employees,Senior,2.0
26,USA,IT,51-200 employees,Manager,4.0
27,USA,IT,51-200 employees,Director,3.0
28,USA,IT,11-50 employees,Entry,1.0
29,USA,IT,11-50 employees,Senior,2.0
30,USA,IT,11-50 employees,Manager,4.0
31,USA,IT,11-50 employees,Director,3.0
32,USA,IT,2-10 employees,Entry,1.0
33,USA,IT,2-10 employees,Senior,2.0
34,USA,IT,2-10 employees,Manager,3.0
35,USA,IT,2-10 employees,Director,4.0
36,USA,IT,Myself Only,Entry,1.0
37,USA,IT,Myself Only,Senior,2.0
38,USA,IT,Myself Only,Manager,3.0
39,USA,IT,Myself Only,Director,4.0
40,USA,Finance,Any Company Size,Entry,1.0
41,USA,Finance,Any Company Size,Senior,2.0
42,USA,Finance,Any Company Size,Manager,3.0
43,USA,Finance,Any Company Size,Director,4.0
44,USA,Finance,"10,001+ employees",Entry,1.0
45,USA,Finance,"10,001+ employees",Senior,2.0
46,USA,Finance,"10,001+ employees",Manager,3.0
47,USA,Finance,"10,001+ employees",Director,4.0
48,USA,Finance,"5001-10,000 employees",Entry,1.0
49,USA,Finance,"5001-10,000 employees",Senior,2.0
50,USA,Finance,"5001-10,000 employees",Manager,3.0
51,USA,Finance,"5001-10,000 employees",Director,4.0
52,USA,Finance,1001-5000 employees,Entry,1.0
53,USA,Finance,1001-5000 employees,Senior,2.0
54,USA,Finance,1001-5000 employees,Manager,3.0
55,USA,Finance,1001-5000 employees,Director,4.0
56,USA,Finance,501-1000 employees,Entry,1.0
57,USA,Finance,501-1000 employees,Senior,2.0
58,USA,Finance,501-1000 employees,Manager,3.0
59,USA,Finance,501-1000 employees,Director,4.0
60,USA,Finance,201-500 employees,Entry,1.0
61,USA,Finance,201-500 employees,Senior,2.0
62,USA,Finance,201-500 employees,Manager,3.0
63,USA,Finance,201-500 employees,Director,4.0
64,USA,Finance,51-200 employees,Entry,1.0
65,USA,Finance,51-200 employees,Senior,2.0
66,USA,Finance,51-200 employees,Manager,3.0
67,USA,Finance,51-200 employees,Director,4.0
68,USA,Finance,11-50 employees,Entry,1.0
69,USA,Finance,11-50 employees,Senior,2.0
70,USA,Finance,11-50 employees,Manager,3.0
71,USA,Finance,11-50 employees,Director,4.0
72,USA,Finance,2-10 employees,Entry,1.0
73,USA,Finance,2-10 employees,Senior,2.0
74,USA,Finance,2-10 employees,Manager,3.0
75,USA,Finance,2-10 employees,Director,4.0
76,GBR,IT,Any Company Size,Entry,2.0
77,GBR,IT,Any Company Size,Senior,1.0
78,GBR,IT,Any Company Size,Manager,4.0
79,GBR,IT,Any Company Size,Director,3.0
80,GBR,IT,"10,001+ employees",Entry,3.0
81,GBR,IT,"10,001+ employees",Senior,1.0
82,GBR,IT,"10,001+ employees",Manager,4.0
83,GBR,IT,"10,001+ employees",Director,2.0
84,GBR,IT,"5001-10,000 employees",Entry,1.0
85,GBR,IT,"5001-10,000 employees",Senior,2.0
86,GBR,IT,"5001-10,000 employees",Manager,4.0
87,GBR,IT,"5001-10,000 employees",Director,3.0
88,GBR,IT,1001-5000 employees,Entry,3.0
89,GBR,IT,1001-5000 employees,Senior,1.0
90,GBR,IT,1001-5000 employees,Manager,4.0
91,GBR,IT,1001-5000 employees,Director,2.0
92,GBR,IT,501-1000 employees,Entry,2.0
93,GBR,IT,501-1000 employees,Senior,1.0
94,GBR,IT,501-1000 employees,Manager,4.0
95,GBR,IT,501-1000 employees,Director,3.0
96,GBR,IT,201-500 employees,Entry,2.0
97,GBR,IT,201-500 employees,Senior,3.0
98,GBR,IT,201-500 employees,Manager,4.0
99,GBR,IT,201-500 employees,Director,1.0
100,GBR,IT,51-200 employees,Entry,2.0
101,GBR,IT,51-200 employees,Senior,1.0
102,GBR,IT,51-200 employees,Manager,4.0
103,GBR,IT,51-200 employees,Director,3.0
104,GBR,IT,11-50 employees,Entry,1.0
105,GBR,IT,11-50 employees,Senior,2.0
106,GBR,IT,11-50 employees,Manager,3.0
107,GBR,IT,11-50 employees,Director,4.0
108,GBR,IT,2-10 employees,Entry,1.0
109,GBR,IT,2-10 employees,Senior,2.0
110,GBR,IT,2-10 employees,Manager,4.0
111,GBR,IT,2-10 employees,Director,3.0
112,GBR,Finance,Any Company Size,Entry,1.0
113,GBR,Finance,Any Company Size,Senior,2.0
114,GBR,Finance,Any Company Size,Manager,3.0
115,GBR,Finance,Any Company Size,Director,4.0
116,GBR,Finance,"10,001+ employees",Entry,1.0
117,GBR,Finance,"10,001+ employees",Senior,2.0
118,GBR,Finance,"10,001+ employees",Manager,3.0
119,GBR,Finance,"10,001+ employees",Director,4.0
120,GBR,Finance,"5001-10,000 employees",Entry,1.0
121,GBR,Finance,"5001-10,000 employees",Senior,2.0
122,GBR,Finance,"5001-10,000 employees",Manager,3.0
123,GBR,Finance,"5001-10,000 employees",Director,4.0
124,GBR,Finance,1001-5000 employees,Entry,1.0
125,GBR,Finance,1001-5000 employees,Senior,2.0
126,GBR,Finance,1001-5000 employees,Manager,4.0
127,GBR,Finance,1001-5000 employees,Director,3.0
128,GBR,Finance,501-1000 employees,Entry,1.0
129,GBR,Finance,501-1000 employees,Senior,2.0
130,GBR,Finance,501-1000 employees,Manager,3.0
131,GBR,Finance,501-1000 employees,Director,4.0
132,GBR,Finance,201-500 employees,Entry,1.0
133,GBR,Finance,201-500 employees,Senior,2.0
134,GBR,Finance,201-500 employees,Manager,3.0
135,GBR,Finance,201-500 employees,Director,4.0
136,GBR,Finance,51-200 employees,Entry,1.0
137,GBR,Finance,51-200 employees,Senior,2.0
138,GBR,Finance,51-200 employees,Manager,3.0
139,GBR,Finance,51-200 employees,Director,4.0
140,GBR,Finance,11-50 employees,Entry,1.0
141,GBR,Finance,11-50 employees,Senior,2.0
142,GBR,Finance,11-50 employees,Manager,3.0
143,GBR,Finance,11-50 employees,Director,4.0
144,GBR,Finance,2-10 employees,Entry,2.0
145,GBR,Finance,2-10 employees,Senior,1.0
146,GBR,Finance,2-10 employees,Manager,3.0
147,GBR,Finance,2-10 employees,Director,4.0
148,VNM,IT,Any Company Size,Entry,2.0
149,VNM,IT,Any Company Size,Senior,4.0
150,VNM,IT,Any Company Size,Manager,3.0
151,VNM,IT,Any Company Size,Director,1.0
152,IND,IT,Any Company Size,Entry,2.0
153,IND,IT,Any Company Size,Senior,1.0
154,IND,IT,Any Company Size,Manager,4.0
155,IND,IT,Any Company Size,Director,3.0
156,IND,IT,"10,001+ employees",Entry,2.0
157,IND,IT,"10,001+ employees",Senior,1.0
158,IND,IT,"10,001+ employees",Manager,4.0
159,IND,IT,"10,001+ employees",Director,3.0
160,IND,IT,"5001-10,000 employees",Entry,3.0
161,IND,IT,"5001-10,000 employees",Senior,1.0
162,IND,IT,"5001-10,000 employees",Manager,4.0
163,IND,IT,"5001-10,000 employees",Director,2.0
164,IND,IT,1001-5000 employees,Entry,2.0
165,IND,IT,1001-5000 employees,Senior,1.0
166,IND,IT,1001-5000 employees,Manager,4.0
167,IND,IT,1001-5000 employees,Director,3.0
168,IND,IT,501-1000 employees,Entry,2.0
169,IND,IT,501-1000 employees,Senior,1.0
170,IND,IT,501-1000 employees,Manager,4.0
171,IND,IT,501-1000 employees,Director,3.0
172,IND,IT,201-500 employees,Entry,2.0
173,IND,IT,201-500 employees,Senior,1.0
174,IND,IT,201-500 employees,Manager,4.0
175,IND,IT,201-500 employees,Director,3.0
176,IND,IT,51-200 employees,Entry,2.0
177,IND,IT,51-200 employees,Senior,1.0
178,IND,IT,51-200 employees,Manager,4.0
179,IND,IT,51-200 employees,Director,3.0
180,IND,IT,11-50 employees,Entry,1.0
181,IND,IT,11-50 employees,Senior,2.0
182,IND,IT,11-50 employees,Manager,4.0
183,IND,IT,11-50 employees,Director,3.0
184,IND,IT,2-10 employees,Entry,2.0
185,IND,IT,2-10 employees,Senior,3.0
186,IND,IT,2-10 employees,Manager,4.0
187,IND,IT,2-10 employees,Director,1.0
188,IND,Finance,Any Company Size,Entry,3.0
189,IND,Finance,Any Company Size,Senior,1.0
190,IND,Finance,Any Company Size,Manager,4.0
191,IND,Finance,Any Company Size,Director,2.0
192,IND,Finance,"10,001+ employees",Entry,4.0
193,IND,Finance,"10,001+ employees",Senior,1.0
194,IND,Finance,"10,001+ employees",Manager,2.0
195,IND,Finance,"10,001+ employees",Director,3.0
196,IND,Finance,1001-5000 employees,Entry,4.0
197,IND,Finance,1001-5000 employees,Senior,1.0
198,IND,Finance,1001-5000 employees,Manager,3.0
199,IND,Finance,1001-5000 employees,Director,2.0
200,IND,Finance,51-200 employees,Entry,2.0
201,IND,Finance,51-200 employees,Senior,1.0
202,IND,Finance,51-200 employees,Manager,4.0
203,IND,Finance,51-200 employees,Director,3.0
204,IND,Finance,11-50 employees,Entry,3.0
205,IND,Finance,11-50 employees,Senior,2.0
206,IND,Finance,11-50 employees,Manager,4.0
207,IND,Finance,11-50 employees,Director,1.0
208,PHL,IT,Any Company Size,Entry,3.0
209,PHL,IT,Any Company Size,Senior,2.0
210,PHL,IT,Any Company Size,Manager,4.0
211,PHL,IT,Any Company Size,Director,1.0
212,PHL,Finance,Any Company Size,Entry,4.0
213,PHL,Finance,Any Company Size,Senior,3.0
214,PHL,Finance,Any Company Size,Manager,2.0
215,PHL,Finance,Any Company Size,Director,1.0
216,PHL,Finance,"10,001+ employees",Entry,4.0
217,PHL,Finance,"10,001+ employees",Senior,3.0
218,PHL,Finance,"10,001+ employees",Manager,1.0
219,PHL,Finance,"10,001+ employees",Director,2.0
