,Country,Sector,Company Size,Seniority,Rank
0,USA,IT,Any Company Size,Unpaid,1.0
1,USA,IT,Any Company Size,Training,11.0
2,USA,IT,Any Company Size,Entry,2.0
3,USA,IT,Any Company Size,Senior,3.0
4,USA,IT,Any Company Size,Manager,9.0
5,USA,IT,Any Company Size,Director,7.0
6,USA,IT,Any Company Size,VP,8.0
7,USA,IT,Any Company Size,CXO,6.0
8,USA,IT,Any Company Size,Partner,10.0
9,USA,IT,Any Company Size,Owner,5.0
10,USA,IT,Any Company Size,Any Job Seniority,4.0
11,USA,Finance,Any Company Size,Unpaid,2.0
12,USA,Finance,Any Company Size,Training,9.0
13,USA,Finance,Any Company Size,Entry,1.0
14,USA,Finance,Any Company Size,Senior,3.0
15,USA,Finance,Any Company Size,Manager,5.0
16,USA,Finance,Any Company Size,Director,7.0
17,USA,Finance,Any Company Size,VP,10.0
18,USA,Finance,Any Company Size,CXO,11.0
19,USA,Finance,Any Company Size,Partner,8.0
20,USA,Finance,Any Company Size,Owner,6.0
21,USA,Finance,Any Company Size,Any Job Seniority,4.0
22,USA,IT,"10,001+ employees",Unpaid,1.0
23,USA,IT,"10,001+ employees",Training,9.0
24,USA,IT,"10,001+ employees",Entry,4.0
25,USA,IT,"10,001+ employees",Senior,2.0
26,USA,IT,"10,001+ employees",Manager,11.0
27,USA,IT,"10,001+ employees",Director,8.0
28,USA,IT,"10,001+ employees",VP,6.0
29,USA,IT,"10,001+ employees",CXO,7.0
30,USA,IT,"10,001+ employees",Partner,10.0
31,USA,IT,"10,001+ employees",Owner,5.0
32,USA,IT,"10,001+ employees",Any Job Seniority,3.0
33,USA,Finance,"10,001+ employees",Unpaid,5.0
34,USA,Finance,"10,001+ employees",Training,9.0
35,USA,Finance,"10,001+ employees",Entry,1.0
36,USA,Finance,"10,001+ employees",Senior,3.0
37,USA,Finance,"10,001+ employees",Manager,4.0
38,USA,Finance,"10,001+ employees",Director,7.0
39,USA,Finance,"10,001+ employees",VP,10.0
40,USA,Finance,"10,001+ employees",CXO,11.0
41,USA,Finance,"10,001+ employees",Partner,6.0
42,USA,Finance,"10,001+ employees",Owner,8.0
43,USA,Finance,"10,001+ employees",Any Job Seniority,2.0
44,USA,IT,1001-5000 employees,Unpaid,11.0
45,USA,IT,1001-5000 employees,Training,10.0
46,USA,IT,1001-5000 employees,Entry,2.0
47,USA,IT,1001-5000 employees,Senior,4.0
