,Country,Gender,Company Industry,Age Range,Job seniority,Company Size,Count
0,IND,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,Any Company Size,77000000
1,IND,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,"10,001+ employees",8600000
2,IND,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,"5001-10,000 employees",1500000
3,IND,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,1001-5000 employees,3300000
4,IND,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,501-1000 employees,1600000
5,IND,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,201-500 employees,2200000
6,IND,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,51-200 employees,3100000
7,IND,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,11-50 employees,3000000
8,IND,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,2-10 employees,2000000
9,IND,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,Myself Only,550000
10,IND,Any Gender,Any Company Industry,Any Age Range,Owner,Any Company Size,1700000
11,IND,Any Gender,Any Company Industry,Any Age Range,Owner,"10,001+ employees",48000
12,IND,Any Gender,Any Company Industry,Any Age Range,Owner,"5001-10,000 employees",9900
13,IND,Any Gender,Any Company Industry,Any Age Range,Owner,1001-5000 employees,27000
14,IND,Any Gender,Any Company Industry,Any Age Range,Owner,501-1000 employees,20000
15,IND,Any Gender,Any Company Industry,Any Age Range,Owner,201-500 employees,50000
16,IND,Any Gender,Any Company Industry,Any Age Range,Owner,51-200 employees,110000
17,IND,Any Gender,Any Company Industry,Any Age Range,Owner,11-50 employees,190000
18,IND,Any Gender,Any Company Industry,Any Age Range,Owner,2-10 employees,210000
19,IND,Any Gender,Any Company Industry,Any Age Range,Owner,Myself Only,23000
20,IND,Any Gender,Any Company Industry,Any Age Range,Partner,Any Company Size,230000
21,IND,Any Gender,Any Company Industry,Any Age Range,Partner,"10,001+ employees",9300
22,IND,Any Gender,Any Company Industry,Any Age Range,Partner,"5001-10,000 employees",2900
23,IND,Any Gender,Any Company Industry,Any Age Range,Partner,1001-5000 employees,6200
24,IND,Any Gender,Any Company Industry,Any Age Range,Partner,501-1000 employees,4900
25,IND,Any Gender,Any Company Industry,Any Age Range,Partner,201-500 employees,10000
26,IND,Any Gender,Any Company Industry,Any Age Range,Partner,51-200 employees,20000
27,IND,Any Gender,Any Company Industry,Any Age Range,Partner,11-50 employees,33000
28,IND,Any Gender,Any Company Industry,Any Age Range,Partner,2-10 employees,28000
29,IND,Any Gender,Any Company Industry,Any Age Range,Partner,Myself Only,2200
30,IND,Any Gender,Any Company Industry,Any Age Range,CXO,Any Company Size,500000
31,IND,Any Gender,Any Company Industry,Any Age Range,CXO,"10,001+ employees",39000
32,IND,Any Gender,Any Company Industry,Any Age Range,CXO,"5001-10,000 employees",8800
33,IND,Any Gender,Any Company Industry,Any Age Range,CXO,1001-5000 employees,22000
34,IND,Any Gender,Any Company Industry,Any Age Range,CXO,501-1000 employees,13000
35,IND,Any Gender,Any Company Industry,Any Age Range,CXO,201-500 employees,25000
36,IND,Any Gender,Any Company Industry,Any Age Range,CXO,51-200 employees,45000
37,IND,Any Gender,Any Company Industry,Any Age Range,CXO,11-50 employees,73000
38,IND,Any Gender,Any Company Industry,Any Age Range,CXO,2-10 employees,57000
39,IND,Any Gender,Any Company Industry,Any Age Range,CXO,Myself Only,4800
40,IND,Any Gender,Any Company Industry,Any Age Range,VP,Any Company Size,1400000
41,IND,Any Gender,Any Company Industry,Any Age Range,VP,"10,001+ employees",260000
42,IND,Any Gender,Any Company Industry,Any Age Range,VP,"5001-10,000 employees",57000
43,IND,Any Gender,Any Company Industry,Any Age Range,VP,1001-5000 employees,130000
44,IND,Any Gender,Any Company Industry,Any Age Range,VP,501-1000 employees,61000
45,IND,Any Gender,Any Company Industry,Any Age Range,VP,201-500 employees,81000
46,IND,Any Gender,Any Company Industry,Any Age Range,VP,51-200 employees,110000
47,IND,Any Gender,Any Company Industry,Any Age Range,VP,11-50 employees,120000
48,IND,Any Gender,Any Company Industry,Any Age Range,VP,2-10 employees,75000
49,IND,Any Gender,Any Company Industry,Any Age Range,VP,Myself Only,11000
50,IND,Any Gender,Any Company Industry,Any Age Range,Director,Any Company Size,1500000
51,IND,Any Gender,Any Company Industry,Any Age Range,Director,"10,001+ employees",220000
52,IND,Any Gender,Any Company Industry,Any Age Range,Director,"5001-10,000 employees",52000
