,Country,Gender,Company Industry,Age Range,Job seniority,Company Size,Count
0,VNM,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,Any Company Size,3900000
1,VNM,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,"10,001+ employees",240000
2,VNM,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,"5001-10,000 employees",52000
3,VNM,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,1001-5000 employees,130000
4,VNM,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,501-1000 employees,83000
5,VNM,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,201-500 employees,93000
6,VNM,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,51-200 employees,130000
7,VNM,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,11-50 employees,140000
8,VNM,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,2-10 employees,99000
9,VNM,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,Myself Only,19000
10,VNM,Any Gender,Any Company Industry,Any Age Range,Owner,Any Company Size,43000
11,VNM,Any Gender,Any Company Industry,Any Age Range,Owner,"10,001+ employees",4200
12,VNM,Any Gender,Any Company Industry,Any Age Range,Owner,"5001-10,000 employees",540
13,VNM,Any Gender,Any Company Industry,Any Age Range,Owner,1001-5000 employees,1900
14,VNM,Any Gender,Any Company Industry,Any Age Range,Owner,501-1000 employees,860
15,VNM,Any Gender,Any Company Industry,Any Age Range,Owner,201-500 employees,1500
16,VNM,Any Gender,Any Company Industry,Any Age Range,Owner,51-200 employees,2600
17,VNM,Any Gender,Any Company Industry,Any Age Range,Owner,11-50 employees,4900
18,VNM,Any Gender,Any Company Industry,Any Age Range,Owner,2-10 employees,4400
19,VNM,Any Gender,Any Company Industry,Any Age Range,Owner,Myself Only,500
20,VNM,Any Gender,Any Company Industry,Any Age Range,Partner,Any Company Size,4600
21,VNM,Any Gender,Any Company Industry,Any Age Range,Partner,"10,001+ employees",570
22,VNM,Any Gender,Any Company Industry,Any Age Range,Partner,"5001-10,000 employees",0
23,VNM,Any Gender,Any Company Industry,Any Age Range,Partner,1001-5000 employees,390
24,VNM,Any Gender,Any Company Industry,Any Age Range,Partner,501-1000 employees,0
25,VNM,Any Gender,Any Company Industry,Any Age Range,Partner,201-500 employees,330
26,VNM,Any Gender,Any Company Industry,Any Age Range,Partner,51-200 employees,540
27,VNM,Any Gender,Any Company Industry,Any Age Range,Partner,11-50 employees,860
28,VNM,Any Gender,Any Company Industry,Any Age Range,Partner,2-10 employees,590
29,VNM,Any Gender,Any Company Industry,Any Age Range,Partner,Myself Only,0
30,VNM,Any Gender,Any Company Industry,Any Age Range,CXO,Any Company Size,40000
31,VNM,Any Gender,Any Company Industry,Any Age Range,CXO,"10,001+ employees",2700
32,VNM,Any Gender,Any Company Industry,Any Age Range,CXO,"5001-10,000 employees",570
33,VNM,Any Gender,Any Company Industry,Any Age Range,CXO,1001-5000 employees,1700
34,VNM,Any Gender,Any Company Industry,Any Age Range,CXO,501-1000 employees,1100
35,VNM,Any Gender,Any Company Industry,Any Age Range,CXO,201-500 employees,1900
36,VNM,Any Gender,Any Company Industry,Any Age Range,CXO,51-200 employees,3100
37,VNM,Any Gender,Any Company Industry,Any Age Range,CXO,11-50 employees,5000
38,VNM,Any Gender,Any Company Industry,Any Age Range,CXO,2-10 employees,3200
39,VNM,Any Gender,Any Company Industry,Any Age Range,CXO,Myself Only,0
40,VNM,Any Gender,Any Company Industry,Any Age Range,VP,Any Company Size,29000
41,VNM,Any Gender,Any Company Industry,Any Age Range,VP,"10,001+ employees",5100
42,VNM,Any Gender,Any Company Industry,Any Age Range,VP,"5001-10,000 employees",840
43,VNM,Any Gender,Any Company Industry,Any Age Range,VP,1001-5000 employees,1900
44,VNM,Any Gender,Any Company Industry,Any Age Range,VP,501-1000 employees,980
45,VNM,Any Gender,Any Company Industry,Any Age Range,VP,201-500 employees,1400
46,VNM,Any Gender,Any Company Industry,Any Age Range,VP,51-200 employees,2000
47,VNM,Any Gender,Any Company Industry,Any Age Range,VP,11-50 employees,2700
48,VNM,Any Gender,Any Company Industry,Any Age Range,VP,2-10 employees,1700
49,VNM,Any Gender,Any Company Industry,Any Age Range,VP,Myself Only,0
50,VNM,Any Gender,Any Company Industry,Any Age Range,Director,Any Company Size,83000
51,VNM,Any Gender,Any Company Industry,Any Age Range,Director,"10,001+ employees",11000
52,VNM,Any Gender,Any Company Industry,Any Age Range,Director,"5001-10,000 employees",2900
53,VNM,Any Gender,Any Company Industry,Any Age Range,Director,1001-5000 employees,6200
54,VNM,Any Gender,Any Company Industry,Any Age Range,Director,501-1000 employees,3800
55,VNM,Any Gender,Any Company Industry,Any Age Range,Director,201-500 employees,4600
56,VNM,Any Gender,Any Company Industry,Any Age Range,Director,51-200 employees,6500
57,VNM,Any Gender,Any Company Industry,Any Age Range,Director,11-50 employees,7200
58,VNM,Any Gender,Any Company Industry,Any Age Range,Director,2-10 employees,4600
59,VNM,Any Gender,Any Company Industry,Any Age Range,Director,Myself Only,500
60,VNM,Any Gender,Any Company Industry,Any Age Range,Manager,Any Company Size,130000
61,VNM,Any Gender,Any Company Industry,Any Age Range,Manager,"10,001+ employees",22000
62,VNM,Any Gender,Any Company Industry,Any Age Range,Manager,"5001-10,000 employees",5400
63,VNM,Any Gender,Any Company Industry,Any Age Range,Manager,1001-5000 employees,12000
64,VNM,Any Gender,Any Company Industry,Any Age Range,Manager,501-1000 employees,6300
65,VNM,Any Gender,Any Company Industry,Any Age Range,Manager,201-500 employees,6800
66,VNM,Any Gender,Any Company Industry,Any Age Range,Manager,51-200 employees,8800
67,VNM,Any Gender,Any Company Industry,Any Age Range,Manager,11-50 employees,9000
68,VNM,Any Gender,Any Company Industry,Any Age Range,Manager,2-10 employees,6200
69,VNM,Any Gender,Any Company Industry,Any Age Range,Manager,Myself Only,830
70,VNM,Any Gender,Any Company Industry,Any Age Range,Senior,Any Company Size,410000
71,VNM,Any Gender,Any Company Industry,Any Age Range,Senior,"10,001+ employees",63000
72,VNM,Any Gender,Any Company Industry,Any Age Range,Senior,"5001-10,000 employees",15000
73,VNM,Any Gender,Any Company Industry,Any Age Range,Senior,1001-5000 employees,36000
74,VNM,Any Gender,Any Company Industry,Any Age Range,Senior,501-1000 employees,22000
