,Unnamed: 0,Country,Gender,Sector,Job Seniority,Company Size,Age Ranges,Connectivity Status,Count
0,0,PHL,Any Gender,IT,Any Job Seniority,Any Company Size,Any Age Range,connected to big companies,44000
1,1,PHL,Any Gender,IT,Any Job Seniority,Any Company Size,Any Age Range,connected to any,920000
2,2,PHL,Any Gender,IT,Any Job Seniority,Any Company Size,55+,connected to big companies,1500
3,3,PHL,Any Gender,IT,Any Job Seniority,Any Company Size,55+,connected to any,8800
4,4,PHL,Any Gender,IT,Any Job Seniority,Any Company Size,35 to 54,connected to big companies,21000
5,5,PHL,Any Gender,IT,Any Job Seniority,Any Company Size,35 to 54,connected to any,160000
6,6,PHL,Any Gender,IT,Any Job Seniority,Any Company Size,25 to 34,connected to big companies,19000
7,7,PHL,Any Gender,IT,Any Job Seniority,Any Company Size,25 to 34,connected to any,590000
8,8,PHL,Any Gender,IT,Any Job Seniority,Any Company Size,18 to 24,connected to big companies,1800
9,9,PHL,Any Gender,IT,Any Job Seniority,Any Company Size,18 to 24,connected to any,140000
10,10,PHL,Any Gender,IT,Any Job Seniority,"10,001+ employees",Any Age Range,connected to big companies,14000
11,11,PHL,Any Gender,IT,Any Job Seniority,"10,001+ employees",Any Age Range,connected to any,230000
12,12,PHL,Any Gender,IT,Any Job Seniority,"10,001+ employees",55+,connected to big companies,350
13,13,PHL,Any Gender,IT,Any Job Seniority,"10,001+ employees",55+,connected to any,1700
14,14,PHL,Any Gender,IT,Any Job Seniority,"10,001+ employees",35 to 54,connected to big companies,7300
15,15,PHL,Any Gender,IT,Any Job Seniority,"10,001+ employees",35 to 54,connected to any,49000
16,16,PHL,Any Gender,IT,Any Job Seniority,"10,001+ employees",25 to 34,connected to big companies,5700
17,17,PHL,Any Gender,IT,Any Job Seniority,"10,001+ employees",25 to 34,connected to any,140000
18,18,PHL,Any Gender,IT,Any Job Seniority,"10,001+ employees",18 to 24,connected to big companies,400
19,19,PHL,Any Gender,IT,Any Job Seniority,"10,001+ employees",18 to 24,connected to any,37000
20,20,PHL,Any Gender,IT,Any Job Seniority,"5001-10,000 employees",Any Age Range,connected to big companies,3600
21,21,PHL,Any Gender,IT,Any Job Seniority,"5001-10,000 employees",Any Age Range,connected to any,44000
22,22,PHL,Any Gender,IT,Any Job Seniority,"5001-10,000 employees",55+,connected to big companies,0
23,23,PHL,Any Gender,IT,Any Job Seniority,"5001-10,000 employees",55+,connected to any,490
24,24,PHL,Any Gender,IT,Any Job Seniority,"5001-10,000 employees",35 to 54,connected to big companies,1900
25,25,PHL,Any Gender,IT,Any Job Seniority,"5001-10,000 employees",35 to 54,connected to any,11000
26,26,PHL,Any Gender,IT,Any Job Seniority,"5001-10,000 employees",25 to 34,connected to big companies,1500
27,27,PHL,Any Gender,IT,Any Job Seniority,"5001-10,000 employees",25 to 34,connected to any,26000
28,28,PHL,Any Gender,IT,Any Job Seniority,"5001-10,000 employees",18 to 24,connected to big companies,0
29,29,PHL,Any Gender,IT,Any Job Seniority,"5001-10,000 employees",18 to 24,connected to any,5300
30,30,PHL,Any Gender,IT,Any Job Seniority,1001-5000 employees,Any Age Range,connected to big companies,3900
31,31,PHL,Any Gender,IT,Any Job Seniority,1001-5000 employees,Any Age Range,connected to any,51000
32,32,PHL,Any Gender,IT,Any Job Seniority,1001-5000 employees,55+,connected to big companies,0
33,33,PHL,Any Gender,IT,Any Job Seniority,1001-5000 employees,55+,connected to any,440
34,34,PHL,Any Gender,IT,Any Job Seniority,1001-5000 employees,35 to 54,connected to big companies,1900
35,35,PHL,Any Gender,IT,Any Job Seniority,1001-5000 employees,35 to 54,connected to any,11000
36,36,PHL,Any Gender,IT,Any Job Seniority,1001-5000 employees,25 to 34,connected to big companies,1700
37,37,PHL,Any Gender,IT,Any Job Seniority,1001-5000 employees,25 to 34,connected to any,33000
38,38,PHL,Any Gender,IT,Any Job Seniority,1001-5000 employees,18 to 24,connected to big companies,0
39,39,PHL,Any Gender,IT,Any Job Seniority,1001-5000 employees,18 to 24,connected to any,6400
40,40,PHL,Any Gender,IT,Any Job Seniority,501-1000 employees,Any Age Range,connected to big companies,3900
41,41,PHL,Any Gender,IT,Any Job Seniority,501-1000 employees,Any Age Range,connected to any,45000
