,Country,Sector,Job Seniority,Company Size,Age Ranges,Any_Gender_any,Male_any,Female_any,Any_Gender_with,Male_with,Female_with
0,USA,IT,Any Job Seniority,Any Company Size,Any Age Range,12000000.0,7200000.0,4100000.0,2900000.0,1900000.0,860000.0
1,USA,IT,Any Job Seniority,Any Company Size,18 to 24,1300000.0,700000.0,430000.0,210000.0,120000.0,69000.0
2,USA,IT,Any Job Seniority,Any Company Size,25 to 34,5700000.0,3100000.0,2100000.0,980000.0,580000.0,320000.0
3,USA,IT,Any Job Seniority,Any Company Size,35 to 54,4500000.0,2900000.0,1400000.0,1500000.0,1000000.0,410000.0
4,USA,IT,Any Job Seniority,Any Company Size,55+,920000.0,670000.0,220000.0,290000.0,220000.0,53000.0
5,USA,IT,Owner,Any Company Size,Any Age Range,730000.0,510000.0,170000.0,190000.0,140000.0,38000.0
6,USA,IT,Owner,Any Company Size,18 to 24,36000.0,21000.0,9500.0,9100.0,5800.0,2600.0
7,USA,IT,Owner,Any Company Size,25 to 34,250000.0,160000.0,61000.0,43000.0,30000.0,10000.0
8,USA,IT,Owner,Any Company Size,35 to 54,350000.0,250000.0,78000.0,110000.0,83000.0,21000.0
9,USA,IT,Owner,Any Company Size,55+,95000.0,75000.0,18000.0,29000.0,24000.0,4300.0
10,USA,IT,Partner,Any Company Size,Any Age Range,120000.0,91000.0,26000.0,70000.0,53000.0,14000.0
11,USA,IT,Partner,Any Company Size,18 to 24,4900.0,2900.0,1600.0,2200.0,1300.0,740.0
12,USA,IT,Partner,Any Company Size,25 to 34,23000.0,15000.0,6100.0,9800.0,6700.0,2600.0
13,USA,IT,Partner,Any Company Size,35 to 54,67000.0,51000.0,14000.0,42000.0,32000.0,8400.0
14,USA,IT,Partner,Any Company Size,55+,26000.0,22000.0,4100.0,15000.0,13000.0,2100.0
15,USA,IT,CXO,Any Company Size,Any Age Range,530000.0,390000.0,92000.0,180000.0,150000.0,30000.0
16,USA,IT,CXO,Any Company Size,18 to 24,24000.0,15000.0,5700.0,6100.0,3800.0,1800.0
17,USA,IT,CXO,Any Company Size,25 to 34,150000.0,110000.0,31000.0,26000.0,19000.0,5400.0
18,USA,IT,CXO,Any Company Size,35 to 54,250000.0,200000.0,44000.0,110000.0,89000.0,18000.0
19,USA,IT,CXO,Any Company Size,55+,90000.0,76000.0,12000.0,39000.0,34000.0,4500.0
20,USA,IT,VP,Any Company Size,Any Age Range,360000.0,260000.0,84000.0,160000.0,120000.0,35000.0
21,USA,IT,VP,Any Company Size,18 to 24,15000.0,8100.0,5100.0,3600.0,1900.0,1400.0
22,USA,IT,VP,Any Company Size,25 to 34,80000.0,51000.0,22000.0,16000.0,11000.0,4700.0
23,USA,IT,VP,Any Company Size,35 to 54,210000.0,150000.0,48000.0,110000.0,82000.0,25000.0
24,USA,IT,VP,Any Company Size,55+,58000.0,47000.0,9300.0,29000.0,24000.0,4200.0
25,USA,IT,Director,Any Company Size,Any Age Range,720000.0,460000.0,220000.0,350000.0,240000.0,100000.0
26,USA,IT,Director,Any Company Size,18 to 24,30000.0,16000.0,10000.0,9300.0,5100.0,3700.0
27,USA,IT,Director,Any Company Size,25 to 34,170000.0,100000.0,60000.0,59000.0,35000.0,21000.0
28,USA,IT,Director,Any Company Size,35 to 54,420000.0,280000.0,130000.0,240000.0,160000.0,67000.0
29,USA,IT,Director,Any Company Size,55+,91000.0,69000.0,19000.0,45000.0,35000.0,8200.0
30,USA,IT,Manager,Any Company Size,Any Age Range,1000000.0,600000.0,340000.0,340000.0,210000.0,110000.0
31,USA,IT,Manager,Any Company Size,18 to 24,64000.0,33000.0,23000.0,11000.0,6000.0,4500.0
32,USA,IT,Manager,Any Company Size,25 to 34,380000.0,220000.0,140000.0,93000.0,51000.0,37000.0
33,USA,IT,Manager,Any Company Size,35 to 54,470000.0,290000.0,160000.0,200000.0,130000.0,64000.0
34,USA,IT,Manager,Any Company Size,55+,77000.0,56000.0,19000.0,28000.0,21000.0,6200.0
35,USA,IT,Senior,Any Company Size,Any Age Range,3300000.0,1900000.0,1200000.0,1100000.0,670000.0,320000.0
36,USA,IT,Senior,Any Company Size,18 to 24,250000.0,120000.0,93000.0,50000.0,27000.0,19000.0
37,USA,IT,Senior,Any Company Size,25 to 34,1400000.0,760000.0,550000.0,370000.0,220000.0,130000.0
38,USA,IT,Senior,Any Company Size,35 to 54,1400000.0,890000.0,480000.0,550000.0,370000.0,150000.0
39,USA,IT,Senior,Any Company Size,55+,250000.0,170000.0,65000.0,84000.0,64000.0,17000.0
40,USA,IT,Entry,Any Company Size,Any Age Range,3800000.0,2100000.0,1400000.0,600000.0,380000.0,180000.0
41,USA,IT,Entry,Any Company Size,18 to 24,550000.0,290000.0,190000.0,70000.0,42000.0,22000.0
42,USA,IT,Entry,Any Company Size,25 to 34,2100000.0,1100000.0,810000.0,300000.0,180000.0,92000.0
43,USA,IT,Entry,Any Company Size,35 to 54,1000000.0,600000.0,340000.0,210000.0,140000.0,56000.0
44,USA,IT,Entry,Any Company Size,55+,150000.0,98000.0,45000.0,27000.0,21000.0,6000.0
45,USA,IT,Training,Any Company Size,Any Age Range,83000.0,44000.0,28000.0,19000.0,10000.0,6400.0
46,USA,IT,Training,Any Company Size,18 to 24,32000.0,17000.0,10000.0,9400.0,5200.0,3100.0
47,USA,IT,Training,Any Company Size,25 to 34,44000.0,23000.0,15000.0,8100.0,4200.0,2900.0
48,USA,IT,Training,Any Company Size,35 to 54,6200.0,3300.0,2300.0,1100.0,610.0,390.0
49,USA,IT,Training,Any Company Size,55+,620.0,380.0,0.0,0.0,0.0,0.0
50,USA,IT,Unpaid,Any Company Size,Any Age Range,330000.0,180000.0,130000.0,9900.0,7500.0,2100.0
51,USA,IT,Unpaid,Any Company Size,18 to 24,21000.0,11000.0,7300.0,0.0,0.0,0.0
52,USA,IT,Unpaid,Any Company Size,25 to 34,240000.0,120000.0,110000.0,640.0,420.0,0.0
53,USA,IT,Unpaid,Any Company Size,35 to 54,35000.0,22000.0,12000.0,3900.0,2800.0,1000.0
54,USA,IT,Unpaid,Any Company Size,55+,29000.0,21000.0,6800.0,5200.0,4200.0,880.0
55,USA,IT,Any Job Seniority,"10,001+ employees",Any Age Range,3100000.0,1800000.0,1100000.0,950000.0,600000.0,280000.0
56,USA,IT,Any Job Seniority,"10,001+ employees",18 to 24,340000.0,170000.0,120000.0,57000.0,32000.0,20000.0
57,USA,IT,Any Job Seniority,"10,001+ employees",25 to 34,1300000.0,700000.0,470000.0,290000.0,160000.0,97000.0
