,Country,Gender,Company Industry,Age Range,Job seniority,Company Size,Count
0,PHL,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,Any Company Size,10000000
1,PHL,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,"10,001+ employees",910000
2,PHL,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,"5001-10,000 employees",180000
3,PHL,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,1001-5000 employees,380000
4,PHL,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,501-1000 employees,230000
5,PHL,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,201-500 employees,260000
6,PHL,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,51-200 employees,330000
7,PHL,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,11-50 employees,340000
8,PHL,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,2-10 employees,250000
9,PHL,Any Gender,Any Company Industry,Any Age Range,Any Job Seniority,Myself Only,73000
10,PHL,Any Gender,Any Company Industry,Any Age Range,Owner,Any Company Size,150000
11,PHL,Any Gender,Any Company Industry,Any Age Range,Owner,"10,001+ employees",6900
12,PHL,Any Gender,Any Company Industry,Any Age Range,Owner,"5001-10,000 employees",1400
13,PHL,Any Gender,Any Company Industry,Any Age Range,Owner,1001-5000 employees,3200
14,PHL,Any Gender,Any Company Industry,Any Age Range,Owner,501-1000 employees,3300
15,PHL,Any Gender,Any Company Industry,Any Age Range,Owner,201-500 employees,3100
16,PHL,Any Gender,Any Company Industry,Any Age Range,Owner,51-200 employees,5500
17,PHL,Any Gender,Any Company Industry,Any Age Range,Owner,11-50 employees,9900
18,PHL,Any Gender,Any Company Industry,Any Age Range,Owner,2-10 employees,13000
19,PHL,Any Gender,Any Company Industry,Any Age Range,Owner,Myself Only,2900
20,PHL,Any Gender,Any Company Industry,Any Age Range,Partner,Any Company Size,15000
21,PHL,Any Gender,Any Company Industry,Any Age Range,Partner,"10,001+ employees",1200
22,PHL,Any Gender,Any Company Industry,Any Age Range,Partner,"5001-10,000 employees",540
23,PHL,Any Gender,Any Company Industry,Any Age Range,Partner,1001-5000 employees,860
24,PHL,Any Gender,Any Company Industry,Any Age Range,Partner,501-1000 employees,770
25,PHL,Any Gender,Any Company Industry,Any Age Range,Partner,201-500 employees,870
26,PHL,Any Gender,Any Company Industry,Any Age Range,Partner,51-200 employees,1400
27,PHL,Any Gender,Any Company Industry,Any Age Range,Partner,11-50 employees,2100
28,PHL,Any Gender,Any Company Industry,Any Age Range,Partner,2-10 employees,1800
29,PHL,Any Gender,Any Company Industry,Any Age Range,Partner,Myself Only,0
30,PHL,Any Gender,Any Company Industry,Any Age Range,CXO,Any Company Size,76000
31,PHL,Any Gender,Any Company Industry,Any Age Range,CXO,"10,001+ employees",6500
32,PHL,Any Gender,Any Company Industry,Any Age Range,CXO,"5001-10,000 employees",1400
33,PHL,Any Gender,Any Company Industry,Any Age Range,CXO,1001-5000 employees,3100
34,PHL,Any Gender,Any Company Industry,Any Age Range,CXO,501-1000 employees,2400
35,PHL,Any Gender,Any Company Industry,Any Age Range,CXO,201-500 employees,3100
36,PHL,Any Gender,Any Company Industry,Any Age Range,CXO,51-200 employees,5200
37,PHL,Any Gender,Any Company Industry,Any Age Range,CXO,11-50 employees,7900
38,PHL,Any Gender,Any Company Industry,Any Age Range,CXO,2-10 employees,6700
39,PHL,Any Gender,Any Company Industry,Any Age Range,CXO,Myself Only,590
40,PHL,Any Gender,Any Company Industry,Any Age Range,VP,Any Company Size,81000
41,PHL,Any Gender,Any Company Industry,Any Age Range,VP,"10,001+ employees",11000
42,PHL,Any Gender,Any Company Industry,Any Age Range,VP,"5001-10,000 employees",2000
43,PHL,Any Gender,Any Company Industry,Any Age Range,VP,1001-5000 employees,4900
44,PHL,Any Gender,Any Company Industry,Any Age Range,VP,501-1000 employees,3200
45,PHL,Any Gender,Any Company Industry,Any Age Range,VP,201-500 employees,3700
46,PHL,Any Gender,Any Company Industry,Any Age Range,VP,51-200 employees,5600
47,PHL,Any Gender,Any Company Industry,Any Age Range,VP,11-50 employees,7100
48,PHL,Any Gender,Any Company Industry,Any Age Range,VP,2-10 employees,5100
49,PHL,Any Gender,Any Company Industry,Any Age Range,VP,Myself Only,440
50,PHL,Any Gender,Any Company Industry,Any Age Range,Director,Any Company Size,160000
51,PHL,Any Gender,Any Company Industry,Any Age Range,Director,"10,001+ employees",25000
52,PHL,Any Gender,Any Company Industry,Any Age Range,Director,"5001-10,000 employees",7600
53,PHL,Any Gender,Any Company Industry,Any Age Range,Director,1001-5000 employees,15000
54,PHL,Any Gender,Any Company Industry,Any Age Range,Director,501-1000 employees,9100
55,PHL,Any Gender,Any Company Industry,Any Age Range,Director,201-500 employees,10000
56,PHL,Any Gender,Any Company Industry,Any Age Range,Director,51-200 employees,13000
57,PHL,Any Gender,Any Company Industry,Any Age Range,Director,11-50 employees,13000
58,PHL,Any Gender,Any Company Industry,Any Age Range,Director,2-10 employees,8800
59,PHL,Any Gender,Any Company Industry,Any Age Range,Director,Myself Only,1000
60,PHL,Any Gender,Any Company Industry,Any Age Range,Manager,Any Company Size,390000
61,PHL,Any Gender,Any Company Industry,Any Age Range,Manager,"10,001+ employees",72000
62,PHL,Any Gender,Any Company Industry,Any Age Range,Manager,"5001-10,000 employees",18000
63,PHL,Any Gender,Any Company Industry,Any Age Range,Manager,1001-5000 employees,34000
64,PHL,Any Gender,Any Company Industry,Any Age Range,Manager,501-1000 employees,20000
65,PHL,Any Gender,Any Company Industry,Any Age Range,Manager,201-500 employees,21000
66,PHL,Any Gender,Any Company Industry,Any Age Range,Manager,51-200 employees,25000
67,PHL,Any Gender,Any Company Industry,Any Age Range,Manager,11-50 employees,25000
68,PHL,Any Gender,Any Company Industry,Any Age Range,Manager,2-10 employees,17000
69,PHL,Any Gender,Any Company Industry,Any Age Range,Manager,Myself Only,2500
70,PHL,Any Gender,Any Company Industry,Any Age Range,Senior,Any Company Size,1300000
71,PHL,Any Gender,Any Company Industry,Any Age Range,Senior,"10,001+ employees",300000
72,PHL,Any Gender,Any Company Industry,Any Age Range,Senior,"5001-10,000 employees",51000
73,PHL,Any Gender,Any Company Industry,Any Age Range,Senior,1001-5000 employees,120000
74,PHL,Any Gender,Any Company Industry,Any Age Range,Senior,501-1000 employees,75000
75,PHL,Any Gender,Any Company Industry,Any Age Range,Senior,201-500 employees,77000
76,PHL,Any Gender,Any Company Industry,Any Age Range,Senior,51-200 employees,93000
77,PHL,Any Gender,Any Company Industry,Any Age Range,Senior,11-50 employees,82000
78,PHL,Any Gender,Any Company Industry,Any Age Range,Senior,2-10 employees,53000
79,PHL,Any Gender,Any Company Industry,Any Age Range,Senior,Myself Only,11000
80,PHL,Any Gender,Any Company Industry,Any Age Range,Entry,Any Company Size,2900000
81,PHL,Any Gender,Any Company Industry,Any Age Range,Entry,"10,001+ employees",450000
82,PHL,Any Gender,Any Company Industry,Any Age Range,Entry,"5001-10,000 employees",89000
83,PHL,Any Gender,Any Company Industry,Any Age Range,Entry,1001-5000 employees,180000
84,PHL,Any Gender,Any Company Industry,Any Age Range,Entry,501-1000 employees,110000
85,PHL,Any Gender,Any Company Industry,Any Age Range,Entry,201-500 employees,130000
86,PHL,Any Gender,Any Company Industry,Any Age Range,Entry,51-200 employees,170000
87,PHL,Any Gender,Any Company Industry,Any Age Range,Entry,11-50 employees,180000
